team_abbr,season,sos_win_pct
ARI,2018,0.5097340471276229
ARI,2019,0.515657249742002
ARI,2020,0.4623578323873409
ARI,2021,0.5039267558875402
ARI,2022,0.5184352172241445
ARI,2023,0.5453732370141039
ARI,2024,0.5242244885570327
ATL,2018,0.4686223447712418
ATL,2019,0.5314770919332645
ATL,2020,0.5462998796009632
ATL,2021,0.46113235799995955
ATL,2022,0.4559734110362411
ATL,2023,0.42762702604261515
ATL,2024,0.5062640742571539
BAL,2018,0.49673202614379086
BAL,2019,0.49145824480462985
BAL,2020,0.49886767572526086
BAL,2021,0.524644367550942
BAL,2022,0.5155276535565494
BAL,2023,0.5421890639912474
BAL,2024,0.5321196437947293
BUF,2018,0.5155121259029928
BUF,2019,0.4605743742285356
BUF,2020,0.5351510872123549
BUF,2021,0.47830644723263266
BUF,2022,0.4973808431754768
BUF,2023,0.4835217558861033
BUF,2024,0.4954661162710698
CAR,2018,0.4936683006535948
CAR,2019,0.5361492733058135
CAR,2020,0.5279175266597868
CAR,2021,0.49638802889576883
CAR,2022,0.4646340476335013
CAR,2023,0.5166312551852527
CAR,2024,0.49011643873235566
CHI,2018,0.4291239199498169
CHI,2019,0.4952418193154455
CHI,2020,0.4944252210688197
CHI,2021,0.5124269728531248
CHI,2022,0.554348529917643
CHI,2023,0.4642693816432662
CHI,2024,0.5368157995912503
CIN,2018,0.5162377450980392
CIN,2019,0.5365510513415893
CIN,2020,0.5099571078431373
CIN,2021,0.49986661331199145
CIN,2022,0.5360454800572122
CIN,2023,0.5632717896240024
CIN,2024,0.466805566395805
CLE,2018,0.498953227124183
CLE,2019,0.518047761867905
CLE,2020,0.4686926671253297
CLE,2021,0.5000109847860713
CLE,2022,0.5109472065399947
CLE,2023,0.5293142988189428
CLE,2024,0.5256290958075697
DAL,2018,0.5028057275541795
DAL,2019,0.46134599673202614
DAL,2020,0.45263991013071897
DAL,2021,0.4833467110040897
DAL,2022,0.5006418264443359
DAL,2023,0.44148797920727745
DAL,2024,0.5172044875741835
DEN,2018,0.5040244990540076
DEN,2019,0.5075706269349846
DEN,2020,0.5577404755761954
DEN,2021,0.4724776184983797
DEN,2022,0.47207855278334243
DEN,2023,0.4895841102178745
DEN,2024,0.5030988418759317
DET,2018,0.48905793128654973
DET,2019,0.49822895166838665
DET,2020,0.49530228758169936
DET,2021,0.5211786675454496
DET,2022,0.518699285699832
DET,2023,0.49746007174799745
DET,2024,0.5130747620685701
GB,2018,0.47820723684210525
GB,2019,0.47773453923479725
GB,2020,0.4482570806100218
GB,2021,0.4825656188401286
GB,2022,0.5086930128088387
GB,2023,0.4953945751892631
GB,2024,0.5411923053821919
HOU,2018,0.47716718266253866
HOU,2019,0.5343997248022015
HOU,2020,0.5175263910388717
HOU,2021,0.49269627355586193
HOU,2022,0.4687478500171998
HOU,2023,0.48985208118335055
HOU,2024,0.4967437944706969
IND,2018,0.48635597026334904
IND,2019,0.4919872828517372
IND,2020,0.44830429591857385
IND,2021,0.48567468266976555
IND,2022,0.4991207835043202
IND,2023,0.4824763754831138
IND,2024,0.44325563042554483
JAX,2018,0.5401294289645683
JAX,2019,0.4841747828517372
JAX,2020,0.5273948120915033
JAX,2021,0.508349593707452
JAX,2022,0.4780565965998587
JAX,2023,0.5286191256688434
JAX,2024,0.46983881271806965
KC,2018,0.4927880021404273
KC,2019,0.5243626998352434
KC,2020,0.5070791012619268
KC,2021,0.5319254017396432
KC,2022,0.47783539731682145
KC,2023,0.5123642439431914
KC,2024,0.5115963929431422
LA,2018,0.5018874585845419
LA,2019,0.519563499742002
LA,2020,0.5141528589993503
LA,2021,0.504073442242394
LA,2022,0.5079716303446042
LA,2023,0.5285269273401368
LA,2024,0.5321760283060593
LAC,2018,0.48530367312617056
LAC,2019,0.5137746710526316
LAC,2020,0.47708790204678364
LAC,2021,0.4982369418355578
LAC,2022,0.44295665634674924
LAC,2023,0.5298216706703321
LAC,2024,0.46127928754347747
LV,2020,0.5318519951840385
LV,2021,0.5103952692187986
LV,2022,0.46708047512090495
LV,2023,0.4903226925445101
LV,2024,0.5222465043809061
MIA,2018,0.46485853113175096
MIA,2019,0.4689797794117647
MIA,2020,0.4562841309769522
MIA,2021,0.45213379469434833
MIA,2022,0.5395740167411994
MIA,2023,0.46081025002593634
MIA,2024,0.4137477488415387
MIN,2018,0.4912280701754386
MIN,2019,0.5018215132056721
MIN,2020,0.4902471405228758
MIN,2021,0.4963805129895095
MIN,2022,0.4668252876199212
MIN,2023,0.5089060598439582
MIN,2024,0.4694033558842641
NE,2018,0.5122469809715207
NE,2019,0.4674378781440337
NE,2020,0.5174820476436188
NE,2021,0.48171081298016283
NE,2022,0.4902871365264372
NE,2023,0.5140518539717229
