Date,Team,Acquired,Relinquished,Notes
2020-01-01,Eagles,,• Brandon Brooks,placed on IR with separated right shoulder
2020-01-03,Vikings,,• Mike Hughes (b. 1997-02-11),placed on IR with neck injury
2020-01-06,Redskins,• Cassanova McKinzy,,activated from practice squad IR
2020-01-07,Chiefs,,• Juan Thornhill,placed on IR with torn ACL in knee
2020-01-07,Ravens,,• Antoine Wesley,placed on practice squad IR with undisclosed injury
2020-01-08,Ravens,,• Parker Ehinger,placed on IR with shoulder injury
2020-01-08,Seahawks,,• Mychal Kendricks,placed on IR with torn ACL in knee
2020-01-10,49ers,,• Kentavius Street,placed on IR with knee injury
2020-01-10,49ers,• Kwon Alexander,,activated from IR
2020-01-10,Vikings,,• Mackensie Alexander,placed on IR with knee injury
2020-01-10,Broncos,• Dymonte Thomas,,activated from IR
2020-01-13,Falcons,• Alex Gray (b. 1991-05-01),,activated from IR
2020-01-13,Falcons,• Ra'Shede Hageman,,activated from IR
2020-01-18,Packers,• Raven Greene,,activated from IR
2020-02-03,49ers,• Andrew Lauderdale,,activated from IR
2020-02-03,49ers,• D.J. Jones (Oliver),,activated from IR
2020-02-03,49ers,• Damontre Moore,,activated from IR
2020-02-03,49ers,• Garrett Celek,,activated from IR
2020-02-03,49ers,• Jalen Hurd,,activated from IR
2020-02-03,49ers,• Jason Verrett,,activated from IR
2020-02-03,49ers,• Jerick McKinnon,,activated from IR
2020-02-03,49ers,• Jullian Taylor,,activated from IR
2020-02-03,49ers,• Kentavius Street,,activated from IR
2020-02-03,49ers,• Marquise Goodwin,,activated from IR
2020-02-03,49ers,• Ronald Blair,,activated from IR
2020-02-03,49ers,• Shawn Poindexter,,activated from IR
2020-02-03,49ers,• Shon Coleman,,activated from IR
2020-02-03,49ers,• Tim Harris Jr.,,activated from IR
2020-02-03,49ers,• Trent Taylor,,activated from IR
2020-02-03,49ers,• Weston Richburg,,activated from IR
2020-02-03,Bears,• Adam Shaheen,,activated from IR
2020-02-03,Bears,• Ben Braunecker,,activated from IR
2020-02-03,Bears,• Danny Trevathan,,activated from IR
2020-02-03,Bears,• Josh Simmons,,activated from IR
2020-02-03,Bears,• Kyle Long,,activated from IR
2020-02-03,Bears,• Roquan Smith,,activated from IR
2020-02-03,Bears,• Sherrick McManis,,activated from IR
2020-02-03,Bears,• T.J. Clemmings,,activated from IR
2020-02-03,Bears,• Trey Burton,,activated from IR
2020-02-03,Bengals,• A.J. Green (Adriel Jeremiah),,activated from IR
2020-02-03,Bengals,• Alex Redmond,,activated from IR
2020-02-03,Bengals,• Auden Tate,,activated from IR
2020-02-03,Bengals,• Brandon Wilson,,activated from IR
2020-02-03,Bengals,• Dre Kirkpatrick,,activated from IR
2020-02-03,Bengals,• Drew Sample,,activated from IR
2020-02-03,Bengals,• Kerry Wynn,,activated from IR
2020-02-03,Bengals,• Niles Scott,,activated from IR
2020-02-03,Bengals,• O'Shea Dugas,,activated from IR
2020-02-03,Bengals,• Renell Wren,,activated from IR
2020-02-03,Bengals,• Rodney Anderson,,activated from IR
2020-02-03,Bengals,• Ryan Glasgow,,activated from IR
2020-02-03,Bengals,• William Jackson III,,activated from IR
2020-02-03,Bills,• Harrison Phillips,,activated from IR
2020-02-03,Bills,• Jason Croom,,activated from IR
2020-02-03,Bills,• LaAdrian Waddle,,activated from IR
2020-02-03,Bills,• Maurice Alexander,,activated from IR
2020-02-03,Bills,• Mike Love (b. 1994-01-22),,activated from IR
2020-02-03,Bills,• Vosean Joseph,,activated from IR
2020-02-03,Broncos,• Adam Gotsis,,activated from IR
2020-02-03,Broncos,• Andy Janovich,,activated from IR
2020-02-03,Broncos,• Austin Fort,,activated from IR
2020-02-03,Broncos,• Billy Winn,,activated from IR
2020-02-03,Broncos,• Bradley Chubb,,activated from IR
2020-02-03,Broncos,• Bryce Callahan,,activated from IR
2020-02-03,Broncos,• Corey Nelson,,activated from IR
2020-02-03,Broncos,• Cyrus Jones,,activated from reserve/non-football injury list / non-football illness list
2020-02-03,Broncos,• De'Vante Bausby / DeVante Bausby,,activated from IR
2020-02-03,Broncos,• Derek Wolfe,,activated from IR
2020-02-03,Broncos,• Horace Richardson,,activated from IR
2020-02-03,Broncos,• Jake Butt,,activated from IR
2020-02-03,Broncos,• Joe Flacco,,activated from IR
2020-02-03,Broncos,• Juwann Winfree,,activated from IR
2020-02-03,Broncos,• Nico Falah,,activated from IR
2020-02-03,Broncos,• Theo Riddick,,activated from IR
2020-02-03,Browns,• Christian Kirksey,,activated from IR
2020-02-03,Browns,• D.J. Montgomery,,activated from IR
2020-02-03,Browns,• Daniel Ekuale,,activated from IR
2020-02-03,Browns,• Dontrell Hilliard,,activated from IR
2020-02-03,Browns,• Drew Stanton,,activated from IR
2020-02-03,Browns,• Morgan Burnett,,activated from IR
2020-02-03,Browns,• Robert Jackson Jr.,,activated from IR
2020-02-03,Browns,• Willie Harvey,,activated from IR
2020-02-03,Buccaneers,• Antony Auclair,,activated from IR
2020-02-03,Buccaneers,• Blaine Gabbert,,activated from IR
2020-02-03,Buccaneers,• Bryant Mitchell,,activated from IR
2020-02-03,Buccaneers,• D'Cota Dixon,,activated from IR
2020-02-03,Buccaneers,• Jack Cichy,,activated from IR
2020-02-03,Buccaneers,• Jordan Whitehead,,activated from IR
2020-02-03,Buccaneers,• Justin Evans (b. 1995-08-26),,activated from IR
2020-02-03,Buccaneers,• Kendell Beckwith,,activated from reserve/non-football injury list
2020-02-03,Buccaneers,• Michael Liedtke / Mike Liedtke,,activated from IR
2020-02-03,Buccaneers,• Mike Evans (Lynn),,activated from IR
2020-02-03,Buccaneers,• Orion Stewart,,activated from IR
2020-02-03,Buccaneers,• Scotty Miller,,activated from IR
2020-02-03,Buccaneers,• T.J. Logan,,activated from IR
2020-02-03,Buccaneers,• Zack Bailey,,activated from IR
2020-02-03,Cardinals,• Brandon Williams (b. 1992-09-09),,activated from IR
2020-02-03,Cardinals,• Brett Toth,,activated from reserve/non-football injury list
2020-02-03,Cardinals,• Brooks Reed,,activated from IR
2020-02-03,Cardinals,• Clinton McDonald,,activated from IR
2020-02-03,Cardinals,• D.J. Foster,,activated from IR
2020-02-03,Cardinals,• Darrell Daniels,,activated from IR
2020-02-03,Cardinals,• Hakeem Butler,,activated from IR
2020-02-03,Cardinals,• Johnnie Dixon,,activated from practice squad IR
2020-02-03,Cardinals,• Jonathan Bullard,,activated from IR
2020-02-03,Cardinals,• Jordan Mills,,activated from IR
2020-02-03,Cardinals,• Kevin Peterson (Lamont),,activated from IR
2020-02-03,Cardinals,• Marcus Gilbert (Christopher),,activated from IR
2020-02-03,Cardinals,• Robert Alford,,activated from IR
2020-02-03,Cardinals,• Rodney Gunter,,activated from IR
2020-02-03,Cardinals,• Tanner Vallejo,,activated from IR
2020-02-03,Cardinals,• William Sweet,,activated from IR
2020-02-03,Cardinals,• Zach Allen,,activated from IR
2020-02-03,Chargers,• Andrew Vollert,,activated from IR
2020-02-03,Chargers,• Cortez Broughton,,activated from reserve/non-football injury list
2020-02-03,Chargers,• Dylan Cantrell,,activated from IR
2020-02-03,Chargers,• Forrest Lamp,,activated from IR
2020-02-03,Chargers,• Geremy Davis,,activated from IR
2020-02-03,Chargers,• Koda Martin,,activated from IR
2020-02-03,Chargers,• Mike Pouncey,,activated from IR
2020-02-03,Chargers,• Nasir Adderley,,activated from IR
2020-02-03,Chargers,• Sean Culkin,,activated from IR
2020-02-03,Chargers,• Travis Benjamin,,activated from IR
2020-02-03,Chiefs,,,activated from reserve/non-football injury list with undisclosed injury
2020-02-03,Chiefs,• Alex Okafor,,activated from IR
2020-02-03,Chiefs,• Breeland Speaks,,activated from IR
2020-02-03,Chiefs,• Darius Harris,,activated from reserve/non-football injury list
2020-02-03,Chiefs,• Darrel Williams,,activated from IR
2020-02-03,Chiefs,• David Wells,,activated from IR
2020-02-03,Chiefs,• Emmanuel Ogbah,,activated from IR
2020-02-03,Chiefs,• Felton Davis,,activated from IR
2020-02-03,Chiefs,• Greg Senat,,activated from IR
2020-02-03,Chiefs,• John Lovett (b. 1996-04-25),,activated from IR
2020-02-03,Chiefs,• Juan Thornhill,,activated from IR
2020-02-03,Chiefs,• Keith Reaser,,activated from IR
2020-02-03,Chiefs,• Marcus Kemp,,activated from IR
2020-02-03,Chiefs,• Martinas Rankin,,activated from IR
2020-02-03,Chiefs,• Spencer Ware,,activated from IR
2020-02-03,Chiefs,• Tim Ward,,activated from reserve/non-football injury list
2020-02-03,Colts,• Adam Vinatieri,,activated from IR
2020-02-03,Colts,• Billy Brown (b. 1993-03-20),,activated from IR
2020-02-03,Colts,• Chester Rogers,,activated from IR
2020-02-03,Colts,• Daurice Fountain,,activated from IR
2020-02-03,Colts,• Devin Funchess,,activated from IR
2020-02-03,Colts,• Eric Ebron,,activated from IR
2020-02-03,Colts,• Isaiah Johnson (Nathan),,activated from IR
2020-02-03,Colts,• Iseoluwapo Jegede / Jegs Jegede,,activated from IR
2020-02-03,Colts,• Javon Patterson,,activated from IR
2020-02-03,Colts,• Kai Nacua,,activated from IR
2020-02-03,Colts,• Kemoko Turay,,activated from IR
2020-02-03,Colts,• Parris Campbell,,activated from IR
2020-02-03,Colts,• Rolan Milligan,,activated from IR
2020-02-03,Colts,• Steve Ishmael,,activated from IR
2020-02-03,Cowboys,• Adam Redmond,,activated from IR
2020-02-03,Cowboys,• Anthony Brown (Shaquille),,activated from IR
2020-02-03,Cowboys,• Cedrick Wilson Jr. / Ced Wilson,,activated from IR
2020-02-03,Cowboys,• Chris Westry,,activated from IR
2020-02-03,Cowboys,• Cody Wichmann,,activated from IR
2020-02-03,Cowboys,• Connor McGovern (b. 1997-11-03),,activated from IR
2020-02-03,Cowboys,• Connor Williams,,activated from IR
2020-02-03,Cowboys,• Daniel Ross,,activated from IR
2020-02-03,Cowboys,• Jalen Jelks,,activated from IR
2020-02-03,Cowboys,• Jon'Vea Johnson,,activated from IR
2020-02-03,Cowboys,• Kavon Frazier,,activated from IR
2020-02-03,Cowboys,• Lance Lenoir,,activated from IR
2020-02-03,Cowboys,• Leighton Vander Esch,,activated from IR
2020-02-03,Cowboys,• Luke Gifford,,activated from IR
2020-02-03,Cowboys,• Noah Brown,,activated from reserve/physically unable to perform list
2020-02-03,Cowboys,• Tyrone Crawford,,activated from IR
2020-02-03,Cowboys,• Xavier Su'a-Filo,,activated from IR
2020-02-03,Dolphins,• Aqib Talib,,activated from IR
2020-02-03,Dolphins,• Bobby McCain,,activated from IR
2020-02-03,Dolphins,• Chase Allen (b. 1993-08-29),,activated from IR
2020-02-03,Dolphins,• Cordrea Tankersley,,activated from reserve/physically unable to perform list
2020-02-03,Dolphins,• Danny Isidora,,activated from IR
2020-02-03,Dolphins,• Gary Jennings,,activated from IR
2020-02-03,Dolphins,• Gerald Willis,,activated from IR
2020-02-03,Dolphins,• Jakeem Grant,,activated from IR
2020-02-03,Dolphins,• James Crawford,,activated from IR
2020-02-03,Dolphins,• Jonathan Ledbetter,,activated from IR
2020-02-03,Dolphins,• Kalen Ballage,,activated from IR
2020-02-03,Dolphins,• Kendarius Webster / Ken Webster,,activated from IR
2020-02-03,Dolphins,• Kendrick Norton,,activated from reserve/non-football injury list
2020-02-03,Dolphins,• Mike Hull (Thomas),,activated from reserve/physically unable to perform list
2020-02-03,Dolphins,• Myles Gaskin,,activated from IR
2020-02-03,Dolphins,• Preston Williams,,activated from IR
2020-02-03,Dolphins,• Raekwon McMillan,,activated from IR
2020-02-03,Dolphins,• Reshad Jones,,activated from IR
2020-02-03,Dolphins,• Ricardo Louis,,activated from IR
2020-02-03,Dolphins,• Ryan Lewis,,activated from IR
2020-02-03,Dolphins,• Xavien Howard,,activated from IR
2020-02-03,Eagles,• Alshon Jeffery,,activated from IR
2020-02-03,Eagles,• Brandon Brooks,,activated from IR
2020-02-03,Eagles,• Corey Clement,,activated from IR
2020-02-03,Eagles,• Daeshon Hall,,activated from IR
2020-02-03,Eagles,• Darren Sproles,,activated from IR
2020-02-03,Eagles,• DeSean Jackson,,activated from IR
2020-02-03,Eagles,• Hassan Ridgeway,,activated from IR
2020-02-03,Eagles,• Joe Ostman,,activated from IR
2020-02-03,Eagles,• Johnathan Ford / Rudy Ford,,activated from IR
2020-02-03,Eagles,• Jordan Mailata,,activated from IR
2020-02-03,Eagles,• Kamu Grugier-Hill,,activated from IR
2020-02-03,Eagles,• Malik Jackson (Barron),,activated from IR
2020-02-03,Eagles,• Ronald Darby,,activated from IR
2020-02-03,Falcons,• (Benjamin) Michael Bennett,,activated from IR
2020-02-03,Falcons,• Calvin Ridley,,activated from IR
2020-02-03,Falcons,• Desmond Trufant,,activated from IR
2020-02-03,Falcons,• Ito Smith,,activated from IR
2020-02-03,Falcons,• J.J. Wilcox,,activated from IR
2020-02-03,Falcons,• James Carpenter,,activated from IR
2020-02-03,Falcons,• Johnathan Cyprien,,activated from IR
2020-02-03,Falcons,• Keanu Neal,,activated from IR
2020-02-03,Falcons,• Kurt Benkert,,activated from IR
2020-02-03,Falcons,• Matt Bosher,,activated from IR
2020-02-03,Falcons,• Matt Simms,,activated from IR
2020-02-03,Falcons,• Steven Means,,activated from IR
2020-02-03,Falcons,• Takkarist McKinley / Takk McKinley,,activated from IR
2020-02-03,Giants,• Amba Etta-Tawo,,activated from IR
2020-02-03,Giants,• Chris Peace,,activated from IR
2020-02-03,Giants,• Corey Coleman,,activated from IR
2020-02-03,Giants,• Evan Engram,,activated from IR
2020-02-03,Giants,• George Asafo-Adjei,,activated from IR
2020-02-03,Giants,• Isaiah Searight,,activated from IR
2020-02-03,Giants,• Jabrill Peppers,,activated from IR
2020-02-03,Giants,• Mark McLaurin,,activated from IR
2020-02-03,Giants,• Nate Harvey,,activated from IR
2020-02-03,Giants,• Rhett Ellison,,activated from IR
2020-02-03,Giants,• Russell Shepard,,activated from IR
2020-02-03,Giants,• Ryan Connelly,,activated from IR
2020-02-03,Giants,• Scott Simonson,,activated from IR
2020-02-03,Giants,• Zak DeOssie,,activated from IR
2020-02-03,Jaguars,• Ben Ijalana,,activated from IR
2020-02-03,Jaguars,• Brandon Thomas,,activated from IR
2020-02-03,Jaguars,• Brian Price (Keith),,activated from practice squad IR
2020-02-03,Jaguars,• D.J. Alexander,,activated from IR
2020-02-03,Jaguars,• Devante Mays,,activated from IR
2020-02-03,Jaguars,• Donnell Greene,,activated from IR
2020-02-03,Jaguars,• Geoff Swaim,,activated from IR
2020-02-03,Jaguars,• Jake Ryan,,activated from IR
2020-02-03,Jaguars,• James O'Shaughnessy,,activated from IR
2020-02-03,Jaguars,• James Onwualu,,activated from IR
2020-02-03,Jaguars,• Josh Oliver,,activated from IR
2020-02-03,Jaguars,• K.C. McDermott,,activated from IR
2020-02-03,Jaguars,• Lerentee McCray,,activated from IR
2020-02-03,Jaguars,• Marcell Dareus,,activated from IR
2020-02-03,Jaguars,• Marqise Lee,,activated from IR
2020-02-03,Jaguars,• Michael Walker (b. 1996-10-29),,activated from IR
2020-02-03,Jaguars,• Myles Jack,,activated from IR
2020-02-03,Jaguars,• Najee Goode,,activated from IR
2020-02-03,Jaguars,• Quincy Williams,,activated from IR
2020-02-03,Jaguars,• Taj McGowan,,activated from IR
2020-02-03,Jets,• Albert McClellan,,activated from IR
2020-02-03,Jets,• Alex Lewis (b. 1992-04-21),,activated from IR
2020-02-03,Jets,• Avery Williamson,,activated from IR
2020-02-03,Jets,• Blake Cashman,,activated from IR
2020-02-03,Jets,• Brian Winters,,activated from IR
2020-02-03,Jets,• Charles Tapper,,activated from IR
2020-02-03,Jets,• Chris Herndon,,activated from IR
2020-02-03,Jets,• Chuma Edoga,,activated from IR
2020-02-03,Jets,• Clint Mosley Jr. / C.J. Mosley,,activated from IR
2020-02-03,Jets,• Jalin Moore,,activated from reserve/non-football injury list
2020-02-03,Jets,• Jeff Smith (Alan),,activated from IR
2020-02-03,Jets,• John Franklin-Myers,,activated from IR
2020-02-03,Jets,• Joshua Bellamy / Josh Bellamy,,activated from IR
2020-02-03,Jets,• Kyron Brown,,activated from IR
2020-02-03,Jets,• Quincy Enunwa,,activated from IR
2020-02-03,Jets,• Rontez Miles,,activated from IR
2020-02-03,Jets,• Ryan Griffin (Francis),,activated from IR
2020-02-03,Jets,• Ryan Kalil,,activated from IR
2020-02-03,Jets,• Tom Compton,,activated from IR
2020-02-03,Jets,• Trenton Cannon,,activated from IR
2020-02-03,Jets,• Trevor Siemian,,activated from IR
2020-02-03,Jets,• Trumaine Johnson (Monte),,activated from IR
2020-02-03,Lions,• Da'Shawn Hand,,activated from IR
2020-02-03,Lions,• Darius Kilgo,,activated from IR
2020-02-03,Lions,• Jahlani Tavai,,activated from IR
2020-02-03,Lions,• Jarrad Davis,,activated from IR
2020-02-03,Lions,• Jeff Driskel,,activated from IR
2020-02-03,Lions,• Jermaine Kearse,,activated from IR
2020-02-03,Lions,• Joe Dahl,,activated from IR
2020-02-03,Lions,• Kenny Wiggins,,activated from IR
2020-02-03,Lions,• Kevin Strong,,activated from IR
2020-02-03,Lions,• Marvin Hall,,activated from IR
2020-02-03,Lions,• Marvin Jones Jr.,,activated from IR
2020-02-03,Lions,• Matthew Stafford,,activated from IR
2020-02-03,Lions,• Mike Daniels,,activated from IR
2020-02-03,Lions,• Nick Bawden,,activated from IR
2020-02-03,Lions,• T.J. Hockenson,,activated from IR
2020-02-03,Packers,• Cole Madison,,activated from IR
2020-02-03,Packers,• Curtis Bolton,,activated from IR
2020-02-03,Packers,• Equanimeous St. Brown,,activated from IR
2020-02-03,Packers,• Greg Roberts (b. 1996-03-21),,activated from reserve/physically unable to perform list
2020-02-03,Packers,• Jason Spriggs,,activated from IR
2020-02-03,Packers,• Lane Taylor,,activated from IR
2020-02-03,Packers,• Malcolm Johnson (Jamaine),,activated from IR
2020-02-03,Packers,• Yosh Nijman,,activated from IR
2020-02-03,Panthers,• Brandon Greene,,activated from IR
2020-02-03,Panthers,• Cam Newton (Jerrell),,activated from IR
2020-02-03,Panthers,• Dillon Gordon,,activated from IR
2020-02-03,Panthers,• Dontari Poe,,activated from IR
2020-02-03,Panthers,• Garrett McGhin,,activated from IR
2020-02-03,Panthers,• Graham Gano,,activated from IR
2020-02-03,Panthers,• Greg Little,,activated from IR
2020-02-03,Panthers,• Greg Van Roten,,activated from IR
2020-02-03,Panthers,• Jordan Scarlett,,activated from IR
2020-02-03,Panthers,• Kawann Short,,activated from IR
2020-02-03,Panthers,• Kitt O'Brien,,activated from IR
2020-02-03,Panthers,• Natrell Jamerson,,activated from IR
2020-02-03,Patriots,• Brandon King (b. 1993-06-08),,activated from IR
2020-02-03,Patriots,• D'Angelo Ross,,activated from IR
2020-02-03,Patriots,• David Andrews,,activated from IR
2020-02-03,Patriots,• Derek Rivers,,activated from IR
2020-02-03,Patriots,• Gunner Olszewski,,activated from IR
2020-02-03,Patriots,• Hjalte Froholdt,,activated from IR
2020-02-03,Patriots,• Jakob Johnson,,activated from IR
2020-02-03,Patriots,• James Develin,,activated from IR
2020-02-03,Patriots,• Keionta Davis,,activated from IR
2020-02-03,Patriots,• Malik Gant,,activated from IR
2020-02-03,Patriots,• Stephen Gostkowski,,activated from IR
2020-02-03,Patriots,• Yodny Cajuste,,activated from reserve/non-football injury list
2020-02-03,Raiders,• Arden Key,,activated from IR
2020-02-03,Raiders,• Cameron Hunt,,activated from IR
2020-02-03,Raiders,• D.J. Killings,,activated from IR
2020-02-03,Raiders,• Dwayne Harris,,activated from IR
2020-02-03,Raiders,• Foster Moreau,,activated from IR
2020-02-03,Raiders,• Isaiah Crowell,,activated from IR
2020-02-03,Raiders,• Johnathan Abram,,activated from IR
2020-02-03,Raiders,• Jordan Devey,,activated from IR
2020-02-03,Raiders,• Karl Joseph,,activated from IR
2020-02-03,Raiders,• Makinton Dorleant,,activated from IR
2020-02-03,Raiders,• Marquel Lee,,activated from IR
2020-02-03,Raiders,• Nathan Peterman,,activated from IR
2020-02-03,Raiders,• Nick Nelson,,activated from IR
2020-02-03,Raiders,• Trent Brown,,activated from IR
2020-02-03,Rams,• Bruce Natson / JoJo Natson Jr.,,activated from IR
2020-02-03,Rams,• Bryce Hager,,activated from IR
2020-02-03,Rams,• Darrell Henderson,,activated from IR
2020-02-03,Rams,• Joe Noteboom,,activated from IR
2020-02-03,Rams,• John Johnson III,,activated from IR
2020-02-03,Rams,• Josh Carraway,,activated from IR
2020-02-03,Rams,• Justin Lawler,,activated from IR
2020-02-03,Rams,• Micah Kiser,,activated from IR
2020-02-03,Ravens,• Daylon Mack,,activated from IR
2020-02-03,Ravens,• DeShon Elliott,,activated from IR
2020-02-03,Ravens,• Fish Smithson,,activated from IR
2020-02-03,Ravens,• Matt Skura,,activated from IR
2020-02-03,Ravens,• Otaro Alaka,,activated from IR
2020-02-03,Ravens,• Parker Ehinger,,activated from IR
2020-02-03,Ravens,• Pernell McPhee,,activated from IR
2020-02-03,Ravens,• Randin Crecelius,,activated from IR
2020-02-03,Ravens,• Tavon Young,,activated from IR
2020-02-03,Ravens,• Tony Jefferson,,activated from IR
2020-02-03,Redskins,• Alex Smith (D.),,activated from reserve/physically unable to perform list
2020-02-03,Redskins,• Brandon Scherff,,activated from IR
2020-02-03,Redskins,• Bryce Love,,activated from reserve/non-football injury list
2020-02-03,Redskins,• Caleb Brantley,,activated from IR
2020-02-03,Redskins,• Danny Johnson (b. 1995-11-17),,activated from IR
2020-02-03,Redskins,• Derrius Guice,,activated from IR
2020-02-03,Redskins,• Deshazor Everett,,activated from IR
2020-02-03,Redskins,• Dominique Rodgers-Cromartie,,activated from IR
2020-02-03,Redskins,• Fabian Moreau,,activated from IR
2020-02-03,Redskins,• Greg Stroman,,activated from IR
2020-02-03,Redskins,• Jerome Cunningham,,activated from IR
2020-02-03,Redskins,• Jimmy Moreland,,activated from IR
2020-02-03,Redskins,• Jordan Brailford,,activated from IR
2020-02-03,Redskins,• Jordan Reed,,activated from IR
2020-02-03,Redskins,• Josh Woodrum,,activated from IR
2020-02-03,Redskins,• Montae Nicholson,,activated from IR
2020-02-03,Redskins,• Myles Humphrey,,activated from IR
2020-02-03,Redskins,• Paul Richardson Jr.,,activated from IR
2020-02-03,Redskins,• Quinton Dunbar,,activated from IR
2020-02-03,Redskins,• Reuben Foster,,activated from IR
2020-02-03,Redskins,• Ryan Kerrigan,,activated from IR
2020-02-03,Redskins,• Trent Williams,,activated from reserve/non-football injury list
2020-02-03,Redskins,• Trey Quinn,,activated from IR
2020-02-03,Redskins,• Vernon Davis,,activated from IR
2020-02-03,Saints,• Alex Anzalone,,activated from IR
2020-02-03,Saints,• Austin Carr,,activated from IR
2020-02-03,Saints,• Cameron Tom,,activated from IR
2020-02-03,Saints,• Chase Hansen,,activated from reserve/non-football injury list
2020-02-03,Saints,• Colton Jumper,,activated from IR
2020-02-03,Saints,• Garrett Griffin,,activated from IR
2020-02-03,Saints,• Jason Vander Laan,,activated from IR
2020-02-03,Saints,• Johnson Bademosi,,activated from IR
2020-02-03,Saints,• Josh Martin,,activated from IR
2020-02-03,Saints,• Kaden Elliss,,activated from IR
2020-02-03,Saints,• Keith Kirkwood,,activated from IR
2020-02-03,Saints,• Krishawn Hogan,,activated from IR
2020-02-03,Saints,• Marcus Davenport,,activated from IR
2020-02-03,Saints,• Saquan Hampton,,activated from IR
2020-02-03,Saints,• Sheldon Rankins,,activated from IR
2020-02-03,Seahawks,• Adam Choice,,activated from IR
2020-02-03,Seahawks,• C.J. Prosise,,activated from IR
2020-02-03,Seahawks,• Chris Carson,,activated from IR
2020-02-03,Seahawks,• Demarcus Christmas,,activated from reserve/physically unable to perform list
2020-02-03,Seahawks,• Demetrius Knox,,activated from IR
2020-02-03,Seahawks,• Ed Dickson,,activated from IR
2020-02-03,Seahawks,• Emmanuel Ellerbee,,activated from IR
2020-02-03,Seahawks,• Ethan Pocic,,activated from IR
2020-02-03,Seahawks,• Jeremy Boykins,,activated from IR
2020-02-03,Seahawks,• Jordan Simmons,,activated from IR
2020-02-03,Seahawks,• Justin Britt (b. 1991-05-29),,activated from IR
2020-02-03,Seahawks,• Justin Johnson,,activated from IR
2020-02-03,Seahawks,• Kalan Reed,,activated from IR
2020-02-03,Seahawks,• Mychal Kendricks,,activated from IR
2020-02-03,Seahawks,• Nazair Jones,,activated from IR
2020-02-03,Seahawks,• Neiko Thorpe,,activated from IR
2020-02-03,Seahawks,• Rashaad Penny,,activated from IR
2020-02-03,Seahawks,• Tedric Thompson,,activated from IR
2020-02-03,Seahawks,• Will Dissly,,activated from IR
2020-02-03,Steelers,• Ben Roethlisberger,,activated from IR
2020-02-03,Steelers,• Lavon Hooks,,activated from IR
2020-02-03,Steelers,• Leterrius Walton / L.T. Walton,,activated from IR
2020-02-03,Steelers,• Mason Rudolph,,activated from IR
2020-02-03,Steelers,• Roosevelt Nix (Delbert),,activated from IR
2020-02-03,Steelers,• Ryan Shazier,,activated from physically unable to perform list
2020-02-03,Steelers,• Ryan Switzer,,activated from IR
2020-02-03,Steelers,• Sean Davis,,activated from IR
2020-02-03,Steelers,• Stephon Tuitt,,activated from IR
2020-02-03,Steelers,• Ulysees Gilbert III,,activated from IR
2020-02-03,Texans,• Chris Landrum,,activated from IR
2020-02-03,Texans,• David Steinmetz,,activated from IR
2020-02-03,Texans,• Duke Ejiofor,,activated from IR
2020-02-03,Texans,• Dylan Cole,,activated from IR
2020-02-03,Texans,• Ira Savage-Lewis / Ira Lewis,,activated from IR
2020-02-03,Texans,• Isaac Whitney,,activated from IR
2020-02-03,Texans,• Joe Webb,,activated from IR
2020-02-03,Texans,• Kahale Warring,,activated from IR
2020-02-03,Texans,• Lamar Miller,,activated from IR
2020-02-03,Texans,• Phillip Gaines,,activated from IR
2020-02-03,Texans,• Senio Kelemete,,activated from IR
2020-02-03,Texans,• Tashaun Gipson,,activated from IR
2020-02-03,Texans,• Tytus Howard,,activated from IR
2020-02-03,Titans,• Cameron Batson,,activated from IR
2020-02-03,Titans,• Cameron Wake,,activated from IR
2020-02-03,Titans,• Chris Milton,,activated from IR
2020-02-03,Titans,• D'Andre Walker,,activated from IR
2020-02-03,Titans,• David Fluellen,,activated from IR
2020-02-03,Titans,• Delanie Walker,,activated from IR
2020-02-03,Titans,• Jordan Williams (Cornell),,activated from IR
2020-02-03,Titans,• Logan Woodside,,activated from practice squad IR
2020-02-03,Titans,• Malcolm Butler,,activated from IR
2020-02-03,Titans,• Ryan Succop,,activated from IR
2020-02-03,Vikings,• Armon Watts,,activated from IR
2020-02-03,Vikings,• Ben Gedeon,,activated from IR
2020-02-03,Vikings,• Brett Jones,,activated from IR
2020-02-03,Vikings,• Chad Beebe,,activated from IR
2020-02-03,Vikings,• Christian Jones (a),,activated from IR
2020-02-03,Vikings,• David Morgan II,,activated from reserve/physically unable to perform list
2020-02-03,Vikings,• Mackensie Alexander,,activated from IR
2020-02-03,Vikings,• Mike Hughes (b. 1997-02-11),,activated from IR
2020-02-03,Browns,• Lo Falemaka,,activated from IR
2020-04-22,Dolphins,,• Jonathan Ledbetter,placed on reserve/non-football injury list
2020-05-05,Jets,,• Joshua Bellamy / Josh Bellamy,placed on reserve/physically unable to perform list with shoulder injury
2020-05-05,Jets,,• Quincy Enunwa,placed on reserve/physically unable to perform list with neck injury
2020-05-06,Jets,,• Jalin Moore,placed on reserve/non-football injury list with ankle injury
2020-05-06,Jets,,• Kyron Brown,placed on reserve/physically unable to perform list with quadriceps injury
2020-05-19,Raiders,,• Nick Nelson,placed on reserve/physically unable to perform list with knee injury
2020-05-26,Saints,,• Noah Spence,placed on reserve/non-football injury list with torn ACL in knee
2020-05-28,Raiders,,• Nick O'Leary,placed on reserve/non-football injury list
2020-07-26,Bengals,,• Kendall Futrell,placed on reserve/COVID-19 list
