avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player,playerName,position,teamId,season,player_clean,team_abbr,birth_date,total_round_trip_miles
6.567777778,5.799000199,7.290588235,3.143670568,7.69,1.890999801,55.88235294,10.72732269,1,38,68,450,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Quincy Enunwa', 'esbId': 'ENU444955', 'firstName': 'Quincy', 'footballName': 'Quincy', 'gsisId': '00-0031023', 'gsisItId': 41438, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vsd27gfxzjt7v7izbjet', 'jerseyNumber': 81, 'lastName': 'Enunwa', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'Q.Enunwa', 'smartId': '3200454e-5544-4955-3b04-da7d5976635a', 'status': 'RES', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",Quincy Enunwa,WR,3430,2018,quincy enunwa,NYJ,5/31/1992,9420.503367
6.538736842,5.069306981,6.07352381,3.564350324,5.701578947,0.632271967,72.38095238,9.662087533,5,76,105,816,"{'season': 2018, 'currentTeamId': '4900', 'displayName': 'Adam Humphries', 'esbId': 'HUM721507', 'firstName': 'Adam', 'footballName': 'Adam', 'gsisId': '00-0032009', 'gsisItId': 43010, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/k0vkjiqxo1qntcqye1p3', 'jerseyNumber': 10, 'lastName': 'Humphries', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'A.Humphries', 'smartId': '32004855-4d72-1507-4b02-e4f7666b5805', 'status': 'ACT'}",Adam Humphries,WR,4900,2018,adam humphries,TB,6/24/1993,11937.85766
6.50375,3.433282408,9.547307692,3.258717256,4.289375,0.856092592,61.53846154,9.405893698,5,32,52,334,"{'season': 2018, 'currentTeamId': '2310', 'displayName': 'Chris Conley', 'esbId': 'CON236839', 'firstName': 'Christian', 'footballName': 'Chris', 'gsisId': '00-0032128', 'gsisItId': 42419, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/a53jzbb9mcuxhvirkjzs', 'jerseyNumber': 17, 'lastName': 'Conley', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Conley', 'smartId': '3200434f-4e23-6839-29a1-a288b71f08e0', 'status': 'ACT', 'suffix': 'Jr.'}",Chris Conley,WR,2310,2018,chris conley,KC,10/25/1992,17312.03603
6.470980392,3.582686212,11.22169811,3.006989393,4.152307692,0.569621481,73.58490566,11.25026955,4,39,53,572,"{'season': 2018, 'currentTeamId': '1050', 'displayName': 'Rashard Higgins', 'esbId': 'HIG322107', 'firstName': 'Rashard', 'footballName': 'Rashard', 'gsisId': '00-0032977', 'gsisItId': 43461, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ya6ohfbuk96lfgarxbds', 'jerseyNumber': 81, 'lastName': 'Higgins', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Higgins', 'smartId': '32004849-4732-2107-8b68-79212110bd89', 'status': 'ACT'}",Rashard Higgins,WR,1050,2018,rashard higgins,CLE,10/7/1994,13363.3961
6.4640625,3.648052675,9.055074627,2.806300831,3.642380952,-0.005671722,62.68656716,15.49702673,4,42,67,487,"{'season': 2018, 'currentTeamId': '4500', 'displayName': 'Kendrick Bourne', 'esbId': 'BOU434790', 'firstName': 'Kendrick', 'footballName': 'Kendrick', 'gsisId': '00-0033307', 'gsisItId': 45185, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ds0gb18xysmfji01ma58', 'jerseyNumber': 84, 'lastName': 'Bourne', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'K.Bourne', 'smartId': '3200424f-5543-4790-acfc-7b92d77f3c8b', 'status': 'ACT'}",Kendrick Bourne,WR,4500,2018,kendrick bourne,SF,8/4/1995,18381.19579
6.43923913,3.624238881,16.5006383,2.303899889,3.6434,0.019161119,53.19148936,33.56204844,6,50,94,752,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Robby Anderson', 'esbId': 'AND460305', 'firstName': 'Robby', 'footballName': 'Robby', 'gsisId': '00-0032688', 'gsisItId': 43808, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vtqf5f1ti4ojfjggm388', 'jerseyNumber': 11, 'lastName': 'Anderson', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Anderson', 'smartId': '3200414e-4446-0305-58a8-61667bde4206', 'status': 'ACT'}",Robby Anderson,WR,3430,2018,robby anderson,NYJ,5/9/1993,9420.503367
6.37,5.028166449,9.103673469,2.895312886,7.63862069,2.61045424,59.18367347,10.72403074,2,29,49,388,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Jamison Crowder', 'esbId': 'CRO697273', 'firstName': 'Jamison', 'footballName': 'Jamison', 'gsisId': '00-0031941', 'gsisItId': 42448, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vvkr9dehtvp58emtgn4y', 'jerseyNumber': 80, 'lastName': 'Crowder', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Crowder', 'smartId': '32004352-4f69-7273-6662-7a928881f033', 'status': 'ACT'}",Jamison Crowder,WR,5110,2018,jamison crowder,WAS,6/17/1993,13070.916
6.365916667,4.764846958,11.28884615,2.97665106,5.285465116,0.520618159,66.15384615,29.86278847,6,86,130,1219,"{'season': 2018, 'currentTeamId': '2510', 'displayName': 'Robert Woods', 'esbId': 'WOO561144', 'firstName': 'Robert', 'footballName': 'Robert', 'gsisId': '00-0030431', 'gsisItId': 39989, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vwtoba3zfsmti9s9wwau', 'jerseyNumber': 17, 'lastName': 'Woods', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Woods', 'smartId': '3200574f-4f56-1144-59b1-dbf0c9bdb37a', 'status': 'ACT'}",Robert Woods,WR,2510,2018,robert woods,LA,4/10/1992,19567.80407
6.351126761,3.186660028,9.326052632,2.673896584,3.666756757,0.480096728,48.68421053,15.33667859,1,37,76,371,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Jermaine Kearse', 'esbId': 'KEA511674', 'firstName': 'Jermaine', 'footballName': 'Jermaine', 'gsisId': '00-0029159', 'gsisItId': 39141, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/tvnzajvst7kdglamw4t6', 'jerseyNumber': 10, 'lastName': 'Kearse', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Kearse', 'smartId': '32004b45-4151-1674-d596-03e4cb69bbc1', 'status': 'ACT', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",Jermaine Kearse,WR,3430,2018,jermaine kearse,NYJ,2/6/1990,9420.503367
6.338921569,2.539086636,9.596964286,2.261011109,3.215507246,0.67642061,61.60714286,27.10104586,6,69,112,734,"{'season': 2018, 'currentTeamId': '3800', 'displayName': 'Larry Fitzgerald', 'esbId': 'FIT437493', 'firstName': 'Larry', 'footballName': 'Larry', 'gsisId': '00-0022921', 'gsisItId': 28955, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/qljpf6rufzvn9zplcrgb', 'jerseyNumber': 11, 'lastName': 'Fitzgerald', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'L.Fitzgerald', 'smartId': '32004649-5443-7493-c0df-1747b7d5c143', 'status': 'ACT', 'suffix': 'Jr.'}",Larry Fitzgerald,WR,3800,2018,larry fitzgerald,ARI,8/31/1983,15696.0081
