is_wr,recTouchdowns,receptions,targets,yards,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir
1,7,59,95,842,6.244831461,3.592968956,11.90242105,2.589310149,4.583898305,0.990929349,62.10526316,17.13167571,0.3125,11937.85766,717,0.056278113,0.508833742,22,73,209,4.42,0,0
1,3,35,55,532,6.243061224,6.09112967,12.02872727,4.08580671,5.979428571,-0.111701098,63.63636364,15.24469208,0.6875,18869.44337,1014,0.004994475,0.512246981,30,73,210,4.5,0,1
1,4,64,97,743,6.238292683,5.181751862,10.47371134,3.445243265,5.97515625,0.793404388,65.97938144,23.08179901,0.1875,18211.13552,1089,0.041282054,0.532989097,25,72,198,4.42,0,0
1,6,74,108,850,6.227065217,4.657301597,7.700925926,3.253567722,4.979864865,0.322563268,68.51851852,19.16474259,0.6875,18869.44337,989,0.004994475,0.512246981,32,70,200,4.52,2,0
1,3,43,68,590,6.2178125,4.379806617,9.758676471,2.712475212,5.437209302,1.057402685,63.23529412,16.73146551,0.1875,15696.0081,542,0.03152491,0.509734047,21,71,200,4.47,0,0
1,6,77,124,1052,6.211965812,4.449483493,11.48701613,2.970090375,4.538571429,0.089087936,62.09677419,33.29865673,0.75,15119.37179,716,0.045319427,0.516416462,25,71,198,,1,0
1,7,56,102,652,6.180816327,2.335027601,12.68411765,2.756729324,2.574821429,0.239793828,54.90196078,25.92527282,0.8125,10071.57274,941,0.009048812,0.515512126,23,74,200,4.45,0,0
1,6,37,64,553,6.1745,2.866592455,16.4134375,2.364326201,3.65972973,0.793137274,57.8125,29.4050465,0.4375,18489.7859,744,-0.003635571,0.464858531,26,73,196,4.38,0,0
1,2,26,47,316,6.156363636,2.864980468,11.23531915,3.091274842,3.451538462,0.586557993,55.31914894,16.48312544,0.3125,12049.56799,591,0.009323124,0.510487885,23,74,194,4.55,1,0
1,4,71,98,866,6.150212766,4.130715499,9.338979592,3.246848462,4.592394366,0.461678867,72.44897959,20.92940824,0.125,15500.69311,658,0.031874347,0.504024499,31,71,180,4.4,0,0
1,5,66,101,715,6.128426966,4.624369947,8.463069307,3.512672612,5.739848485,1.115478537,65.34653465,23.08417323,0.3125,11845.4414,805,0.021652013,0.540129429,24,72,176,4.39,1,0
1,2,45,64,494,6.122115385,4.433120034,8.56734375,3.228416457,5.227333333,0.794213299,70.3125,14.92308613,0.0625,"20,931.44",569,0.03214709,0.529121517,27,74,195,5.18,0,0
1,2,55,82,788,6.113,4.711260973,9.01402439,2.887994524,7.929818182,3.218557209,67.07317073,17.90385715,0.1875,6950.342707,733,0.06615784,0.493668301,21,71,215,4.42,0,0
0,3,47,72,682,6.083559322,4.195671523,12.03375,2.626242628,4.641702128,0.446030605,65.27777778,19.96502095,0.6875,18869.44337,1084,0.004994475,0.512246981,29,78,265,4.68,3,0
0,3,45,64,577,6.080517241,6.609104981,5.09390625,4.422359424,8.967333333,2.358228352,70.3125,7.621294084,0.75,15119.37179,475,0.045319427,0.516416462,23,75,236,4.42,0,1
0,8,116,156,1163,6.079917355,3.827446469,7.278653846,3.241403232,3.346896552,-0.480549917,74.35897436,25.7972246,0.1875,18211.13552,1107,0.041282054,0.532989097,27,77,250,4.76,0,0
1,4,65,112,891,6.079245283,3.659694966,10.25473214,3.051198104,4.345538462,0.685843496,58.03571429,35.85078224,0.3125,12049.56799,872,0.009323124,0.510487885,23,75,209,,0,0
0,3,32,49,313,6.04075,4.350000834,6.583265306,3.865717027,4.4675,0.117499166,65.30612245,6.564095468,0.1875,19567.80407,504,0.03319067,0.501887459,24,75,245,4.62,0,0
1,7,75,107,1005,5.981960784,3.778653828,9.911775701,2.901513136,5.743466667,1.964812839,70.09345794,28.86474482,0.8125,18985.53715,950,0.05710488,0.502805728,24,73,211,4.42,0,0
0,2,36,49,333,5.964324324,4.475290193,6.286530612,3.440528432,4.436666667,-0.038623527,73.46938776,7.461413997,0.1875,6950.342707,526,0.06615784,0.493668301,22,76,248,4.74,0,0
1,1,43,59,447,5.955272727,4.886592772,5.723220339,3.234327683,5.01372093,0.127128158,72.88135593,8.179118505,0.1875,6950.342707,529,0.06615784,0.493668301,28,70,191,4.39,0,0
1,5,59,89,677,5.919294118,4.214390868,10.37561798,3.021092108,4.931016949,0.716626081,66.29213483,21.11715593,0.6875,17678.83402,764,0.016572893,0.477167183,30,75,229,4.52,0,0
1,9,102,149,1021,5.915244755,3.677371442,8.88966443,2.729485972,4.342058824,0.664687381,68.45637584,29.5415414,0.75,14371.79524,874,0.031576075,0.49122807,24,72,191,4.46,0,0
1,3,48,89,672,5.912808989,3.331130816,12.84719101,2.246120903,5.139166667,1.80803585,53.93258427,30.87900098,0.3125,11845.4414,815,0.021652013,0.540129429,25,74,216,4.4,0,0
1,6,76,120,1270,5.899745763,5.355797857,11.32333333,2.30523626,6.176315789,0.820517932,63.33333333,27.56058034,0.6875,14502.58425,874,0.029891133,0.48635597,28,70,178,4.34,0,0
1,3,65,87,672,5.899390244,3.865493658,7.404137931,2.866364179,3.414153846,-0.451339812,74.71264368,16.15833239,0.8125,18985.53715,769,0.05710488,0.502805728,29,68,180,4.49,0,0
1,4,66,107,872,5.886262626,4.550699442,10.37700935,3.138342282,5.155454545,0.604755104,61.68224299,25.95695737,0.75,15119.37179,934,0.045319427,0.516416462,25,70,194,4.48,0,0
1,12,87,137,1479,5.855714286,4.846703826,14.8040146,3.148717596,6.379655172,1.532951347,63.50364964,38.42517686,0.125,17312.03603,1021,0.025024401,0.492788002,24,70,185,4.29,0,0
1,3,63,88,739,5.804216867,3.689992739,9.045568182,2.721723652,4.138095238,0.448102499,71.59090909,21.66461636,0.0625,"20,931.44",841,0.03214709,0.529121517,33,75,217,4.51,1,0
1,4,23,44,395,5.801904762,3.816841984,14.22113636,2.957531174,5.914347826,2.097505842,52.27272727,15.98337625,0.125,18381.19579,437,0.02577737,0.486296547,27,69,179,4.27,1,1
