team,season,turf_game_pct
ARI,2018,0.1875
ARI,2019,0.25
ARI,2020,0.4375
ARI,2021,0.2777777777777778
ARI,2022,0.29411764705882354
ARI,2023,0.17647058823529413
ARI,2024,0.29411764705882354
ATL,2018,0.625
ATL,2019,0.8125
ATL,2020,0.8125
ATL,2021,0.7647058823529411
ATL,2022,0.8235294117647058
ATL,2023,0.7058823529411765
ATL,2024,0.7058823529411765
BAL,2018,0.17647058823529413
BAL,2019,0.17647058823529413
BAL,2020,0.2777777777777778
BAL,2021,0.11764705882352941
BAL,2022,0.3333333333333333
BAL,2023,0.10526315789473684
BAL,2024,0.3157894736842105
BUF,2018,0.8125
BUF,2019,0.7647058823529411
BUF,2020,0.631578947368421
BUF,2021,0.6842105263157895
BUF,2022,0.7777777777777778
BUF,2023,0.7894736842105263
BUF,2024,0.85
CAR,2018,0.6875
CAR,2019,0.75
CAR,2020,0.75
CAR,2021,0.8235294117647058
CAR,2022,0.8823529411764706
CAR,2023,0.7058823529411765
CAR,2024,0.6470588235294118
CHI,2018,0.23529411764705882
CHI,2019,0.1875
CHI,2020,0.35294117647058826
CHI,2021,0.23529411764705882
CHI,2022,0.4117647058823529
CHI,2023,0.23529411764705882
CHI,2024,0.23529411764705882
CIN,2018,0.6875
CIN,2019,0.6875
CIN,2020,0.625
CIN,2021,0.6190476190476191
CIN,2022,0.6842105263157895
CIN,2023,0.5294117647058824
CIN,2024,0.7058823529411765
CLE,2018,0.25
CLE,2019,0.1875
CLE,2020,0.2222222222222222
CLE,2021,0.23529411764705882
CLE,2022,0.29411764705882354
CLE,2023,0.3333333333333333
CLE,2024,0.11764705882352941
DAL,2018,0.8333333333333334
DAL,2019,0.8125
DAL,2020,0.8125
DAL,2021,0.7777777777777778
DAL,2022,0.631578947368421
DAL,2023,0.7222222222222222
DAL,2024,0.7058823529411765
DEN,2018,0.1875
DEN,2019,0.3125
DEN,2020,0.3125
DEN,2021,0.17647058823529413
DEN,2022,0.23529411764705882
DEN,2023,0.23529411764705882
DEN,2024,0.3333333333333333
DET,2018,0.6875
DET,2019,0.625
DET,2020,0.6875
DET,2021,0.7058823529411765
DET,2022,0.8823529411764706
DET,2023,0.7
DET,2024,0.7777777777777778
GB,2018,0.3125
GB,2019,0.2222222222222222
GB,2020,0.2777777777777778
GB,2021,0.2222222222222222
GB,2022,0.17647058823529413
GB,2023,0.3157894736842105
GB,2024,0.2222222222222222
HOU,2018,0.7058823529411765
HOU,2019,0.6111111111111112
HOU,2020,0.625
HOU,2021,0.6470588235294118
HOU,2022,0.6470588235294118
HOU,2023,0.7894736842105263
HOU,2024,0.7368421052631579
IND,2018,0.7222222222222222
IND,2019,0.625
IND,2020,0.6470588235294118
IND,2021,0.6470588235294118
IND,2022,0.7647058823529411
IND,2023,0.8235294117647058
IND,2024,0.7647058823529411
JAX,2018,0.3125
JAX,2019,0.375
JAX,2020,0.3125
JAX,2021,0.4117647058823529
JAX,2022,0.2631578947368421
JAX,2023,0.23529411764705882
JAX,2024,0.23529411764705882
KC,2018,0.16666666666666666
KC,2019,0.15789473684210525
KC,2020,0.15789473684210525
KC,2021,0.1
KC,2022,0.2
KC,2023,0.23809523809523808
KC,2024,0.2
LA,2018,0.2631578947368421
LA,2019,0.25
LA,2020,0.6111111111111112
LA,2021,0.7619047619047619
LA,2022,0.7058823529411765
LA,2023,0.7777777777777778
LA,2024,0.7894736842105263
LAC,2018,0.2222222222222222
LAC,2019,0.125
LAC,2020,0.6875
LAC,2021,0.6470588235294118
LAC,2022,0.6111111111111112
LAC,2023,0.7058823529411765
LAC,2024,0.6666666666666666
LV,2020,0.3125
LV,2021,0.2777777777777778
LV,2022,0.23529411764705882
LV,2023,0.23529411764705882
LV,2024,0.23529411764705882
MIA,2018,0.4375
MIA,2019,0.375
MIA,2020,0.1875
MIA,2021,0.23529411764705882
MIA,2022,0.3888888888888889
MIA,2023,0.2222222222222222
MIA,2024,0.4117647058823529
MIN,2018,0.75
MIN,2019,0.7222222222222222
MIN,2020,0.8125
MIN,2021,0.7058823529411765
MIN,2022,0.7222222222222222
MIN,2023,0.7058823529411765
MIN,2024,0.7777777777777778
NE,2018,0.631578947368421
NE,2019,0.7647058823529411
NE,2020,0.875
NE,2021,0.9444444444444444
NE,2022,0.6470588235294118
NE,2023,0.7647058823529411
NE,2024,0.6470588235294118
NO,2018,0.8888888888888888
NO,2019,0.7058823529411765
NO,2020,0.7222222222222222
NO,2021,0.7647058823529411
NO,2022,0.6470588235294118
NO,2023,0.8823529411764706
NO,2024,0.8235294117647058
NYG,2018,0.8125
NYG,2019,0.75
NYG,2020,0.75
NYG,2021,0.6470588235294118
NYG,2022,0.6842105263157895
NYG,2023,0.6470588235294118
NYG,2024,0.7647058823529411
NYJ,2018,0.6875
NYJ,2019,0.6875
NYJ,2020,0.875
NYJ,2021,0.8823529411764706
NYJ,2022,0.7058823529411765
NYJ,2023,0.7647058823529411
NYJ,2024,0.6470588235294118
OAK,2018,0.5625
OAK,2019,0.75
PHI,2018,0.2222222222222222
PHI,2019,0.29411764705882354
PHI,2020,0.125
PHI,2021,0.3333333333333333
PHI,2022,0.25
PHI,2023,0.3333333333333333
PHI,2024,0.23809523809523808
PIT,2018,0.1875
PIT,2019,0.1875
PIT,2020,0.23529411764705882
PIT,2021,0.2222222222222222
PIT,2022,0.29411764705882354
PIT,2023,0.3333333333333333
PIT,2024,0.16666666666666666
SEA,2018,0.7058823529411765
SEA,2019,0.5555555555555556
SEA,2020,0.7058823529411765
SEA,2021,0.7058823529411765
SEA,2022,0.7222222222222222
SEA,2023,0.7647058823529411
SEA,2024,0.8235294117647058
SF,2018,0.125
SF,2019,0.15789473684210525
SF,2020,0.4375
SF,2021,0.3
SF,2022,0.2
SF,2023,0.15
SF,2024,0.23529411764705882
TB,2018,0.375
TB,2019,0.3125
TB,2020,0.3
TB,2021,0.3684210526315789
TB,2022,0.2222222222222222
TB,2023,0.42105263157894735
TB,2024,0.3888888888888889
TEN,2018,0.3125
TEN,2019,0.3157894736842105
TEN,2020,0.23529411764705882
TEN,2021,0.3333333333333333
TEN,2022,0.23529411764705882
TEN,2023,0.17647058823529413
TEN,2024,0.29411764705882354
WAS,2018,0.1875
WAS,2019,0.3125
WAS,2020,0.17647058823529413
WAS,2021,0.29411764705882354
WAS,2022,0.29411764705882354
WAS,2023,0.4117647058823529
WAS,2024,0.25
