player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
jordy nelson,jordy nelson,2018,jordy nelson,2015,100
marquise goodwin,marquise goodwin,2018,marquise goodwin,2015,100
marquise goodwin,marquise goodwin,2018,marquise goodwin,2019,100
marquise goodwin,marquise goodwin,2018,marquise goodwin,2022,100
ryan switzer,ryan switzer,2018,ryan switzer,2019,100
ryan switzer,ryan switzer,2018,ryan switzer,2021,100
adam thielen,adam thielen,2018,adam thielen,2021,100
adam thielen,adam thielen,2018,adam thielen,2024,100
kyle rudolph,kyle rudolph,2018,kyle rudolph,2013,100
kyle rudolph,kyle rudolph,2018,kyle rudolph,2020,100
trey burton,trey burton,2018,trey burton,2019,100
trey burton,trey burton,2018,trey burton,2020,100
eric ebron,eric ebron,2018,eric ebron,2019,100
eric ebron,eric ebron,2018,eric ebron,2021,100
chris herndon,chris herndon,2018,chris herndon,2019,100
nick vannett,nick vannett,2018,nick vannett,2021,100
mohamed sanu,mohamed sanu,2018,mohamed sanu,2012,100
mohamed sanu,mohamed sanu,2018,mohamed sanu,2021,100
julio jones,julio jones,2018,julio jones,2013,100
julio jones,julio jones,2018,julio jones,2021,100
mike evans,mike evans,2018,mike evans,2019,100
john brown,john brown,2018,john brown,2020,100
chester rogers,chester rogers,2018,chester rogers,2019,100
chester rogers,chester rogers,2018,chester rogers,2022,100
brandin cooks,brandin cooks,2018,brandin cooks,2014,100
brandin cooks,brandin cooks,2018,brandin cooks,2024,100
jeff heuerman,jeff heuerman,2018,jeff heuerman,2015,100
jeff heuerman,jeff heuerman,2018,jeff heuerman,2018,100
ryan grant,ryan grant,2018,ryan grant,2010,100
jarvis landry,jarvis landry,2018,jarvis landry,2021,100
jarvis landry,jarvis landry,2018,jarvis landry,2022,100
cameron brate,cameron brate,2018,cameron brate,2016,100
tyler boyd,tyler boyd,2018,tyler boyd,2018,100
travis kelce,travis kelce,2018,travis kelce,2013,100
josh doctson,josh doctson,2018,josh doctson,2016,100
josh doctson,josh doctson,2018,josh doctson,2019,100
jared cook,jared cook,2018,jared cook,2012,100
pierre garcon,pierre garcon,2018,pierre garcon,2017,100
pierre garcon,pierre garcon,2018,pierre garcon,2018,100
tyrell williams,tyrell williams,2018,tyrell williams,2020,100
tyrell williams,tyrell williams,2018,tyrell williams,2021,100
david njoku,david njoku,2018,david njoku,2019,100
david njoku,david njoku,2018,david njoku,2020,100
david njoku,david njoku,2018,david njoku,2024,100
allen robinson,allen robinson,2018,allen robinson,2014,100
allen robinson,allen robinson,2018,allen robinson,2017,100
allen robinson,allen robinson,2018,allen robinson,2022,100
vance mcdonald,vance mcdonald,2018,vance mcdonald,2014,100
vance mcdonald,vance mcdonald,2018,vance mcdonald,2016,100
sammy watkins,sammy watkins,2018,sammy watkins,2016,100
sammy watkins,sammy watkins,2018,sammy watkins,2022,100
kelvin benjamin,kelvin benjamin,2018,kelvin benjamin,2015,100
alshon jeffery,alshon jeffery,2018,alshon jeffery,2015,100
alshon jeffery,alshon jeffery,2018,alshon jeffery,2019,100
will fuller,will fuller,2018,will fuller,2018,100
will fuller,will fuller,2018,will fuller,2021,100
chad williams,chad williams,2018,chad williams,2020,100
chad williams,chad williams,2018,chad williams,2021,100
george kittle,george kittle,2018,george kittle,2020,100
george kittle,george kittle,2018,george kittle,2021,100
willie snead,willie snead,2018,willie snead,2024,100
john ross,john ross,2018,john ross,2017,100
john ross,john ross,2018,john ross,2019,100
john ross,john ross,2018,john ross,2020,100
john ross,john ross,2018,john ross,2021,100
randall cobb,randall cobb,2018,randall cobb,2013,100
randall cobb,randall cobb,2018,randall cobb,2020,100
randall cobb,randall cobb,2018,randall cobb,2021,100
randall cobb,randall cobb,2018,randall cobb,2022,100
dante pettis,dante pettis,2018,dante pettis,2018,100
dante pettis,dante pettis,2018,dante pettis,2021,100
dante pettis,dante pettis,2018,dante pettis,2023,100
dante pettis,dante pettis,2018,dante pettis,2024,100
michael gallup,michael gallup,2018,michael gallup,2021,100
michael gallup,michael gallup,2018,michael gallup,2021,100
juju smith-schuster,juju smith-schuster,2018,juju smith-schuster,2021,100
juju smith-schuster,juju smith-schuster,2018,juju smith-schuster,2023,100
ricky seals-jones,ricky seals-jones,2018,ricky seals-jones,2021,100
ricky seals-jones,ricky seals-jones,2018,ricky seals-jones,2022,100
ricky seals-jones,ricky seals-jones,2018,ricky seals-jones,2023,100
keenan allen,keenan allen,2018,keenan allen,2015,100
keenan allen,keenan allen,2018,keenan allen,2016,100
mark andrews,mark andrews,2018,mark andrews,2023,100
anthony miller,anthony miller,2018,anthony miller,2022,100
benjamin watson,benjamin watson,2018,benjamin watson,2011,100
benjamin watson,benjamin watson,2018,benjamin watson,2016,100
dallas goedert,dallas goedert,2018,dallas goedert,2020,100
dallas goedert,dallas goedert,2018,dallas goedert,2022,100
dallas goedert,dallas goedert,2018,dallas goedert,2024,100
ryan griffin,ryan griffin,2018,ryan griffin,2015,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2020,100
ryan griffin,ryan griffin,2018,ryan griffin,2021,100
ryan griffin,ryan griffin,2018,ryan griffin,2015,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2020,100
ryan griffin,ryan griffin,2018,ryan griffin,2021,100
ryan griffin,ryan griffin,2018,ryan griffin,2015,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2020,100
ryan griffin,ryan griffin,2018,ryan griffin,2021,100
ryan griffin,ryan griffin,2018,ryan griffin,2015,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2017,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2020,100
ryan griffin,ryan griffin,2018,ryan griffin,2021,100
devante parker,devante parker,2018,devante parker,2021,100
cj uzomah,cj uzomah,2018,cj uzomah,2020,100
cj uzomah,cj uzomah,2018,cj uzomah,2023,100
cj uzomah,cj uzomah,2018,cj uzomah,2024,100
devin funchess,devin funchess,2018,devin funchess,2016,100
devin funchess,devin funchess,2018,devin funchess,2019,100
devin funchess,devin funchess,2018,devin funchess,2021,100
antonio callaway,antonio callaway,2018,antonio callaway,2021,100
mike williams,mike williams,2018,mike williams,2011,100
mike williams,mike williams,2018,mike williams,2013,100
mike williams,mike williams,2018,mike williams,2014,100
mike williams,mike williams,2018,mike williams,2023,100
deandre hopkins,deandre hopkins,2018,deandre hopkins,2021,100
david moore,david moore,2018,david moore,2022,100
josh gordon,josh gordon,2018,josh gordon,2019,100
michael thomas,michael thomas,2018,michael thomas,2014,100
michael thomas,michael thomas,2018,michael thomas,2017,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2022,100
michael thomas,michael thomas,2018,michael thomas,2023,100
michael thomas,michael thomas,2018,michael thomas,2014,100
michael thomas,michael thomas,2018,michael thomas,2017,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2022,100
michael thomas,michael thomas,2018,michael thomas,2023,100
michael thomas,michael thomas,2018,michael thomas,2014,100
michael thomas,michael thomas,2018,michael thomas,2017,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2022,100
michael thomas,michael thomas,2018,michael thomas,2023,100
michael thomas,michael thomas,2018,michael thomas,2014,100
michael thomas,michael thomas,2018,michael thomas,2017,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2020,100
michael thomas,michael thomas,2018,michael thomas,2022,100
michael thomas,michael thomas,2018,michael thomas,2023,100
courtland sutton,courtland sutton,2018,courtland sutton,2020,100
oj howard,oj howard,2018,oj howard,2017,100
oj howard,oj howard,2018,oj howard,2018,100
oj howard,oj howard,2018,oj howard,2020,100
antonio gates,antonio gates,2018,antonio gates,2010,100
aj green,aj green,2018,aj green,2016,100
aj green,aj green,2018,aj green,2018,100
aj green,aj green,2018,aj green,2019,100
marvin jones,marvin jones,2018,marvin jones,2014,100
marvin jones,marvin jones,2018,marvin jones,2018,100
marvin jones,marvin jones,2018,marvin jones,2019,100
calvin ridley,calvin ridley,2019,calvin ridley,2019,100
robert woods,robert woods,2019,robert woods,2015,100
robert woods,robert woods,2019,robert woods,2021,100
corey davis,corey davis,2019,corey davis,2021,100
ted ginn,ted ginn,2019,ted ginn,2018,100
albert wilson,albert wilson,2019,albert wilson,2018,100
jacob hollister,jacob hollister,2019,jacob hollister,2018,100
jacob hollister,jacob hollister,2019,jacob hollister,2022,100
jacob hollister,jacob hollister,2019,jacob hollister,2023,100
steven sims,steven sims,2019,steven sims,2020,100
chris godwin,chris godwin,2019,chris godwin,2020,100
chris godwin,chris godwin,2019,chris godwin,2021,100
chris godwin,chris godwin,2019,chris godwin,2024,100
trey quinn,trey quinn,2019,trey quinn,2018,100
trey quinn,trey quinn,2019,trey quinn,2018,100
trey quinn,trey quinn,2019,trey quinn,2019,100
trey quinn,trey quinn,2019,trey quinn,2021,100
trey quinn,trey quinn,2019,trey quinn,2023,100
marvin jones,marvin jones,2019,marvin jones,2014,100
marvin jones,marvin jones,2019,marvin jones,2018,100
