Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2009,Bills,,nic harris,placed on ir with knee injury,,,,1/1/2010,,nic harris,nic harris
2009,Panthers,,steve smith  steve smith sr latrall,placed on ir with forearm injury,,,,1/1/2010,,steve smith ,steve smith
2009,49ers,,ricky schmitt,placed on ir with left groin injury,,,,1/2/2010,,ricky schmitt,ricky schmitt
2009,Bills,,todd johnson,placed on ir with hamstring injury,,,,1/2/2010,,todd johnson,todd johnson
2009,Browns,,david veikune,placed on ir with knee injury,,,,1/2/2010,,david veikune,david veikune
2009,Colts,,tom santi,placed on ir with back injury,,,,1/2/2010,,tom santi,tom santi
2009,Jaguars,,atiyyah ellison,placed on ir with knee injury,,,,1/2/2010,,atiyyah ellison,atiyyah ellison
2009,Bengals,,pat sims,placed on ir with forearm injury,,,,1/4/2010,,pat sims,pat sims
2009,Cardinals,,jason banks,placed on ir with ankle injury,,,,1/5/2010,,jason banks,jason banks
2009,Saints,,charles grant gabriel,placed on ir with triceps injury,,,,1/5/2010,,charles grant gabriel,charles grant gabriel
2009,Chargers,,james holt b,placed on ir with shoulder injury,,,,1/6/2010,,james holt b,james holt b
2009,Patriots,,wes welker,placed on ir with knee injury,,,,1/6/2010,,wes welker,wes welker
2009,Saints,,rodney leisle,placed on ir with knee injury,,,,1/15/2010,,rodney leisle,rodney leisle
2010,Jaguars,,torrance daniels  tank daniels,placed on ir,,,,4/28/2010,,torrance daniels tank,torrance daniels tank
2010,Jaguars,,bryan smith,placed on ir with torn acl in right knee,,,,5/6/2010,,bryan smith,bryan smith
2010,Chiefs,,chandler williams iii,placed on ir,,,,5/7/2010,,chandler williams iii,chandler williams iii
2010,Steelers,,limas sweed,placed on ir with achilles tendon injury,,,,5/11/2010,,limas sweed,limas sweed
2010,Buccaneers,,byron storer,placed on ir,,,,5/19/2010,,byron storer,byron storer
2010,Bears,,brett basanez,placed on ir with wrist injury,,,,5/20/2010,,brett basanez,brett basanez
2010,Titans,,dominique lindsay,placed on ir with achilles tendon injury,,,,5/26/2010,,dominique lindsay,dominique lindsay
2010,Bears,,lawrence wilson b,placed on ir,,,,6/2/2010,,lawrence wilson b,lawrence wilson b
2010,Eagles,,marlin jackson,placed on ir with achilles tendon injury,,,,6/10/2010,,marlin jackson,marlin jackson
2010,Texans,,trey stross,placed on ir,,,,6/14/2010,,trey stross,trey stross
2010,Broncos,,braxton kelley,placed on ir,,,,6/15/2010,,braxton kelley,braxton kelley
2010,Vikings,,aaron rhea,placed on ir,,,,6/15/2010,,aaron rhea,aaron rhea
2010,Saints,,roy hall b 1983-12-08,placed on ir,,,,6/16/2010,,roy hall b --,roy hall
2010,Titans,,roderick hood  rod hood,placed on ir with torn acl in knee,,,,6/16/2010,,roderick hood rod hood,roderick hood rod
2010,Saints,,greg fassitt,placed on ir,,,,6/17/2010,,greg fassitt,greg fassitt
2010,Broncos,,kyle eckel,placed on ir,,,,6/18/2010,,kyle eckel,kyle eckel
2010,Redskins,,marques hagans,placed on ir,,,,6/22/2010,,marques hagans,marques hagans
2010,Rams,,kc asiodu,placed on ir,,,,6/29/2010,,kc asiodu,kc asiodu
2010,Lions,,copeland bryan,placed on ir with knee injury,,,,7/7/2010,,copeland bryan,copeland bryan
2010,Steelers,,willie colon,placed on ir with right achilles tendon injury,,,,7/21/2010,,willie colon,willie colon
2010,Bills,,joe klopfenstein,placed on ir with undisclosed injury,,,,7/22/2010,,joe klopfenstein,joe klopfenstein
2010,Ravens,,domonique foxworth,placed on ir with torn acl in right knee,,,,8/1/2010,,domonique foxworth,domonique foxworth
2010,Texans,,glenn martinez,placed on ir with hamstring injury,,,,8/2/2010,,glenn martinez,glenn martinez
2010,Colts,,tom santi,placed on ir,,,,8/3/2010,,tom santi,tom santi
2010,Panthers,,marcus walker b 1986-05-23,placed on ir,,,,8/3/2010,,marcus walker b --,marcus walker
2010,Seahawks,,jameson konz,placed on ir with hip injury,,,,8/3/2010,,jameson konz,jameson konz
2010,Cardinals,,dean muhtadi,placed on ir,,,,8/4/2010,,dean muhtadi,dean muhtadi
2010,Dolphins,,aj edds,placed on ir with torn acl in right knee,,,,8/4/2010,,aj edds,aj edds
2010,Texans,,justin griffith,placed on ir with spinal cord concussion,,,,8/4/2010,,justin griffith,justin griffith
2010,Dolphins,,kory sheets,placed on ir,,,,8/5/2010,,kory sheets,kory sheets
2010,Broncos,,josh barrett,placed on ir with shoulder injury,,,,8/5/2010,,josh barrett,josh barrett
2010,Broncos,,kenny mckinley,placed on ir with knee injury,,,,8/6/2010,,kenny mckinley,kenny mckinley
2010,Chargers,,bryan walters,placed on ir,,,,8/6/2010,,bryan walters,bryan walters
2010,Jaguars,,jason harmon b,placed on ir,,,,8/6/2010,,jason harmon b,jason harmon b
2010,Rams,,chris hovan,placed on ir with back injury,,,,8/6/2010,,chris hovan,chris hovan
2010,Ravens,,walt harris lee,placed on ir with achilles tendon injury,,,,8/6/2010,,walt harris lee,walt harris lee
2010,Browns,,chris roberson,placed on ir with right leg injury,,,,8/7/2010,,chris roberson,chris roberson
2010,Buccaneers,,matt ohanlon,placed on ir,,,,8/7/2010,,matt ohanlon,matt ohanlon
2010,Packers,,jeff moturi,placed on ir with knee injury,,,,8/7/2010,,jeff moturi,jeff moturi
2010,Rams,,mark lewis b,placed on ir for undisclosed reasons,,,,8/7/2010,,mark lewis b,mark lewis b
2010,Chiefs,,tervaris johnson,placed on ir with leg injury,,,,8/8/2010,,tervaris johnson,tervaris johnson
2010,Giants,,rueben riley,placed on ir,,,,8/8/2010,,rueben riley,rueben riley
2010,Jaguars,,nate hughes,placed on ir,,,,8/8/2010,,nate hughes,nate hughes
2010,Seahawks,,anthony heygood,placed on ir,,,,8/8/2010,,anthony heygood,anthony heygood
2010,Jaguars,,terrell whitehead,placed on ir,,,,8/8/2010,,terrell whitehead,terrell whitehead
2010,Bears,,mike teel,placed on ir,,,,8/9/2010,,mike teel,mike teel
2010,Raiders,,jonathan holland,placed on ir with ankle injury,,,,8/9/2010,,jonathan holland,jonathan holland
2010,Seahawks,,isaiah stanback,placed on ir,,,,8/9/2010,,isaiah stanback,isaiah stanback
2010,Seahawks,,ryan powdrell,placed on ir,,,,8/9/2010,,ryan powdrell,ryan powdrell
2010,Steelers,,tuff harris,placed on ir,,,,8/9/2010,,tuff harris,tuff harris
2010,Bears,,averell spicer,placed on ir,,,,8/10/2010,,averell spicer,averell spicer
2010,Cardinals,,charles ali,placed on ir,,,,8/10/2010,,charles ali,charles ali
2010,Lions,,joe cohen,placed on ir,,,,8/10/2010,,joe cohen,joe cohen
2010,49ers,,martail burnett,placed on ir with right knee injury,,,,8/11/2010,,martail burnett,martail burnett
2010,Bengals,,cordera eason,placed on ir with foot injury,,,,8/11/2010,,cordera eason,cordera eason
2010,Cowboys,,kevin brock,placed on ir,,,,8/11/2010,,kevin brock,kevin brock
2010,Cowboys,,titus ryan,placed on ir,,,,8/11/2010,,titus ryan,titus ryan
2010,Bears,,antonio robinson,placed on ir,,,,8/12/2010,,antonio robinson,antonio robinson
2010,Bears,,harvey unga,placed on ir with right hamstring injury,,,,8/12/2010,,harvey unga,harvey unga
2010,Bills,,felton huggins,placed on ir,,,,8/12/2010,,felton huggins,felton huggins
2010,Dolphins,,evan oglesby,placed on ir with left ankle injury,,,,8/12/2010,,evan oglesby,evan oglesby
2010,Packers,,josh bell,placed on ir,,,,8/12/2010,,josh bell,josh bell
2010,Steelers,,andre frazier,placed on ir with knee injury,,,,8/12/2010,,andre frazier,andre frazier
2010,49ers,,scott mckillop,placed on ir with torn acl in left knee,,,,8/13/2010,,scott mckillop,scott mckillop
2010,Cardinals,,keilen dykes,placed on ir,,,,8/13/2010,,keilen dykes,keilen dykes
2010,Patriots,,ty warren,placed on ir with hip injury,,,,8/13/2010,,ty warren,ty warren
2010,Eagles,,antoine harris,placed on ir with foot injury,,,,8/15/2010,,antoine harris,antoine harris
2010,Patriots,,torry holt,placed on ir with knee injury,,,,8/15/2010,,torry holt,torry holt
2010,Chargers,,ali highsmith,placed on ir,,,,8/16/2010,,ali highsmith,ali highsmith
2010,Colts,,david caldwell b,placed on ir,,,,8/16/2010,,david caldwell b,david caldwell b
2010,Jets,,marlon davis,placed on ir,,,,8/16/2010,,marlon davis,marlon davis
2010,Lions,,jordon dizon,placed on ir with knee injury,,,,8/16/2010,,jordon dizon,jordon dizon
2010,Panthers,,steve justice,placed on ir,,,,8/16/2010,,steve justice,steve justice
2010,Saints,,lynell hamilton,placed on ir with knee injury,,,,8/16/2010,,lynell hamilton,lynell hamilton
2010,Texans,,ben tate b,placed on ir with ankle injury,,,,8/16/2010,,ben tate b,ben tate b
2010,Texans,,tim bulman,placed on ir with shoulder injury,,,,8/16/2010,,tim bulman,tim bulman
2010,Titans,,marcus howard,placed on ir,,,,8/16/2010,,marcus howard,marcus howard
2010,Bills,,ryan manalac,placed on ir,,,,8/17/2010,,ryan manalac,ryan manalac
2010,Browns,,dave zastudil,placed on ir with right knee injury,,,,8/17/2010,,dave zastudil,dave zastudil
2010,Browns,,johnathan haggerty,placed on ir,,,,8/17/2010,,johnathan haggerty,johnathan haggerty
2010,Colts,,jamie silva,placed on ir,,,,8/18/2010,,jamie silva,jamie silva
2010,Lions,,richard dickson,placed on ir with knee injury,,,,8/18/2010,,richard dickson,richard dickson
2010,Titans,,stafon johnson,placed on ir with right ankle and leg injury,,,,8/18/2010,,stafon johnson,stafon johnson
2010,49ers,,chris patrick,placed on ir with shoulder injury,,,,8/19/2010,,chris patrick,chris patrick
2010,Bears,,matt mayberry,placed on ir,,,,8/19/2010,,matt mayberry,matt mayberry
2010,Colts,,donye mccleskey  donye mccleskey,placed on ir,,,,8/19/2010,,donye mccleskey,donye mccleskey
2010,Lions,,jahi word-daniels,placed on ir,,,,8/19/2010,,jahi word-daniels,jahi word-daniels
2010,Lions,,matt clapp,placed on ir,,,,8/19/2010,,matt clapp,matt clapp
2010,Raiders,,charlie frye,placed on ir with right wrist injury,,,,8/19/2010,,charlie frye,charlie frye
2010,Redskins,,mike furrey,placed on ir with concussion,,,,8/19/2010,,mike furrey,mike furrey
2010,Vikings,,jaymar johnson,placed on ir with fractured left thumb,,,,8/19/2010,,jaymar johnson,jaymar johnson
2010,Buccaneers,,devon hall,placed on ir,,,,8/20/2010,,devon hall,devon hall
2010,Jaguars,,freddy keiaho,placed on ir with concussion,,,,8/20/2010,,freddy keiaho,freddy keiaho
2010,Texans,,darnell bing,placed on ir with neck injury,,,,8/20/2010,,darnell bing,darnell bing
2010,Falcons,,kerry meier,placed on ir with knee injury,,,,8/21/2010,,kerry meier,kerry meier
2010,Bills,,danny batten,placed on ir with right shoulder injury (surgery),,,,8/23/2010,,danny batten,danny batten
2010,Bills,,marcus easley,placed on ir with left knee injury,,,,8/23/2010,,marcus easley,marcus easley
2010,Colts,,jordan hemby,placed on ir,,,,8/23/2010,,jordan hemby,jordan hemby
2010,Jets,,ropati pitoitua,placed on ir with left achilles tendon injury,,,,8/23/2010,,ropati pitoitua,ropati pitoitua
2010,Lions,,roy schuening,placed on ir,,,,8/23/2010,,roy schuening,roy schuening
2010,Saints,,marcus mailei,placed on ir with undisclosed injury,,,,8/23/2010,,marcus mailei,marcus mailei
2010,Bears,,eric peterman,placed on ir,,,,8/24/2010,,eric peterman,eric peterman
2010,Bengals,,andrew mitchell,placed on ir,,,,8/24/2010,,andrew mitchell,andrew mitchell
2010,Patriots,,kade weston,placed on ir with undisclosed injury,,,,8/24/2010,,kade weston,kade weston
2010,Saints,,pj hill,placed on ir with left leg injury,,,,8/24/2010,,pj hill,pj hill
2010,Browns,,kwaku danso,placed on ir,,,,8/24/2010,,kwaku danso,kwaku danso
2010,Bills,,michael matthews,placed on ir,,,,8/25/2010,,michael matthews,michael matthews
2010,Giants,,michael greco,placed on ir,,,,8/25/2010,,michael greco,michael greco
2010,Rams,,dominic douglas,placed on ir,,,,8/25/2010,,dominic douglas,dominic douglas
2010,Lions,,trevor canfield,placed on ir,,,,8/26/2010,,trevor canfield,trevor canfield
2010,Lions,,jared devries,placed on ir with knee injury,,,,8/27/2010,,jared devries,jared devries
2010,Colts,,marcus mccauley,placed on ir with undisclosed injury,,,,8/28/2010,,marcus mccauley,marcus mccauley
2010,Bengals,,gibril wilson,"placed on ir with torn acl, mcl in left knee",,,,8/29/2010,,gibril wilson,gibril wilson
2010,Colts,,kevin thomas c,placed on ir with knee injury,,,,8/30/2010,,kevin thomas c,kevin thomas c
2010,Lions,,david roach,placed on ir,,,,8/30/2010,,david roach,david roach
2010,Rams,,donnie avery,placed on ir with torn acl in right knee,,,,8/30/2010,,donnie avery,donnie avery
2010,Texans,,ben tate b,placed on ir,,,,8/30/2010,,ben tate b,ben tate b
2010,Texans,,trindon holliday,placed on ir with thumb injury,,,,8/30/2010,,trindon holliday,trindon holliday
2010,Seahawks,,jonathan lewis,placed on ir with thumb injury,,,,8/30/2010,,jonathan lewis,jonathan lewis
2010,49ers,,brandon long,placed on ir,,,,8/31/2010,,brandon long,brandon long
2010,Broncos,,tony carter lamar,placed on ir,,,,8/31/2010,,tony carter lamar,tony carter lamar
2010,Browns,,titus adams,placed on ir with leg injury,,,,8/31/2010,,titus adams,titus adams
2010,Buccaneers,,jon alston b 1983-06-04,placed on ir with undisclosed injury,,,,8/31/2010,,jon alston b --,jon alston
2010,Cardinals,,nehemiah broughton,placed on ir with torn acl in knee,,,,8/31/2010,,nehemiah broughton,nehemiah broughton
2010,Chargers,,donald butler,placed on ir with achilles tendon injury,,,,8/31/2010,,donald butler,donald butler
2010,Cowboys,,john phillips matthew,placed on ir with torn acl in right knee,,,,8/31/2010,,john phillips matthew,john phillips matthew
2010,Dolphins,,joey haynos,placed on ir,,,,8/31/2010,,joey haynos,joey haynos
2010,Dolphins,,nate garner,placed on ir with foot injury,,,,8/31/2010,,nate garner,nate garner
2010,Eagles,,ricky sapp,placed on ir with knee injury,,,,8/31/2010,,ricky sapp,ricky sapp
2010,Giants,,adrian tracy,placed on ir with elbow injury,,,,8/31/2010,,adrian tracy,adrian tracy
2010,Giants,,jim sorgi,placed on ir with right shoulder injury,,,,8/31/2010,,jim sorgi,jim sorgi
2010,Giants,,sinorice moss,placed on ir with sports hernia,,,,8/31/2010,,sinorice moss,sinorice moss
2010,Jaguars,,danthony smith,placed on ir with achilles tendon injury,,,,8/31/2010,,danthony smith,danthony smith
2010,Jaguars,,john estes,placed on ir with knee injury,,,,8/31/2010,,john estes,john estes
2010,Lions,,jake nordin,placed on ir,,,,8/31/2010,,jake nordin,jake nordin
2010,Packers,,quinn porter,placed on ir with sprained mcl in left knee,,,,8/31/2010,,quinn porter,quinn porter
2010,Panthers,,hilee taylor,placed on ir with knee injury,,,,8/31/2010,,hilee taylor,hilee taylor
2010,Panthers,,wallace wright,placed on ir with shoulder injury,,,,8/31/2010,,wallace wright,wallace wright
2010,Patriots,,bret lockett,placed on ir with chest injury,,,,8/31/2010,,bret lockett,bret lockett
2010,Patriots,,darryl richard,placed on ir with foot injury,,,,8/31/2010,,darryl richard,darryl richard
2010,Patriots,,josh barrett,placed on ir with shoulder injury,,,,8/31/2010,,josh barrett,josh barrett
2010,Patriots,,leigh bodden,placed on ir with shoulder injury,,,,8/31/2010,,leigh bodden,leigh bodden
2010,Rams,,phil trautwein,placed on ir,,,,8/31/2010,,phil trautwein,phil trautwein
2010,Ravens,,daniel sanders,placed on ir with shoulder injury,,,,8/31/2010,,daniel sanders,daniel sanders
2010,Ravens,,marcus paschal,placed on ir with right leg injury,,,,8/31/2010,,marcus paschal,marcus paschal
2010,Redskins,,malcolm kelly,placed on ir with knee injury,,,,8/31/2010,,malcolm kelly,malcolm kelly
2010,Vikings,,jeremy leman  j leman,placed on ir with toe injury,,,,8/31/2010,,jeremy leman j leman,jeremy leman j
2010,Bears,,will taufoou,placed on ir with right knee injury,,,,9/1/2010,,will taufoou,will taufoou
2010,Cardinals,,darren mougey,placed on ir,,,,9/1/2010,,darren mougey,darren mougey
2010,Falcons,,thomas johnson b 1981-06-24,placed on ir,,,,9/1/2010,,thomas johnson b --,thomas johnson
2010,Jaguars,,cecil newton jr,placed on ir,,,,9/1/2010,,cecil newton jr,cecil newton jr
2010,Packers,,quinn porter,placed on ir,,,,9/1/2010,,quinn porter,quinn porter
2010,Titans,,kareem brown,placed on ir,,,,9/1/2010,,kareem brown,kareem brown
2010,Titans,,mike rivera,placed on ir,,,,9/1/2010,,mike rivera,mike rivera
2010,Ravens,,mike mclaughlin b,placed on ir with sports hernia,,,,9/2/2010,,mike mclaughlin b,mike mclaughlin b
2010,Broncos,,lendale white,placed on ir with achilles tendon injury,,,,9/3/2010,,lendale white,lendale white
2010,Browns,,montario hardesty,placed on ir with left knee injury,,,,9/3/2010,,montario hardesty,montario hardesty
2010,49ers,,chris patrick,placed on ir,,,,9/4/2010,,chris patrick,chris patrick
2010,49ers,,matt wilhelm,placed on ir,,,,9/4/2010,,matt wilhelm,matt wilhelm
2010,49ers,,scott mckillop,placed on ir,,,,9/4/2010,,scott mckillop,scott mckillop
2010,Bears,,averell spicer,placed on ir,,,,9/4/2010,,averell spicer,averell spicer
2010,Bears,,brett basanez,placed on ir,,,,9/4/2010,,brett basanez,brett basanez
2010,Bengals,,andrew mitchell,placed on ir,,,,9/4/2010,,andrew mitchell,andrew mitchell
2010,Bengals,,gibril wilson,placed on ir,,,,9/4/2010,,gibril wilson,gibril wilson
2010,Bills,,felton huggins,placed on ir,,,,9/4/2010,,felton huggins,felton huggins
2010,Bills,,joe klopfenstein,placed on ir,,,,9/4/2010,,joe klopfenstein,joe klopfenstein
2010,Broncos,,brandon stokley,placed on ir for undisclosed reason,,,,9/4/2010,,brandon stokley,brandon stokley
2010,Broncos,,braxton kelley,placed on ir,,,,9/4/2010,,braxton kelley,braxton kelley
2010,Broncos,,elvis dumervil,placed on ir with pectoral injury,,,,9/4/2010,,elvis dumervil,elvis dumervil
2010,Broncos,,kenny mckinley,placed on ir,,,,9/4/2010,,kenny mckinley,kenny mckinley
2010,Broncos,,kyle eckel,placed on ir,,,,9/4/2010,,kyle eckel,kyle eckel
2010,Browns,,dave zastudil,placed on ir,,,,9/4/2010,,dave zastudil,dave zastudil
2010,Browns,,greg estandia,placed on ir,,,,9/4/2010,,greg estandia,greg estandia
2010,Browns,,johnathan haggerty,placed on ir,,,,9/4/2010,,johnathan haggerty,johnathan haggerty
2010,Browns,,kwaku danso,placed on ir,,,,9/4/2010,,kwaku danso,kwaku danso
2010,Buccaneers,,brandon gilbeaux,placed on ir with ankle injury,,,,9/4/2010,,brandon gilbeaux,brandon gilbeaux
2010,Buccaneers,,demar dotson,placed on ir with undisclosed injury,,,,9/4/2010,,demar dotson,demar dotson
2010,Buccaneers,,jon alston b 1983-06-04,placed on ir,,,,9/4/2010,,jon alston b --,jon alston
2010,Cardinals,,darren mougey,placed on ir,,,,9/4/2010,,darren mougey,darren mougey
2010,Cardinals,,keilen dykes,placed on ir,,,,9/4/2010,,keilen dykes,keilen dykes
2010,Cardinals,,nehemiah broughton,placed on ir,,,,9/4/2010,,nehemiah broughton,nehemiah broughton
2010,Chiefs,,chandler williams iii,placed on ir,,,,9/4/2010,,chandler williams iii,chandler williams iii
2010,Chiefs,,jerheme urban,placed on ir with finger injury,,,,9/4/2010,,jerheme urban,jerheme urban
2010,Chiefs,,maurice leggett,placed on ir with neck injury,,,,9/4/2010,,maurice leggett,maurice leggett
2010,Chiefs,,tervaris johnson,placed on ir,,,,9/4/2010,,tervaris johnson,tervaris johnson
2010,Colts,,brett swenson,placed on ir,,,,9/4/2010,,brett swenson,brett swenson
2010,Colts,,david caldwell b,placed on ir,,,,9/4/2010,,david caldwell b,david caldwell b
2010,Colts,,donye mccleskey  donye mccleskey,placed on ir,,,,9/4/2010,,donye mccleskey,donye mccleskey
2010,Colts,,jamie silva,placed on ir,,,,9/4/2010,,jamie silva,jamie silva
2010,Colts,,jordan hemby,placed on ir,,,,9/4/2010,,jordan hemby,jordan hemby
2010,Colts,,marcus mccauley,placed on ir,,,,9/4/2010,,marcus mccauley,marcus mccauley
2010,Colts,,tom santi,placed on ir,,,,9/4/2010,,tom santi,tom santi
2010,Dolphins,,joey haynos,placed on ir,,,,9/4/2010,,joey haynos,joey haynos
2010,Dolphins,,kory sheets,placed on ir,,,,9/4/2010,,kory sheets,kory sheets
2010,Eagles,,antoine harris,placed on ir,,,,9/4/2010,,antoine harris,antoine harris
2010,Eagles,,marlin jackson,placed on ir,,,,9/4/2010,,marlin jackson,marlin jackson
2010,Falcons,,thomas johnson b 1981-06-24,placed on ir,,,,9/4/2010,,thomas johnson b --,thomas johnson
2010,Giants,,domenik hixon,placed on ir,,,,9/4/2010,,domenik hixon,domenik hixon
2010,Giants,,jim sorgi,placed on ir,,,,9/4/2010,,jim sorgi,jim sorgi
2010,Giants,,sinorice moss,placed on ir,,,,9/4/2010,,sinorice moss,sinorice moss
2010,Jaguars,,bryan smith,placed on ir,,,,9/4/2010,,bryan smith,bryan smith
2010,Jaguars,,chris mcgaha,placed on ir,,,,9/4/2010,,chris mcgaha,chris mcgaha
2010,Jaguars,,freddy keiaho,placed on ir,,,,9/4/2010,,freddy keiaho,freddy keiaho
2010,Jaguars,,jason harmon b,placed on ir,,,,9/4/2010,,jason harmon b,jason harmon b
2010,Jaguars,,kyle bosworth,placed on ir with undisclosed injury,,,,9/4/2010,,kyle bosworth,kyle bosworth
2010,Jaguars,,nate hughes,placed on ir,,,,9/4/2010,,nate hughes,nate hughes
2010,Jaguars,,terrell whitehead,placed on ir,,,,9/4/2010,,terrell whitehead,terrell whitehead
2010,Lions,,copeland bryan,placed on ir,,,,9/4/2010,,copeland bryan,copeland bryan
2010,Lions,,jake nordin,placed on ir,,,,9/4/2010,,jake nordin,jake nordin
2010,Lions,,jared devries,placed on ir,,,,9/4/2010,,jared devries,jared devries
2010,Lions,,joe cohen,placed on ir,,,,9/4/2010,,joe cohen,joe cohen
2010,Lions,,jordon dizon,placed on ir,,,,9/4/2010,,jordon dizon,jordon dizon
2010,Lions,,richard dickson,placed on ir,,,,9/4/2010,,richard dickson,richard dickson
2010,Lions,,tj rushing,placed on ir,,,,9/4/2010,,tj rushing,tj rushing
2010,Lions,,trevor canfield,placed on ir,,,,9/4/2010,,trevor canfield,trevor canfield
2010,Packers,,josh bell,placed on ir,,,,9/4/2010,,josh bell,josh bell
2010,Packers,,quinn porter,placed on ir,,,,9/4/2010,,quinn porter,quinn porter
2010,Packers,,will blackmon,placed on ir with knee injury,,,,9/4/2010,,will blackmon,will blackmon
2010,Panthers,,cj davis,placed on ir with concussion,,,,9/4/2010,,cj davis,cj davis
2010,Panthers,,duke robinson,placed on ir with knee injury,,,,9/4/2010,,duke robinson,duke robinson
2010,Panthers,,steve justice,placed on ir,,,,9/4/2010,,steve justice,steve justice
2010,Panthers,,wallace wright,placed on ir,,,,9/4/2010,,wallace wright,wallace wright
2010,Patriots,,brandon mcgowan,placed on ir with chest injury,,,,9/4/2010,,brandon mcgowan,brandon mcgowan
2010,Patriots,,kade weston,placed on ir,,,,9/4/2010,,kade weston,kade weston
2010,Patriots,,leigh bodden,placed on ir,,,,9/4/2010,,leigh bodden,leigh bodden
2010,Patriots,,ty warren,placed on ir,,,,9/4/2010,,ty warren,ty warren
2010,Raiders,,charlie frye,placed on ir,,,,9/4/2010,,charlie frye,charlie frye
2010,Raiders,,jonathan holland,placed on ir,,,,9/4/2010,,jonathan holland,jonathan holland
2010,Rams,,chris hovan,placed on ir,,,,9/4/2010,,chris hovan,chris hovan
2010,Rams,,eric young,placed on ir with knee injury,,,,9/4/2010,,eric young,eric young
2010,Rams,,kevin payne,placed on ir with knee injury,,,,9/4/2010,,kevin payne,kevin payne
2010,Rams,,phil trautwein,placed on ir,,,,9/4/2010,,phil trautwein,phil trautwein
2010,Ravens,,daniel sanders,placed on ir,,,,9/4/2010,,daniel sanders,daniel sanders
2010,Ravens,,david hale,placed on ir with back injury,,,,9/4/2010,,david hale,david hale
2010,Ravens,,domonique foxworth,placed on ir,,,,9/4/2010,,domonique foxworth,domonique foxworth
2010,Ravens,,kelly talavou,placed on ir with knee injury,,,,9/4/2010,,kelly talavou,kelly talavou
2010,Ravens,,marcus paschal,placed on ir,,,,9/4/2010,,marcus paschal,marcus paschal
2010,Ravens,,ramon harewood,placed on ir with knee injury,,,,9/4/2010,,ramon harewood,ramon harewood
2010,Ravens,,stefan rodgers,placed on ir with ankle injury,,,,9/4/2010,,stefan rodgers,stefan rodgers
2010,Redskins,,mike furrey,placed on ir,,,,9/4/2010,,mike furrey,mike furrey
2010,Saints,,jonathan casillas,placed on ir with foot injury,,,,9/4/2010,,jonathan casillas,jonathan casillas
2010,Saints,,lynell hamilton,placed on ir,,,,9/4/2010,,lynell hamilton,lynell hamilton
2010,Saints,,marcus mailei,placed on ir,,,,9/4/2010,,marcus mailei,marcus mailei
2010,Saints,,pj hill,placed on ir,,,,9/4/2010,,pj hill,pj hill
2010,Seahawks,,anthony heygood,placed on ir,,,,9/4/2010,,anthony heygood,anthony heygood
2010,Seahawks,,isaiah stanback,placed on ir,,,,9/4/2010,,isaiah stanback,isaiah stanback
2010,Seahawks,,jameson konz,placed on ir,,,,9/4/2010,,jameson konz,jameson konz
2010,Seahawks,,ray willis,placed on ir with knee injury,,,,9/4/2010,,ray willis,ray willis
2010,Steelers,,limas sweed,placed on ir,,,,9/4/2010,,limas sweed,limas sweed
2010,Steelers,,tuff harris,placed on ir,,,,9/4/2010,,tuff harris,tuff harris
2010,Steelers,,willie colon,placed on ir,,,,9/4/2010,,willie colon,willie colon
2010,Texans,,andre davis  andre davis a,placed on ir with hip/tailbone injury,,,,9/4/2010,,andre davis ,andre davis
2010,Texans,,darnell bing,placed on ir,,,,9/4/2010,,darnell bing,darnell bing
2010,Texans,,justin griffith,placed on ir,,,,9/4/2010,,justin griffith,justin griffith
2010,Texans,,kris brown,placed on ir with foot injury,,,,9/4/2010,,kris brown,kris brown
2010,Texans,,tim bulman,placed on ir,,,,9/4/2010,,tim bulman,tim bulman
2010,Texans,,trey stross,placed on ir,,,,9/4/2010,,trey stross,trey stross
2010,Titans,,dominique lindsay,placed on ir,,,,9/4/2010,,dominique lindsay,dominique lindsay
2010,Titans,,kareem brown,placed on ir,,,,9/4/2010,,kareem brown,kareem brown
2010,Titans,,marcus howard,placed on ir,,,,9/4/2010,,marcus howard,marcus howard
2010,Titans,,mike rivera,placed on ir,,,,9/4/2010,,mike rivera,mike rivera
2010,Titans,,roderick hood  rod hood,placed on ir,,,,9/4/2010,,roderick hood,roderick hood
2010,Titans,,stafon johnson,placed on ir,,,,9/4/2010,,stafon johnson,stafon johnson
2010,Vikings,,jaymar johnson,placed on ir with fractured left thumb,,,,9/4/2010,,jaymar johnson,jaymar johnson
2010,Vikings,,jeremy leman  j leman,placed on ir,,,,9/4/2010,,jeremy leman,jeremy leman
2010,Panthers,,aaron francisco,placed on ir with hamstring injury,,,,9/4/2010,,aaron francisco,aaron francisco
2010,Cardinals,,dean muhtadi,placed on ir,,,,9/4/2010,,dean muhtadi,dean muhtadi
2010,Bengals,,cordera eason,placed on ir,,,,9/4/2010,,cordera eason,cordera eason
2010,Bears,,woodny turenne,placed on ir,,,,9/5/2010,,woodny turenne,woodny turenne
2010,Bengals,,taufui vakapuna  fui vakapuna,placed on ir with shoulder injury,,,,9/5/2010,,taufui vakapuna ,taufui vakapuna
2010,Bills,,derek schouman,placed on ir with knee injury,,,,9/5/2010,,derek schouman,derek schouman
2010,Buccaneers,,jonathan compas,placed on ir with undisclosed injury,,,,9/5/2010,,jonathan compas,jonathan compas
