Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2018,Bills,,aaron green,placed on ir with undisclosed injury,,,,5/15/2018,,aaron green,aaron green
2018,Lions,,brandon barnes b 1994-05-31,placed on ir with undisclosed injury,,,,5/15/2018,,brandon barnes b --,brandon barnes
2018,Rams,,carlos thompson,placed on ir with undisclosed injury,,,,5/16/2018,,carlos thompson,carlos thompson
2018,Titans,,antwaun woods,placed on ir with undisclosed injury,,,,5/18/2018,,antwaun woods,antwaun woods
2018,Colts,,kolby listenbee,placed on ir with undisclosed injury,,,,5/21/2018,,kolby listenbee,kolby listenbee
2018,Redskins,,arie kouandjio,placed on ir with quadriceps injury,,,,5/23/2018,,arie kouandjio,arie kouandjio
2018,Colts,,michael cirino,placed on ir with undisclosed injury,,,,5/30/2018,,michael cirino,michael cirino
2018,Jaguars,,zach conque,placed on ir with undisclosed injury,,,,5/31/2018,,zach conque,zach conque
2018,Steelers,,jake mcgee,placed on ir with achilles injury / knee injury,,,,6/4/2018,,jake mcgee,jake mcgee
2018,Steelers,,jerald hawkins,placed on ir with torn quadriceps,,,,6/4/2018,,jerald hawkins,jerald hawkins
2018,Jets,,claude pelon,placed on ir with undisclosed injury,,,,6/6/2018,,claude pelon,claude pelon
2018,Jaguars,,tevaun smith,placed on ir with undisclosed injury,,,,6/7/2018,,tevaun smith,tevaun smith
2018,Bears,,shaq roland,placed on ir with undisclosed injury,,,,6/11/2018,,shaq roland,shaq roland
2018,Broncos,,deiontrez mount,placed on ir with achilles injury,,,,6/12/2018,,deiontrez mount,deiontrez mount
2018,Cardinals,,jonathan owens,placed on ir with knee injury,,,,6/12/2018,,jonathan owens,jonathan owens
2018,Browns,,howard wilson,placed on ir with torn patellar tendon in left knee,,,,6/13/2018,,howard wilson,howard wilson
2018,Eagles,,paul worrilow,placed on ir with torn acl in right knee,,,,6/13/2018,,paul worrilow,paul worrilow
2018,Giants,,aaron davis,placed on ir with undisclosed injury,,,,6/13/2018,,aaron davis,aaron davis
2018,Chiefs,,jd moore,placed on ir with undisclosed injury,,,,6/15/2018,,jd moore,jd moore
2018,Buccaneers,,maurice fleming  reese fleming,placed on ir with undisclosed injury,,,,6/18/2018,,maurice fleming reese fleming,maurice fleming reese
2018,Jaguars,,michael hughes  mike hughes jr,placed on ir with undisclosed injury,,,,6/18/2018,,michael hughes mike hughes jr,michael hughes
2018,Vikings,,hercules mataafa,placed on ir with torn acl in knee,,,,6/20/2018,,hercules mataafa,hercules mataafa
2018,Jaguars,,sean hickey,placed on ir with undisclosed injury,,,,7/24/2018,,sean hickey,sean hickey
2018,Lions,,nick bawden,placed on ir with torn acl in right knee,,,,7/24/2018,,nick bawden,nick bawden
2018,Patriots,,david jones f,placed on ir with undisclosed injury,,,,7/24/2018,,david jones f,david jones f
2018,Browns,,ricardo louis,placed on ir with neck injury,,,,7/26/2018,,ricardo louis,ricardo louis
2018,Cardinals,,praise martin-oguike,placed on ir with undisclosed injury,,,,7/27/2018,,praise martin-oguike,praise martin-oguike
2018,Steelers,,trey johnson,placed on ir with shoulder injury,,,,7/27/2018,,trey johnson,trey johnson
2018,Giants,,sam beal,placed on ir with shoulder injury,,,,7/29/2018,,sam beal,sam beal
2018,Colts,,jared machorro,placed on ir with undisclosed injury,,,,7/31/2018,,jared machorro,jared machorro
2018,Cowboys,,cedrick wilson jr  ced wilson,placed on ir with shoulder injury,,,,7/31/2018,,cedrick wilson jr ced wilson,cedrick wilson jr
2018,Jaguars,,kapron lewis-moore,placed on ir with undisclosed injury,,,,7/31/2018,,kapron lewis-moore,kapron lewis-moore
2018,Rams,,aaron lacombe,placed on ir with undisclosed injury,,,,7/31/2018,,aaron lacombe,aaron lacombe
2018,Titans,,tye smith,placed on ir with undisclosed injury,,,,7/31/2018,,tye smith,tye smith
2018,Jaguars,,brandon thomas,placed on ir with knee injury,,,,8/1/2018,,brandon thomas,brandon thomas
2018,Panthers,,ross cockrell,placed on ir with fractured tibia/fibula in left leg,,,,8/1/2018,,ross cockrell,ross cockrell
2018,Patriots,,shane wimann,placed on ir with undisclosed injury,,,,8/1/2018,,shane wimann,shane wimann
2018,Patriots,,jordan matthews,placed on ir with right hamstring injury,,,,8/1/2018,,jordan matthews,jordan matthews
2018,Chargers,,austin roberts,placed on ir with knee injury,,,,8/2/2018,,austin roberts,austin roberts
2018,Chargers,,jason verrett,placed on ir with torn achilles tendon,,,,8/2/2018,,jason verrett,jason verrett
2018,Saints,,eldridge massington,placed on ir with undisclosed injury,,,,8/2/2018,,eldridge massington,eldridge massington
2018,Saints,,josh smith b 1994-03-24,placed on ir with undisclosed injury,,,,8/2/2018,,josh smith b --,josh smith
2018,Saints,,travin dural,placed on ir with fractured arm,,,,8/2/2018,,travin dural,travin dural
2018,Seahawks,,avery young b 1992-11-12,placed on ir with undisclosed injury,,,,8/2/2018,,avery young b --,avery young
2018,Buccaneers,,dalton crossan,placed on ir with undisclosed injury,,,,8/3/2018,,dalton crossan,dalton crossan
2018,Cardinals,,bryson albright,placed on ir with undisclosed injury,,,,8/3/2018,,bryson albright,bryson albright
2018,Patriots,,nate theaker,placed on ir with undisclosed injury,,,,8/3/2018,,nate theaker,nate theaker
2018,Steelers,,ryan malleck,placed on ir with undisclosed injury,,,,8/3/2018,,ryan malleck,ryan malleck
2018,Titans,,johnathan cyprien,placed on ir with torn acl in left knee,,,,8/3/2018,,johnathan cyprien,johnathan cyprien
2018,Bengals,,rod taylor b 1994-10-26,placed on ir with knee injury,,,,8/4/2018,,rod taylor b --,rod taylor
2018,Broncos,,kenny bell,placed on ir with hamstring injury,,,,8/4/2018,,kenny bell,kenny bell
2018,Jaguars,,kaleb eulls,placed on ir with undisclosed injury,,,,8/4/2018,,kaleb eulls,kaleb eulls
2018,Jets,,shaneil jenkins,placed on ir with undisclosed injury,,,,8/4/2018,,shaneil jenkins,shaneil jenkins
2018,Lions,,deontez alexander,placed on ir with undisclosed injury,,,,8/4/2018,,deontez alexander,deontez alexander
2018,Titans,,connor flagel,placed on ir with undisclosed injury,,,,8/4/2018,,connor flagel,connor flagel
2018,Rams,,garrett sickels,placed on ir with undisclosed injury,,,,8/5/2018,,garrett sickels,garrett sickels
2018,Chiefs,,tejan koroma,placed on ir with knee injury,,,,8/6/2018,,tejan koroma,tejan koroma
2018,Eagles,,adam zaruba,placed on ir with undisclosed injury,,,,8/6/2018,,adam zaruba,adam zaruba
2018,Packers,,jake ryan,placed on ir with torn acl in right knee,,,,8/6/2018,,jake ryan,jake ryan
2018,Saints,,john fullington,placed on ir with undisclosed injury,,,,8/6/2018,,john fullington,john fullington
2018,Cardinals,,aq shipley,placed on ir with torn acl in right knee / left knee,,,,8/7/2018,,aq shipley,aq shipley
2018,Packers,,cj johnson c,placed on ir with hamstring injury,,,,8/7/2018,,cj johnson c,cj johnson c
2018,Raiders,,shaquille richardson  shaq richardson,placed on ir with undisclosed injury,,,,8/7/2018,,shaquille richardson shaq richardson,shaquille richardson shaq
2018,Ravens,,jaelon acklin,placed on ir with undisclosed injury,,,,8/7/2018,,jaelon acklin,jaelon acklin
2018,Redskins,,alex mccalister,placed on ir with undisclosed injury,,,,8/7/2018,,alex mccalister,alex mccalister
2018,Seahawks,,khalid hill,placed on ir with shoulder injury,,,,8/7/2018,,khalid hill,khalid hill
2018,Titans,,nathan palmer b  nate palmer,placed on ir with leg injury,,,,8/7/2018,,nathan palmer b nate palmer,nathan palmer b nate
2018,Redskins,,tavaris barnes,placed on ir with undisclosed injury,,,,8/8/2018,,tavaris barnes,tavaris barnes
2018,Buccaneers,,david rivers iii,placed on ir with hamstring injury,,,,8/9/2018,,david rivers iii,david rivers iii
2018,Giants,,kristjan sokoli,placed on ir with torn acl in knee,,,,8/11/2018,,kristjan sokoli,kristjan sokoli
2018,Redskins,,derrius guice,placed on ir with torn acl in left knee,,,,8/11/2018,,derrius guice,derrius guice
2018,Redskins,,manasseh garner,placed on ir with torn acl in knee,,,,8/11/2018,,manasseh garner,manasseh garner
2018,Titans,,johnny maxey,placed on ir with undisclosed injury,,,,8/11/2018,,johnny maxey,johnny maxey
