player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
cameron brate,cameron brate,2021,cameron brate,2016,100.0
mecole hardman,mecole hardman,2021,mecole hardman,2022,100.0
mecole hardman,mecole hardman,2021,mecole hardman,2023,100.0
mecole hardman,mecole hardman,2021,mecole hardman,2024,100.0
kalif raymond,kalif raymond,2021,kalif raymond,2024,100.0
corey davis,corey davis,2021,corey davis,2021,100.0
adam humphries,adam humphries,2021,adam humphries,2020,100.0
deebo samuel,deebo samuel,2021,deebo samuel,2020,100.0
jalen reagor,jalen reagor,2021,jalen reagor,2020,100.0
jalen reagor,jalen reagor,2021,jalen reagor,2024,100.0
laviska shenault,laviska shenault,2021,laviska shenault,2023,100.0
braxton berrios,braxton berrios,2021,braxton berrios,2018,100.0
braxton berrios,braxton berrios,2021,braxton berrios,2021,100.0
braxton berrios,braxton berrios,2021,braxton berrios,2024,100.0
hunter renfrow,hunter renfrow,2021,hunter renfrow,2022,100.0
cooper kupp,cooper kupp,2021,cooper kupp,2018,100.0
cooper kupp,cooper kupp,2021,cooper kupp,2022,100.0
cooper kupp,cooper kupp,2021,cooper kupp,2023,100.0
ricky seals-jones,ricky seals-jones,2021,ricky seals-jones,2021,100.0
ricky seals-jones,ricky seals-jones,2021,ricky seals-jones,2022,100.0
ricky seals-jones,ricky seals-jones,2021,ricky seals-jones,2023,100.0
olamide zaccheaus,olamide zaccheaus,2021,olamide zaccheaus,2020,100.0
kendrick bourne,kendrick bourne,2021,kendrick bourne,2023,100.0
jerry jeudy,jerry jeudy,2021,jerry jeudy,2021,100.0
jamison crowder,jamison crowder,2021,jamison crowder,2022,100.0
jamison crowder,jamison crowder,2021,jamison crowder,2024,100.0
brandin cooks,brandin cooks,2021,brandin cooks,2014,100.0
brandin cooks,brandin cooks,2021,brandin cooks,2024,100.0
mark andrews,mark andrews,2021,mark andrews,2023,100.0
chris godwin,chris godwin,2021,chris godwin,2020,100.0
chris godwin,chris godwin,2021,chris godwin,2021,100.0
chris godwin,chris godwin,2021,chris godwin,2024,100.0
tyler boyd,tyler boyd,2021,tyler boyd,2018,100.0
michael pittman,michael pittman,2021,michael pittman,2020,100.0
cj uzomah,cj uzomah,2021,cj uzomah,2020,100.0
cj uzomah,cj uzomah,2021,cj uzomah,2023,100.0
cj uzomah,cj uzomah,2021,cj uzomah,2024,100.0
ceedee lamb,ceedee lamb,2021,ceedee lamb,2024,100.0
cedrick wilson,cedrick wilson,2021,cedrick wilson,2018,100.0
cedrick wilson,cedrick wilson,2021,cedrick wilson,2019,100.0
evan engram,evan engram,2021,evan engram,2019,100.0
evan engram,evan engram,2021,evan engram,2024,100.0
