Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Steelers,,andre frazier,placed on ir with knee injury,,,,8/12/2010,
2010,49ers,,scott mckillop,placed on ir with torn acl in left knee,,,,8/13/2010,
2010,Cardinals,,keilen dykes,placed on ir,,,,8/13/2010,
2010,Patriots,,ty warren,placed on ir with hip injury,,,,8/13/2010,
2010,Eagles,,antoine harris,placed on ir with foot injury,,,,8/15/2010,
2010,Patriots,,torry holt,placed on ir with knee injury,,,,8/15/2010,
2010,Chargers,,ali highsmith,placed on ir,,,,8/16/2010,
2010,Colts,,david caldwell b,placed on ir,,,,8/16/2010,
2010,Jets,,marlon davis,placed on ir,,,,8/16/2010,
2010,Lions,,jordon dizon,placed on ir with knee injury,,,,8/16/2010,
2010,Panthers,,steve justice,placed on ir,,,,8/16/2010,
2010,Saints,,lynell hamilton,placed on ir with knee injury,,,,8/16/2010,
2010,Texans,,ben tate b,placed on ir with ankle injury,,,,8/16/2010,
2010,Texans,,tim bulman,placed on ir with shoulder injury,,,,8/16/2010,
2010,Titans,,marcus howard,placed on ir,,,,8/16/2010,
2010,Bills,,ryan manalac,placed on ir,,,,8/17/2010,
2010,Browns,,dave zastudil,placed on ir with right knee injury,,,,8/17/2010,
2010,Browns,,johnathan haggerty,placed on ir,,,,8/17/2010,
2010,Colts,,jamie silva,placed on ir,,,,8/18/2010,
2010,Lions,,richard dickson,placed on ir with knee injury,,,,8/18/2010,
2010,Titans,,stafon johnson,placed on ir with right ankle and leg injury,,,,8/18/2010,
2010,49ers,,chris patrick,placed on ir with shoulder injury,,,,8/19/2010,
2010,Bears,,matt mayberry,placed on ir,,,,8/19/2010,
2010,Colts,,donye mccleskey  donye' mccleskey,placed on ir,,,,8/19/2010,
2010,Lions,,jahi word-daniels,placed on ir,,,,8/19/2010,
2010,Lions,,matt clapp,placed on ir,,,,8/19/2010,
2010,Raiders,,charlie frye,placed on ir with right wrist injury,,,,8/19/2010,
2010,Redskins,,mike furrey,placed on ir with concussion,,,,8/19/2010,
2010,Vikings,,jaymar johnson,placed on ir with fractured left thumb,,,,8/19/2010,
2010,Buccaneers,,de'von hall,placed on ir,,,,8/20/2010,
2010,Jaguars,,freddy keiaho,placed on ir with concussion,,,,8/20/2010,
2010,Texans,,darnell bing,placed on ir with neck injury,,,,8/20/2010,
2010,Falcons,,kerry meier,placed on ir with knee injury,,,,8/21/2010,
2010,Bills,,danny batten,placed on ir with right shoulder injury (surgery),,,,8/23/2010,
2010,Bills,,marcus easley,placed on ir with left knee injury,,,,8/23/2010,
2010,Colts,,jordan hemby,placed on ir,,,,8/23/2010,
2010,Jets,,ropati pitoitua,placed on ir with left achilles tendon injury,,,,8/23/2010,
2010,Lions,,roy schuening,placed on ir,,,,8/23/2010,
2010,Saints,,marcus mailei,placed on ir with undisclosed injury,,,,8/23/2010,
2010,Bears,,eric peterman,placed on ir,,,,8/24/2010,
2010,Bengals,,andrew mitchell,placed on ir,,,,8/24/2010,
2010,Patriots,,kade weston,placed on ir with undisclosed injury,,,,8/24/2010,
2010,Saints,,pj hill,placed on ir with left leg injury,,,,8/24/2010,
2010,Browns,,kwaku danso,placed on ir,,,,8/24/2010,
2010,Bills,,michael matthews,placed on ir,,,,8/25/2010,
2010,Giants,,michael greco,placed on ir,,,,8/25/2010,
2010,Rams,,dominic douglas,placed on ir,,,,8/25/2010,
2010,Lions,,trevor canfield,placed on ir,,,,8/26/2010,
2010,Lions,,jared devries,placed on ir with knee injury,,,,8/27/2010,
2010,Colts,,marcus mccauley,placed on ir with undisclosed injury,,,,8/28/2010,
2010,Bengals,,gibril wilson,"placed on ir with torn acl, mcl in left knee",,,,8/29/2010,
2010,Colts,,kevin thomas c,placed on ir with knee injury,,,,8/30/2010,
2010,Lions,,david roach,placed on ir,,,,8/30/2010,
2010,Rams,,donnie avery,placed on ir with torn acl in right knee,,,,8/30/2010,
2010,Texans,,ben tate b,placed on ir,,,,8/30/2010,
2010,Texans,,trindon holliday,placed on ir with thumb injury,,,,8/30/2010,
2010,Seahawks,,jonathan lewis,placed on ir with thumb injury,,,,8/30/2010,
2010,49ers,,brandon long,placed on ir,,,,8/31/2010,
2010,Broncos,,tony carter lamar,placed on ir,,,,8/31/2010,
2010,Browns,,titus adams,placed on ir with leg injury,,,,8/31/2010,
2010,Buccaneers,,jon alston b 1983-06-04,placed on ir with undisclosed injury,,,,8/31/2010,
