Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2014,Redskins,,brian orakpo,placed on ir with torn right pectoral muscle,,,,10/21/2014,
2014,49ers,,chris cook a,placed on ir with quadriceps injury,,,,10/25/2014,
2014,49ers,,daniel kilgore,placed on ir with fractured left leg,,,,10/25/2014,
2014,Raiders,,lamarr woodley,placed on ir with biceps injury,,,,10/25/2014,
2014,Raiders,,usama young,placed on ir with knee injury,,,,10/25/2014,
2014,Rams,,brandon mcgee,placed on ir with foot injury,,,,10/25/2014,
2014,Seahawks,,derrick coleman,placed on ir with foot injury,,,,10/25/2014,
2014,Browns,,john hughes iii,placed on ir with knee injury,,,,10/27/2014,
2014,Bills,,kenny ladler,placed on ir with arm injury,,,,10/28/2014,
2014,Panthers,,chase blackburn,placed on ir with knee injury,,,,10/28/2014,
2014,Rams,,jake long,placed on ir with torn acl in right knee,,,,10/28/2014,
2014,Cowboys,,justin durant,placed on ir with biceps injury,,,,10/29/2014,
2014,Giants,,jon beason,placed on ir with foot/toe injury,,,,10/29/2014,
2014,Jaguars,,alan ball,placed on ir with biceps injury,,,,10/29/2014,
2014,Rams,,brian quick,placed on ir with shoulder injury,,,,10/29/2014,
2014,Bears,,lamarr houston,placed on ir with torn acl in right knee,,,,11/3/2014,
2014,Buccaneers,,trindon holliday,placed on ir with hamstring injury,,,,11/3/2014,
2014,Jaguars,,will blackmon,placed on ir with finger injury,,,,11/3/2014,
2014,Browns,,miles austin,placed on ir,,,,11/4/2014,
2014,Dolphins,,michael thomas b 1990-03-17,placed on ir with torn pectoral muscle,,,,11/4/2014,
2014,Eagles,,demeco ryans,placed on ir with torn right achilles tendon,,,,11/4/2014,
2014,Saints,,austin johnson b 1989-06-16,placed on ir with knee injury,,,,11/4/2014,
2014,Eagles,,todd herremans,placed on ir with biceps injury,,,,11/5/2014,
2014,Giants,,prince amukamara,placed on ir with biceps injury,,,,11/5/2014,
2014,Seahawks,,greg scruggs,placed on ir with knee injury,,,,11/5/2014,
2014,Titans,,taylor thompson,placed on ir with knee injury,,,,11/5/2014,
2014,Bears,,matt slauson,placed on ir with torn pectoral muscle,,,,11/8/2014,
2014,Packers,,kevin dorsey,placed on ir with foot injury,,,,11/8/2014,
2014,Ravens,,jimmy smith b,placed on ir with foot injury,,,,11/8/2014,
2014,Seahawks,,stephen schilling,placed on ir with knee injury,,,,11/8/2014,
2014,Dolphins,,branden albert,"placed on ir with torn acl, mcl in right knee",,,,11/10/2014,
2014,49ers,,patrick willis,placed on ir with left big toe injury,,,,11/11/2014,
2014,Buccaneers,,kadeem edwards,placed on ir with foot injury,,,,11/11/2014,
2014,Cardinals,,carson palmer,placed on ir with torn acl in left knee,,,,11/11/2014,
2014,Chiefs,,cyrus gray,placed on ir with torn acl in knee,,,,11/11/2014,
2014,Chiefs,,demetrius harris,placed on ir with fractured right foot,,,,11/11/2014,
2014,Seahawks,,brandon mebane,placed on ir with torn right hamstring,,,,11/11/2014,
2014,Giants,,michael cox,placed on ir with fractured left leg,,,,11/12/2014,
2014,Saints,,vinnie sunseri,placed on ir with arm injury,,,,11/12/2014,
2014,Seahawks,,zach miller a,placed on ir with ankle injury,,,,11/12/2014,
2014,Broncos,,nate irving,placed on ir with right knee injury,,,,11/13/2014,
2014,Browns,,phillip taylor  phil taylor,placed on ir with right knee injury,,,,11/14/2014,
2014,49ers,,jimmie ward,placed on ir with foot injury,,,,11/15/2014,
2014,Chargers,,jason verrett,placed on ir with shoulder injury,,,,11/15/2014,
2014,Dolphins,,will davis,placed on ir with torn acl in knee,,,,11/15/2014,
2014,Giants,,peyton hillis,placed on ir with concussion,,,,11/15/2014,
2014,49ers,,ian williams f,placed on ir with fractured fibula,,,,11/17/2014,
2014,Bills,,leodis mckelvin,placed on ir with fractured right ankle,,,,11/17/2014,
2014,Falcons,,antone smith,placed on ir with fractured leg,,,,11/17/2014,
2014,Jaguars,,allen robinson ii,placed on ir with fractured right foot,,,,11/17/2014,
2014,Cardinals,,troy niklas,placed on ir with sprained left ankle,,,,11/18/2014,
2014,Colts,,ahmad bradshaw,placed on ir with fractured left fibula,,,,11/18/2014,
2014,Eagles,,earl wolff,placed on ir with knee injury,,,,11/18/2014,
2014,Panthers,,nate chandler,placed on ir with torn meniscus in right knee,,,,11/18/2014,
2014,Saints,,brandin cooks,placed on ir with fractured right thumb,,,,11/18/2014,
2014,Saints,,rafael bush,placed on ir with fractured right tibia,,,,11/18/2014,
2014,Chiefs,,aj jenkins b,placed on ir with shoulder injury,,,,11/22/2014,
2014,Buccaneers,,jorvorskie lane,placed on ir with right leg injury,,,,11/24/2014,
2014,Redskins,,adam hayward,placed on ir with fractured tibia,,,,11/24/2014,
2014,Browns,,andre smith phillip,placed on ir with torn left triceps,,,,11/25/2014,
2014,Chargers,,rich ohrnberger,placed on ir with back injury,,,,11/25/2014,
2014,Titans,,brian schwenke,placed on ir with knee injury,,,,11/25/2014,
2014,Bears,,brian de la puente,placed on ir with ankle injury,,,,11/26/2014,
2014,Cowboys,,jack crawford,placed on ir with fractured thumb,,,,11/26/2014,
2014,Raiders,,david ausberry,placed on ir with foot injury,,,,11/26/2014,
2014,Redskins,,tracy porter o'neil,placed on ir with shoulder injury,,,,11/26/2014,
2014,Texans,,ryan mallett,placed on ir with torn pectoral muscle,,,,11/26/2014,
2014,Vikings,,phil loadholt,placed on ir with torn pectoral muscle,,,,11/26/2014,
2014,49ers,,derek carrier,placed on ir with foot injury,,,,11/27/2014,
2014,Saints,,brodrick bunkley,placed on ir with torn quadriceps,,,,11/27/2014,
2014,Bears,,lance briggs,placed on ir with groin injury,,,,11/28/2014,
2014,Seahawks,,kevin pierre-louis,placed on ir with shoulder injury,,,,11/28/2014,
2014,Raiders,,carlos rogers,placed on ir with knee injury,,,,11/29/2014,
2014,Bengals,,jayson dimanche,placed on ir with fractured forearm,,,,12/1/2014,
2014,Steelers,,brett keisel,placed on ir with triceps injury,,,,12/1/2014,
2014,Giants,,adam snyder,placed on ir with knee injury,,,,12/2/2014,
2014,Giants,,mathias kiwanuka,placed on ir with knee injury,,,,12/2/2014,
2014,Giants,,robert ayers jr,placed on ir with pectoral muscle injury,,,,12/2/2014,
2014,Titans,,justin hunter,placed on ir with lacerated spleen,,,,12/2/2014,
2014,Browns,,miles austin,placed on ir with kidney ailment,,,,12/3/2014,
2014,Giants,,geoff schwartz,placed on ir with ankle injury,,,,12/3/2014,
2014,Giants,,terrell manning,placed on ir with ankle injury,,,,12/3/2014,
2014,Jaguars,,austin pasztor,placed on ir with hamstring injury,,,,12/3/2014,
2014,Texans,,max bullough,placed on ir with hamstring injury,,,,12/3/2014,
2014,Bears,,chris williams b 1987-09-16,placed on ir with hamstring injury,,,,12/4/2014,
2014,Jets,,greg salas,placed on ir with hamstring injury,,,,12/4/2014,
2014,Patriots,,aaron dobson,placed on ir with hamstring injury,,,,12/4/2014,
2014,Raiders,,jonathan dowling,placed on ir with back injury,,,,12/6/2014,
2014,Ravens,,tramain jacobs,placed on ir with thigh injury,,,,12/6/2014,
2014,Redskins,,chase minnifield,placed on ir with concussion,,,,12/6/2014,
2014,Steelers,,cortez allen,placed on ir with thumb injury,,,,12/6/2014,
2014,Vikings,,jerick mckinnon,placed on ir with back injury,,,,12/6/2014,
2014,Bears,,brandon marshall tyrone,placed on ir with fractured ribs,,,,12/8/2014,
2014,Buccaneers,,brandon magee,placed on ir with torn pectoral muscle,,,,12/8/2014,
2014,Cardinals,,andre ellington,placed on ir with hip injury,,,,12/8/2014,
2014,Dolphins,,louis delmas,placed on ir with knee injury,,,,12/8/2014,
2014,Packers,,luther robinson,placed on ir with calf injury,,,,12/8/2014,
2014,Chargers,,ryan miller b 1989-07-06,placed on ir,,,,12/8/2014,
2014,49ers,,vance mcdonald,placed on ir with back injury,,,,12/9/2014,
2014,Bengals,,vontaze burfict,placed on ir with knee injury,,,,12/9/2014,
2014,Bills,,mike williams anthony,placed on ir with calf injury,,,,12/9/2014,
2014,Ravens,,danny gorrer,"placed on ir with torn mcl, pcl in knee",,,,12/9/2014,
2014,Titans,,blidi wreh-wilson,placed on ir with shoulder injury,,,,12/9/2014,
2014,Lions,,joseph fauria,placed on ir with ankle injury,,,,12/10/2014,
2014,Texans,,jadeveon clowney,placed on ir with right knee injury (microfracture surgery),,,,12/10/2014,
2014,Vikings,,michael mauti,placed on ir with knee injury,,,,12/10/2014,
2014,Bears,,genos williams  dj williams,placed on ir with neck injury,,,,12/11/2014,
2014,Redskins,,morgan moses,placed on ir with foot injury,,,,12/11/2014,
2014,Texans,,tim jamison,placed on ir with knee injury,,,,12/12/2014,
2014,49ers,,glenn dorsey,placed on ir with forearm injury / torn left biceps,,,,12/13/2014,
2014,49ers,,navorro bowman,placed on ir with left knee injury,,,,12/13/2014,
2014,Bears,,darryl sharpton,placed on ir with hamstring injury,,,,12/13/2014,
2014,Broncos,,montee ball,placed on ir with groin injury,,,,12/13/2014,
2014,Broncos,,quinton carter,placed on ir with knee injury,,,,12/13/2014,
2014,Dolphins,,anthony johnson b 1993-01-24,placed on ir with ankle injury,,,,12/13/2014,
2014,Packers,,jamari lattimore,placed on ir with ankle injury,,,,12/13/2014,
2014,Raiders,,larry asante,placed on ir with shoulder injury,,,,12/13/2014,
2014,Ravens,,jah reid,placed on ir with hand injury,,,,12/13/2014,
2014,Titans,,michael oher,placed on ir with toe injury,,,,12/13/2014,
2014,Falcons,,robert alford,placed on ir with wrist injury,,,,12/15/2014,
2014,Titans,,jake locker,placed on ir with left shoulder injury,,,,12/15/2014,
2014,49ers,,kassim osgood,placed on ir with fractured hand,,,,12/16/2014,
2014,Broncos,,danny trevathan,placed on ir with dislocated left kneecap,,,,12/16/2014,
2014,Buccaneers,,austin seferian-jenkins,placed on ir with back injury,,,,12/16/2014,
2014,Buccaneers,,gerald mccoy,placed on ir with sprained right knee,,,,12/16/2014,
2014,Buccaneers,,louis murphy jr,placed on ir with ankle injury,,,,12/16/2014,
2014,Cardinals,,ed stinson,placed on ir with toe injury,,,,12/16/2014,
2014,Chargers,,donald butler,placed on ir with dislocated elbow,,,,12/16/2014,
2014,Giants,,james brewer,placed on ir with concussion,,,,12/16/2014,
2014,Jaguars,,denard robinson,placed on ir with foot injury,,,,12/16/2014,
2014,Raiders,,sio moore,placed on ir with hip injury,,,,12/16/2014,
2014,Ravens,,asa jackson,placed on ir with knee injury,,,,12/16/2014,
2014,Ravens,,lorenzo taliaferro,placed on ir with foot injury,,,,12/16/2014,
2014,Ravens,,terrence brooks,placed on ir with knee injury,,,,12/16/2014,
2014,Redskins,,colt mccoy,placed on ir with neck injury,,,,12/16/2014,
2014,Texans,,ryan fitzpatrick,placed on ir with fractured left leg,,,,12/16/2014,
2014,Titans,,brett brackett,placed on ir with knee injury,,,,12/16/2014,
2014,49ers,,garrett celek,placed on ir with back injury,,,,12/17/2014,
2014,Giants,,jacquian williams,placed on ir with concussion,,,,12/17/2014,
2014,Jaguars,,khairi fortt,placed on ir with hamstring injury,,,,12/17/2014,
2014,Lions,,laadrian waddle,placed on ir with left knee injury,,,,12/17/2014,
2014,Patriots,,dominique easley,placed on ir with knee injury,,,,12/17/2014,
2014,Ravens,,kevin mcdermott,placed on ir with undisclosed injury,,,,12/18/2014,
2014,Titans,,dexter mccluster,placed on ir with knee injury,,,,12/18/2014,
2014,Redskins,,brandon meriweather,placed on ir with toe injury,,,,12/19/2014,
2014,49ers,,chris borland,placed on ir with ankle injury,,,,12/20/2014,
2014,Browns,,tashaun gipson,placed on ir with knee injury,,,,12/20/2014,
2014,Buccaneers,,major wright,placed on ir with rib injury,,,,12/20/2014,
2014,Raiders,,tarell brown,placed on ir with foot injury,,,,12/20/2014,
2014,Chargers,,johnnie troutman,placed on ir with knee injury,,,,12/22/2014,
2014,Panthers,,de'andre presley,placed on ir with concussion,,,,12/22/2014,
2014,Bears,,willie young james,placed on ir with torn achilles tendon,,,,12/23/2014,
2014,Dolphins,,jamar taylor,placed on ir with shoulder injury,,,,12/23/2014,
2014,Falcons,,william moore,placed on ir with shoulder injury,,,,12/23/2014,
2014,Ravens,,rick wagner  ricky wagner,placed on ir with foot injury,,,,12/23/2014,
2014,Redskins,,trent murphy,placed on ir with hand injury,,,,12/23/2014,
2014,Browns,,ishmaa'ily kitchen,placed on ir with leg injury,,,,12/24/2014,
2014,Browns,,johnny manziel,placed on ir with hamstring injury,,,,12/24/2014,
2014,Raiders,,brian leonhardt,placed on ir with concussion,,,,12/24/2014,
2014,49ers,,alex boone,placed on ir with knee injury,,,,12/26/2014,
2014,49ers,,raymond ventrone  bubba ventrone,placed on ir with groin injury,,,,12/26/2014,
2014,Saints,,akiem hicks,placed on ir with ankle injury,,,,12/26/2014,
2014,Saints,,pierre thomas,placed on ir with rib injury,,,,12/26/2014,
2014,Chargers,,mike scifres,placed on ir with shoulder injury,,,,12/27/2014,
2014,Jets,,rontez miles,placed on ir with shin injury,,,,12/27/2014,
2014,Patriots,,alfonzo dennard,placed on ir with hamstring injury,,,,12/27/2014,
2014,Redskins,,jason hatcher,placed on ir with knee injury,,,,12/27/2014,
2014,Saints,,john jenkins,placed on ir with abdominal injury,,,,12/27/2014,
2014,Vikings,,anthony barr,placed on ir with knee injury,,,,12/27/2014,
2014,Cowboys,,henry melton,placed on ir with knee injury,,,,12/30/2014,
2014,Bengals,,dane sanzenbacher,placed on ir with concussion,,,,12/31/2014,
2014,Colts,,gosder cherilus,placed on ir with groin injury,,,,1/1/2015,
2014,Ravens,,arthur brown,placed on ir with hamstring injury,,,,1/2/2015,
2014,Colts,,hugh thornton,placed on ir with shoulder injury,,,,1/6/2015,
2014,Seahawks,,jordan hill,placed on ir with ankle/calf injury,,,,1/6/2015,
2014,Broncos,,quanterus smith,placed on ir with knee injury,,,,1/10/2015,
2014,Seahawks,,paul richardson jr,placed on ir with torn acl in knee,,,,1/12/2015,
2015,Raiders,,miles burris,placed on ir,,,,5/6/2015,
2015,Giants,,thomas gordon,placed on ir with undisclosed injury,,,,5/12/2015,
2015,Raiders,,jeremy gallon,placed on ir with undisclosed injury,,,,5/12/2015,
2015,Texans,,james rouse b,placed on ir with achilles injury,,,,5/12/2015,
2015,Seahawks,,tory slater,placed on ir with undisclosed injury,,,,5/15/2015,
2015,Redskins,,james gayle,placed on ir with undisclosed injury,,,,5/19/2015,
2015,Saints,,malcome kennedy  malcolme kennedy,placed on ir with foot injury,,,,5/19/2015,
2015,Seahawks,,demitrius bronson,placed on ir with hamstring injury,,,,5/19/2015,
2015,Buccaneers,,emmanuel ogbuehi,placed on ir with undisclosed injury,,,,5/20/2015,
2015,Steelers,,l'damian washington,placed on ir with undisclosed injury,,,,5/20/2015,
2015,Saints,,andy tanner,placed on ir with undisclosed injury,,,,5/21/2015,
2015,Browns,,keith pough,placed on ir with undisclosed injury,,,,5/27/2015,
2015,Colts,,joshua mitchell  josh mitchell,placed on ir with undisclosed injury,,,,5/27/2015,
2015,Cowboys,,chris boyd,placed on ir with undisclosed injury,,,,5/27/2015,
2015,Broncos,,ryan clady,placed on ir with torn acl in left knee,,,,5/29/2015,
2015,Ravens,,julian wilson,placed on ir with leg injury,,,,5/29/2015,
2015,Raiders,,andre debose,placed on ir with achilles injury,,,,6/4/2015,
2015,Raiders,,jacoby hale,placed on ir with undisclosed injury,,,,6/5/2015,
2015,Rams,,bud sasser,placed on ir (cbs) / non-football injury list (sn) with illness,,,,6/5/2015,
2015,Titans,,brandon harris a,placed on ir with left knee injury,,,,6/9/2015,
2015,Seahawks,,ryan robinson b 1990-12-09,placed on ir with achilles tendon injury,,,,6/16/2015,
2015,Bills,,deon broomfield,placed on ir with undisclosed injury,,,,6/17/2015,
2015,Jets,,zach sudfeld,placed on ir with torn acl in knee,,,,6/17/2015,
2015,Panthers,,tyronne green,placed on ir with achilles injury,,,,6/17/2015,
2015,Steelers,,micah hatchie,placed on ir with torn left achilles tendon,,,,6/18/2015,
2015,Giants,,marcus harris b 1989-03-01,placed on ir with knee injury,,,,7/16/2015,
2015,Vikings,,casey matthews,placed on ir with hip injury,,,,7/26/2015,
2015,Cowboys,,ryan williams a,placed on ir with knee injury,,,,7/28/2015,
2015,Saints,,michael brewster  mike brewster,placed on ir with undisclosed injury,,,,7/28/2015,
2015,Bengals,,james wright earl,placed on ir with knee injury,,,,7/29/2015,
2015,Cowboys,,cameron lawrence,placed on ir with undisclosed injury,,,,7/29/2015,
2015,Cowboys,,ryan miller b 1989-07-06,placed on ir with undisclosed injury,,,,7/29/2015,
2015,Ravens,,cam worthy,placed on ir with foot injury,,,,7/30/2015,
2015,Titans,,dorin dickerson,placed on ir with achilles injury,,,,7/30/2015,
2015,Giants,,ben edwards,placed on ir with undisclosed injury,,,,8/1/2015,
2015,Chiefs,,keshawn hill,placed on ir with undisclosed injury,,,,8/2/2015,
2015,49ers,,reggie bush,placed on ir with torn acl in right knee,,,,8/3/2015,
2015,Bears,,demontre hurst,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Bengals,,aj hawk a,placed on ir with achilles injury,,,,8/3/2015,
2015,Broncos,,aj hawk a,placed on ir with achilles injury,,,,8/3/2015,
2015,Broncos,,kyle williams steven,placed on ir with achilles injury,,,,8/3/2015,
2015,Falcons,,matt bryant,placed on ir with undisclosed,,,,8/3/2015,
2015,Giants,,brad harrah,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Giants,,matt lacosse,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Giants,,will blackmon,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Panthers,,stephen hill,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Seahawks,,will blackmon,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Steelers,,matt bryant,placed on ir with undisclosed (cbs),,,,8/3/2015,
2015,Steelers,,ross scheuerman,placed on ir with undisclosed injury,,,,8/3/2015,
2015,Broncos,,connor rains,placed on ir with undisclosed injury,,,,8/4/2015,
2015,Cardinals,,bradley sowell,placed on ir with foot injury,,,,8/4/2015,
2015,Chargers,,michael roos,placed on ir with fractured foot,,,,8/4/2015,
2015,Chargers,,tenny palepoi,placed on ir with undisclosed injury,,,,8/4/2015,
2015,Cowboys,,anthony fasano,placed on ir with torn acl in knee,,,,8/4/2015,
2015,Cowboys,,justin jackson a,placed on ir with undisclosed injury,,,,8/4/2015,
2015,Patriots,,kevin hughes,placed on ir with undisclosed injury,,,,8/4/2015,
2015,Eagles,,travis long,placed on ir with undisclosed injury,,,,8/4/2015,
2015,Patriots,,damond smith,placed on ir with undisclosed,,,,8/4/2015,
2015,Colts,,kendall langford,placed on ir with undisclosed injury (out for season),,,,8/5/2015,
2015,Cowboys,,justin anderson b,placed on ir with undisclosed injury,,,,8/5/2015,
2015,Cowboys,,reshod fortenberry,placed on ir with undisclosed injury,,,,8/5/2015,
2015,Cowboys,,steven jackson,placed on ir with knee injury,,,,8/5/2015,
2015,Eagles,,adrian peterson,placed on ir with torn acl in left knee,,,,8/5/2015,
2015,Patriots,,aj derby,placed on ir with undisclosed injury,,,,8/5/2015,
2015,Patriots,,matt hasselbeck,placed on ir with undisclosed injury,,,,8/5/2015,
2015,Steelers,,adrian peterson,placed on ir with undisclosed injury,,,,8/6/2015,
2015,Steelers,,eli rogers,placed on ir with undisclosed injury,,,,8/6/2015,
2015,49ers,,ben gottschalk,placed on ir with foot injury,,,,8/7/2015,
2015,Bears,,brian vogler,placed on ir with foot injury,,,,8/7/2015,
2015,Cardinals,,john fullington,placed on ir with torn acl in left knee,,,,8/7/2015,
2015,Steelers,,clifton geathers,placed on ir with undisclosed injury,,,,8/7/2015,
2015,Steelers,,rob blanchflower,placed on ir with undisclosed injury,,,,8/7/2015,
2015,Titans,,cody prewitt,placed on ir with undisclosed injury,,,,8/7/2015,
2015,Chargers,,ben beckwith,placed on ir with undisclosed injury,,,,8/8/2015,
2015,Falcons,,beau gardner,placed on ir with knee injury,,,,8/8/2015,
2015,Giants,,chris harper deon,placed on ir with undisclosed injury,,,,8/8/2015,
2015,Jets,,antonio allen,placed on ir with achilles injury,,,,8/8/2015,
2015,Saints,,jack tabb,placed on ir with leg injury,,,,8/8/2015,
2015,Steelers,,isaiah lewis,placed on ir with undisclosed injury,,,,8/9/2015,
2015,Titans,,connor neighbors,placed on ir with fractured forearm,,,,8/9/2015,
2015,Cowboys,,will smith b,placed on ir with undisclosed injury,,,,8/10/2015,
2015,Bills,,justin brown b 1991-03-10,placed on ir with undisclosed injury,,,,8/11/2015,
2015,Eagles,,frances mays  frank mays,placed on ir with undisclosed injury,,,,8/11/2015,
2015,Jaguars,,matt robinson b,placed on ir with hamstring injury,,,,8/11/2015,
2015,Lions,,david ausberry,placed on ir with undisclosed injury,,,,8/11/2015,
2015,Titans,,curtis riley,placed on ir with undisclosed injury,,,,8/11/2015,
2015,Buccaneers,,quinton alston,placed on ir with undisclosed injury,,,,8/12/2015,
2015,Dolphins,,shamiel gary,placed on ir with shoulder injury,,,,8/12/2015,
2015,Steelers,,devin gardner,placed on ir with undisclosed injury,,,,8/12/2015,
2015,Steelers,,shaun suisham,placed on ir with torn acl in left knee,,,,8/12/2015,
2015,Bills,,caleb holley,placed on ir with hamstring injury,,,,8/13/2015,
2015,Bills,,clay burton,placed on ir with undisclosed injury,,,,8/13/2015,
2015,Cowboys,,chris whaley,placed on ir with achilles injury,,,,8/13/2015,
2015,Cowboys,,jason wilson,placed on ir with undisclosed injury,,,,8/13/2015,
2015,Falcons,,ricky havill-heimuli  ricky heimuli,placed on ir with hip injury,,,,8/13/2015,
2015,Patriots,,tyler gaffney,placed on ir with knee injury,,,,8/13/2015,
2015,Steelers,,cameron stingily,placed on ir with torn meniscus in right knee,,,,8/14/2015,
2015,Redskins,,logan paulsen,placed on ir with turf toe,,,,8/16/2015,
2015,Redskins,,niles paul,placed on ir with fractured and dislocated ankle,,,,8/16/2015,
2015,Dolphins,,tommy streeter,placed on ir with undisclosed injury,,,,8/17/2015,
2015,Eagles,,bj mcbryde,placed on ir with foot injury,,,,8/17/2015,
2015,Eagles,,brandon hepburn,placed on ir with abdominal injury,,,,8/17/2015,
2015,Giants,,mykkele thompson,placed on ir with achilles tendon injury,,,,8/17/2015,
2015,Redskins,,trevardo williams,placed on ir with undisclosed injury,,,,8/17/2015,
2015,Vikings,,gavin lutman,placed on ir with hamstring injury,,,,8/17/2015,
2015,Bills,,jarius wynn,placed on ir with acl injury in knee,,,,8/18/2015,
2015,Bills,,ty powell,placed on ir with torn acl in knee,,,,8/18/2015,
2015,Colts,,cody galea,placed on ir with hamstring injury,,,,8/18/2015,
2015,Cowboys,,ray vinopal,placed on ir with ankle injury,,,,8/18/2015,
2015,Panthers,,jamie childers,placed on ir with fractured arm,,,,8/18/2015,
2015,Redskins,,silas redd jr,"placed on ir with torn acl, mcl in right knee",,,,8/18/2015,
2015,Saints,,lawrence virgil,placed on ir with undisclosed injury,,,,8/18/2015,
2015,Vikings,,phil loadholt,placed on ir with torn left achilles tendon,,,,8/18/2015,
2015,Cardinals,,brandon person,placed on ir with torn acl in knee,,,,8/19/2015,
2015,Cardinals,,zack wagenmann,placed on ir with fractured right foot,,,,8/19/2015,
2015,Eagles,,jordan dewalt-ondijo,placed on ir with ankle injury,,,,8/19/2015,
2015,Lions,,darren keyton,placed on ir with knee injury,,,,8/19/2015,
2015,Broncos,,marvin austin jr,placed on ir with groin injury,,,,8/20/2015,
2015,Saints,,austin brown,placed on ir with knee injury,,,,8/20/2015,
2015,Steelers,,jordan zumwalt,placed on ir with undisclosed injury,,,,8/20/2015,
2015,Texans,,mike mcfarland b,placed on ir with undisclosed injury,,,,8/20/2015,
2015,Cardinals,,corey peters,placed on ir with torn left achilles tendon,,,,8/21/2015,
2015,Saints,,kevin brock,placed on ir with undisclosed injury,,,,8/21/2015,
2015,Redskins,,adam hayward,placed on ir with torn acl in right knee,,,,8/22/2015,
2015,Cowboys,,cody clay,placed on ir with undisclosed injury,,,,8/24/2015,
2015,Jaguars,,arrelious benn,placed on ir with fractured left collarbone,,,,8/24/2015,
2015,Lions,,jordan thompson b 1989-07-12,placed on ir with left knee injury,,,,8/24/2015,
2015,Patriots,,brandon gibson,placed on ir with knee injury,,,,8/24/2015,
2015,Rams,,isiah ferguson,placed on ir with knee injury,,,,8/24/2015,
2015,Seahawks,,kona schwenke,placed on ir with torn acl in knee,,,,8/24/2015,
2015,Bears,,jason weaver,placed on ir with undisclosed injury,,,,8/25/2015,
2015,Dolphins,,louis delmas,placed on ir with torn acl in right knee,,,,8/25/2015,
2015,Eagles,,wade keliikipi,placed on ir with sprained right foot,,,,8/25/2015,
2015,Giants,,justin currie,placed on ir with fractured right ankle,,,,8/25/2015,
2015,Giants,,tony johnson c,placed on ir with sprained knee,,,,8/25/2015,
2015,Jaguars,,brennan williams,placed on ir with left knee injury,,,,8/25/2015,
2015,Jaguars,,damian copeland,placed on ir with shoulder injury,,,,8/25/2015,
2015,Lions,,kevin snyder,placed on ir with hand injury,,,,8/25/2015,
2015,Panthers,,frank alexander,placed on ir with torn right achilles tendon,,,,8/25/2015,
2015,Patriots,,brian tyms,placed on ir with foot injury,,,,8/25/2015,
2015,Steelers,,bruce gradkowski,placed on ir with dislocated finger on left hand,,,,8/25/2015,
2015,Steelers,,david nelson b,placed on ir with shoulder injury,,,,8/25/2015,
2015,Jets,,davon walls,placed on ir with knee injury,,,,8/26/2015,
2015,Falcons,,evan royster,placed on ir with undisclosed injury,,,,8/27/2015,
2015,Raiders,,chase williams a,placed on ir with undisclosed injury,,,,8/27/2015,
2015,Patriots,,jake bequette,placed on ir with undisclosed injury,,,,8/28/2015,
2015,Bears,,ryan mundy,placed on ir with hip injury,,,,8/30/2015,
2015,Broncos,,jeff heuerman,placed on ir with torn acl in left knee,,,,8/31/2015,
2015,Colts,,tevin mitchel,placed on ir with torn labrum in left shoulder,,,,8/31/2015,
2015,Jaguars,,dante fowler jr,placed on ir with torn acl in left knee,,,,8/31/2015,
2015,Jaguars,,josh wells,placed on ir with thumb injury,,,,8/31/2015,
2015,Lions,,chris owens todd dillard,placed on ir with undisclosed injury,,,,8/31/2015,
2015,Ravens,,allen reisner,placed on ir with ankle injury,,,,8/31/2015,
2015,Ravens,,chris greenwood,placed on ir with hamstring injury,,,,8/31/2015,
2015,Ravens,,matt elam,placed on ir with biceps injury,,,,8/31/2015,
2015,Ravens,,steven means,placed on ir with groin injury,,,,8/31/2015,
2015,Redskins,,junior galette,placed on ir with torn left achilles,,,,8/31/2015,
2015,Seahawks,,jeremy lane,placed on reserve/physically unable to perform list with knee injury / placed on ir with fractured left arm,,,,8/31/2015,
2015,49ers,,desmond bishop,placed on ir with surgery on left thumb,,,,9/1/2015,
2015,49ers,,dres anderson,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Bears,,john chiles,placed on ir with concussion,,,,9/1/2015,
2015,Bears,,senorise perry,placed on ir with foot injury,,,,9/1/2015,
2015,Bengals,,mark weisman,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Bills,,austin willis,placed on ir with concussion,,,,9/1/2015,
2015,Browns,,connor shaw,placed on ir with surgery on right thumb,,,,9/1/2015,
2015,Browns,,michael bowie,placed on ir with left shoulder injury,,,,9/1/2015,
2015,Cardinals,,travis harvey,placed on ir with hamstring injury,,,,9/1/2015,
2015,Chargers,,brock hekking,placed on ir with foot injury,,,,9/1/2015,
2015,Chiefs,,justin march-lillard  justin march,placed on ir with knee injury,,,,9/1/2015,
2015,Colts,,deveron carr,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Colts,,donald celiscar,placed on ir with undisclosed injury,,,,9/1/2015,
2015,Cowboys,,orlando scandrick,"placed on ir with torn acl, mcl in right knee",,,,9/1/2015,
