Season,Team,Acquired,Relinquished,Notes,,,,Date
2010,Colts,,• David Caldwell (b),placed on ir,,,,8/16/2010
2010,Jets,,• Marlon Davis,placed on ir,,,,8/16/2010
2010,Lions,,• Jordon Dizon,placed on ir with knee injury,,,,8/16/2010
2010,Panthers,,• Steve Justice,placed on ir,,,,8/16/2010
2010,Saints,,• Lynell Hamilton,placed on ir with knee injury,,,,8/16/2010
2010,Texans,,• Ben Tate (b),placed on ir with ankle injury,,,,8/16/2010
2010,Texans,,• Tim Bulman,placed on ir with shoulder injury,,,,8/16/2010
2010,Titans,,• Marcus Howard,placed on ir,,,,8/16/2010
2010,Bills,,• Ryan Manalac,placed on ir,,,,8/17/2010
2010,Browns,,• Dave Zastudil,placed on ir with right knee injury,,,,8/17/2010
2010,Browns,,• Johnathan Haggerty,placed on ir,,,,8/17/2010
2010,Colts,,• Jamie Silva,placed on ir,,,,8/18/2010
2010,Lions,,• Richard Dickson,placed on ir with knee injury,,,,8/18/2010
2010,Titans,,• Stafon Johnson,placed on ir with right ankle and leg injury,,,,8/18/2010
2010,49ers,,• Chris Patrick,placed on ir with shoulder injury,,,,8/19/2010
2010,Bears,,• Matt Mayberry,placed on ir,,,,8/19/2010
2010,Colts,,• Donye McCleskey / Donye' McCleskey,placed on ir,,,,8/19/2010
2010,Lions,,• Jahi Word-Daniels,placed on ir,,,,8/19/2010
2010,Lions,,• Matt Clapp,placed on ir,,,,8/19/2010
2010,Raiders,,• Charlie Frye,placed on ir with right wrist injury,,,,8/19/2010
2010,Redskins,,• Mike Furrey,placed on ir with concussion,,,,8/19/2010
2010,Vikings,,• Jaymar Johnson,placed on ir with fractured left thumb,,,,8/19/2010
2010,Buccaneers,,• De'von Hall,placed on ir,,,,8/20/2010
2010,Jaguars,,• Freddy Keiaho,placed on ir with concussion,,,,8/20/2010
2010,Texans,,• Darnell Bing,placed on ir with neck injury,,,,8/20/2010
2010,Falcons,,• Kerry Meier,placed on ir with knee injury,,,,8/21/2010
2010,Bills,,• Danny Batten,placed on ir with right shoulder injury (surgery),,,,8/23/2010
2010,Bills,,• Marcus Easley,placed on ir with left knee injury,,,,8/23/2010
2010,Colts,,• Jordan Hemby,placed on ir,,,,8/23/2010
2010,Jets,,• Ropati Pitoitua,placed on ir with left achilles tendon injury,,,,8/23/2010
2010,Lions,,• Roy Schuening,placed on ir,,,,8/23/2010
2010,Saints,,• Marcus Mailei,placed on ir with undisclosed injury,,,,8/23/2010
2010,Bears,,• Eric Peterman,placed on ir,,,,8/24/2010
2010,Bengals,,• Andrew Mitchell,placed on ir,,,,8/24/2010
2010,Patriots,,• Kade Weston,placed on ir with undisclosed injury,,,,8/24/2010
2010,Saints,,• P.J. Hill,placed on ir with left leg injury,,,,8/24/2010
2010,Browns,,• Kwaku Danso,placed on ir,,,,8/24/2010
2010,Bills,,• Michael Matthews,placed on ir,,,,8/25/2010
2010,Giants,,• Michael Greco,placed on ir,,,,8/25/2010
2010,Rams,,• Dominic Douglas,placed on ir,,,,8/25/2010
2010,Lions,,• Trevor Canfield,placed on ir,,,,8/26/2010
2010,Lions,,• Jared DeVries,placed on ir with knee injury,,,,8/27/2010
2010,Colts,,• Marcus McCauley,placed on ir with undisclosed injury,,,,8/28/2010
2010,Bengals,,• Gibril Wilson,"placed on ir with torn acl, mcl in left knee",,,,8/29/2010
2010,Colts,,• Kevin Thomas (c),placed on ir with knee injury,,,,8/30/2010
2010,Lions,,• David Roach,placed on ir,,,,8/30/2010
2010,Rams,,• Donnie Avery,placed on ir with torn acl in right knee,,,,8/30/2010
2010,Texans,,• Ben Tate (b),placed on ir,,,,8/30/2010
