player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
danny amendola,danny amendola,2020,danny amendola,2011,100.0
marvin jones,marvin jones,2020,marvin jones,2014,100.0
marvin jones,marvin jones,2020,marvin jones,2018,100.0
marvin jones,marvin jones,2020,marvin jones,2019,100.0
jakeem grant,jakeem grant,2020,jakeem grant,2018,100.0
jakeem grant,jakeem grant,2020,jakeem grant,2019,100.0
emmanuel sanders,emmanuel sanders,2020,emmanuel sanders,2018,100.0
eric ebron,eric ebron,2020,eric ebron,2019,100.0
randall cobb,randall cobb,2020,randall cobb,2013,100.0
cooper kupp,cooper kupp,2020,cooper kupp,2018,100.0
jared cook,jared cook,2020,jared cook,2012,100.0
tyler eifert,tyler eifert,2020,tyler eifert,2014,100.0
tyler eifert,tyler eifert,2020,tyler eifert,2016,100.0
tyler eifert,tyler eifert,2020,tyler eifert,2017,100.0
tyler eifert,tyler eifert,2020,tyler eifert,2018,100.0
dan arnold,dan arnold,2020,dan arnold,2017,100.0
trey burton,trey burton,2020,trey burton,2019,100.0
tyler lockett,tyler lockett,2020,tyler lockett,2016,100.0
christian kirk,christian kirk,2020,christian kirk,2018,100.0
evan engram,evan engram,2020,evan engram,2019,100.0
julio jones,julio jones,2020,julio jones,2013,100.0
calvin ridley,calvin ridley,2020,calvin ridley,2019,100.0
breshad perriman,breshad perriman,2020,breshad perriman,2015,100.0
tyler boyd,tyler boyd,2020,tyler boyd,2018,100.0
drew sample,drew sample,2020,drew sample,2019,100.0
damiere byrd,damiere byrd,2020,damiere byrd,2017,100.0
damiere byrd,damiere byrd,2020,damiere byrd,2018,100.0
darren waller,darren waller,2020,darren waller,2015,100.0
jimmy graham,jimmy graham,2020,jimmy graham,2015,100.0
keenan allen,keenan allen,2020,keenan allen,2015,100.0
keenan allen,keenan allen,2020,keenan allen,2016,100.0
jonnu smith,jonnu smith,2020,jonnu smith,2018,100.0
tim patrick,tim patrick,2020,tim patrick,2019,100.0
tj hockenson,tj hockenson,2020,tj hockenson,2019,100.0
chris conley,chris conley,2020,chris conley,2017,100.0
isaiah ford,isaiah ford,2020,isaiah ford,2017,100.0
allen robinson,allen robinson,2020,allen robinson,2014,100.0
allen robinson,allen robinson,2020,allen robinson,2017,100.0
jordan reed,jordan reed,2020,jordan reed,2013,100.0
jordan reed,jordan reed,2020,jordan reed,2017,100.0
jordan reed,jordan reed,2020,jordan reed,2018,100.0
jordan reed,jordan reed,2020,jordan reed,2019,100.0
mike williams,mike williams,2020,mike williams,2011,100.0
mike williams,mike williams,2020,mike williams,2013,100.0
mike williams,mike williams,2020,mike williams,2014,100.0
sammy watkins,sammy watkins,2020,sammy watkins,2016,100.0
travis kelce,travis kelce,2020,travis kelce,2013,100.0
aj green,aj green,2020,aj green,2016,100.0
aj green,aj green,2020,aj green,2018,100.0
aj green,aj green,2020,aj green,2019,100.0
odell beckham,odell beckham,2020,odell beckham,2017,100.0
mike evans,mike evans,2020,mike evans,2019,100.0
hunter henry,hunter henry,2020,hunter henry,2017,100.0
michael thomas,michael thomas,2020,michael thomas,2014,100.0
michael thomas,michael thomas,2020,michael thomas,2017,100.0
will fuller,will fuller,2020,will fuller,2018,100.0
rob gronkowski,rob gronkowski,2020,rob gronkowski,2012,100.0
rob gronkowski,rob gronkowski,2020,rob gronkowski,2013,100.0
rob gronkowski,rob gronkowski,2020,rob gronkowski,2016,100.0
sterling shepard,sterling shepard,2021,sterling shepard,2020,100.0
deonte harris,deonte harris,2021,deonte harris,2020,100.0
allen robinson,allen robinson,2021,allen robinson,2014,100.0
allen robinson,allen robinson,2021,allen robinson,2017,100.0
tyler lockett,tyler lockett,2021,tyler lockett,2016,100.0
cameron brate,cameron brate,2021,cameron brate,2016,100.0
adam humphries,adam humphries,2021,adam humphries,2020,100.0
deebo samuel,deebo samuel,2021,deebo samuel,2020,100.0
jalen reagor,jalen reagor,2021,jalen reagor,2020,100.0
braxton berrios,braxton berrios,2021,braxton berrios,2018,100.0
cooper kupp,cooper kupp,2021,cooper kupp,2018,100.0
olamide zaccheaus,olamide zaccheaus,2021,olamide zaccheaus,2020,100.0
brandin cooks,brandin cooks,2021,brandin cooks,2014,100.0
chris godwin,chris godwin,2021,chris godwin,2020,100.0
tyler boyd,tyler boyd,2021,tyler boyd,2018,100.0
michael pittman,michael pittman,2021,michael pittman,2020,100.0
cj uzomah,cj uzomah,2021,cj uzomah,2020,100.0
