player_season_name,season_ps,ir_name,season_ir,fuzzy_score
russell gage,2020,russell allen,2013,80
michael thomas,2020,michael ola,2017,80
michael thomas,2020,mike thomas,2018,80
michael thomas,2020,michael ola,2018,80
michael thomas,2020,michael ola,2017,80
michael thomas,2020,mike thomas,2018,80
michael thomas,2020,michael ola,2018,80
michael thomas,2020,michael ola,2017,80
michael thomas,2020,mike thomas,2018,80
michael thomas,2020,michael ola,2018,80
michael thomas,2020,michael ola,2017,80
michael thomas,2020,mike thomas,2018,80
michael thomas,2020,michael ola,2018,80
john brown,2020,noah brown,2018,80
john brown,2020,tony brown,2020,80
john brown,2020,noah brown,2021,80
john brown,2020,noah brown,2023,80
john brown,2020,noah brown,2023,80
john brown,2020,tony brown,2024,80
john brown,2020,noah brown,2024,80
marquise brown,2021,marquise goodwin,2015,80
marquise brown,2021,marquise goodwin,2019,80
marquise brown,2021,marquise goodwin,2022,80
deonte harris,2021,deonte harty,2022,80
deonte harris,2021,deonte harty,2024,80
allen robinson,2021,laurent robinson,2012,80
cameron brate,2021,cameron bradfield,2016,80
tyler boyd,2021,tyler bray,2014,80
marvin jones,2021,vi jones,2023,80
russell gage,2021,russell allen,2013,80
tyler johnson,2021,tony johnson,2015,80
tyler johnson,2021,trey johnson,2018,80
tyler johnson,2021,toby johnson,2018,80
tyler johnson,2021,lane johnson,2020,80
tyler johnson,2021,theo johnson,2024,80
elijah moore,2021,elijah molden,2022,80
elijah moore,2021,elijah molden,2022,80
elijah moore,2021,elijah molden,2024,80
emmanuel sanders,2021,daniel sanders,2010,80
emmanuel sanders,2021,daniel sanders,2010,80
justin jefferson,2021,tony jefferson,2016,80
justin jefferson,2021,tony jefferson,2019,80
justin jefferson,2021,tony jefferson,2021,80
justin jefferson,2021,tony jefferson,2022,80
brandon aiyuk,2021,brandon bair,2013,80
nick westbrook-ikhine,2021,nick westbrook,2023,80
mike williams,2021,ian williams,2013,80
mike williams,2021,ian williams,2014,80
mike williams,2021,joe williams,2017,80
mike williams,2021,sam williams,2024,80
bryan edwards,2021,dwan edwards,2010,80
ja'marr chase,2021,jamar chaney,2014,80
russell gage,2022,russell allen,2013,80
marquise brown,2022,marquise goodwin,2015,80
marquise brown,2022,marquise goodwin,2019,80
marquise brown,2022,marquise goodwin,2022,80
noah brown,2022,zach brown,2014,80
noah brown,2022,john brown,2020,80
brandon aiyuk,2022,brandon bair,2013,80
elijah moore,2022,elijah molden,2022,80
elijah moore,2022,elijah molden,2022,80
elijah moore,2022,elijah molden,2024,80
marvin jones,2022,vi jones,2023,80
juwan johnson,2022,lane johnson,2020,80
ja'marr chase,2022,jamar chaney,2014,80
nick westbrook-ikhine,2022,nick westbrook,2023,80
logan thomas,2022,jordan thomas,2019,80
logan thomas,2022,jordan thomas,2021,80
logan thomas,2022,jaylon thomas,2024,80
justin jefferson,2022,tony jefferson,2016,80
justin jefferson,2022,tony jefferson,2019,80
justin jefferson,2022,tony jefferson,2021,80
justin jefferson,2022,tony jefferson,2022,80
gabe davis,2022,nate davis,2022,80
mike williams,2022,ian williams,2013,80
mike williams,2022,ian williams,2014,80
mike williams,2022,joe williams,2017,80
mike williams,2022,sam williams,2024,80
tyler boyd,2022,tyler bray,2014,80
allen robinson,2022,laurent robinson,2012,80
elijah moore,2023,elijah molden,2022,80
elijah moore,2023,elijah molden,2022,80
elijah moore,2023,elijah molden,2024,80
nick westbrook-ikhine,2023,nick westbrook,2023,80
noah brown,2023,zach brown,2014,80
noah brown,2023,john brown,2020,80
allen robinson,2023,laurent robinson,2012,80
justin jefferson,2023,tony jefferson,2016,80
justin jefferson,2023,tony jefferson,2019,80
justin jefferson,2023,tony jefferson,2021,80
justin jefferson,2023,tony jefferson,2022,80
gabe davis,2023,nate davis,2022,80
logan thomas,2023,jordan thomas,2019,80
logan thomas,2023,jordan thomas,2021,80
logan thomas,2023,jaylon thomas,2024,80
michael wilson,2023,michael williams,2013,80
michael wilson,2023,michael wilhoite,2015,80
michael wilson,2023,michael williams,2016,80
michael wilson,2023,sony michel,2020,80
tyler boyd,2023,tyler bray,2014,80
josh downs,2023,josh jones,2020,80
josh downs,2023,josh jones,2021,80
josh downs,2023,josh jones,2022,80
quentin johnston,2023,justin johnson,2019,80
marquise brown,2023,marquise goodwin,2015,80
marquise brown,2023,marquise goodwin,2019,80
marquise brown,2023,marquise goodwin,2022,80
justin watson,2023,justin tryon,2011,80
ja'marr chase,2023,jamar chaney,2014,80
brandon aiyuk,2023,brandon bair,2013,80
michael thomas,2023,michael ola,2017,80
michael thomas,2023,mike thomas,2018,80
michael thomas,2023,michael ola,2018,80
michael thomas,2023,michael ola,2017,80
michael thomas,2023,mike thomas,2018,80
michael thomas,2023,michael ola,2018,80
michael thomas,2023,michael ola,2017,80
michael thomas,2023,mike thomas,2018,80
michael thomas,2023,michael ola,2018,80
michael thomas,2023,michael ola,2017,80
michael thomas,2023,mike thomas,2018,80
michael thomas,2023,michael ola,2018,80
juwan johnson,2023,lane johnson,2020,80
jalen mcmillan,2024,jalen mills,2018,80
jalen mcmillan,2024,jalen mills,2024,80
noah brown,2024,zach brown,2014,80
noah brown,2024,john brown,2020,80
parker washington,2024,charles washington,2018,80
parker washington,2024,charles washington,2021,80
parker washington,2024,charles washington,2022,80
jameson williams,2024,jamar williams,2010,80
jameson williams,2024,jesse williams,2013,80
jameson williams,2024,aaron williams,2013,80
jameson williams,2024,jesse williams,2014,80
jameson williams,2024,aaron williams,2016,80
jameson williams,2024,jonah williams,2020,80
jameson williams,2024,jonah williams,2024,80
jameson williams,2024,jonah williams,2024,80
tyler boyd,2024,tyler bray,2014,80
