player,matched_ir_name,fuzzy_score,above_threshold
tyler eifert,tyler eifert,100.0,True
irv smith,irv smith jr,85.71428571428572,True
darren waller,darren waller,100.0,True
demarcus robinson,darius robinson,87.5,True
phillip dorsett,phillip dorsett ii,90.9090909090909,True
terry mclaurin,terrell mcclain,75.86206896551724,False
greg olsen,greg olsen,100.0,True
darren fells,daniel fells,75.0,False
a.j. brown,aj brown,88.88888888888889,True
d.k. metcalf,damik scafe,52.17391304347826,False
darius slayton,adarius glanton,82.75862068965517,True
preston williams,preston williams,100.0,True
dawson knox,dawson knox,100.0,True
darnell mooney,darnell mooney,100.0,True
braxton berrios,braxton berrios,100.0,True
laviska shenault,laviska shenault jr,91.42857142857143,True
henry ruggs,rashaun henry,66.66666666666667,False
cam sims,cam sims,100.0,True
dalton schultz,anthony schwartz,66.66666666666667,False
jakeem grant,jakeem grant,100.0,True
hayden hurst,hayden hurst,100.0,True
jalen reagor,jalen reagor,100.0,True
tee higgins,kareem huggins,72.0,False
cole kmet,cole luke,77.77777777777779,False
anthony firkser,anthony walker jr,75.0,False
mecole hardman,mecole hardman,100.0,True
jakobi meyers,myles jack,69.56521739130434,False
michael pittman,michael pittman jr,90.9090909090909,True
gabriel davis,marlon davis,72.0,False
dan arnold,dan arnold,100.0,True
jalen guyton,jalen guyton,100.0,True
scott miller,scotty miller,96.0,True
robert tonyan,robert tonyan,100.0,True
k.j. hamler,kj hamler,90.0,True
travis fulgham,travis long,72.0,False
n'keal harry,nkeal harry,95.65217391304348,True
ceedee lamb,ceedee lamb,100.0,True
drew sample,drew sample,100.0,True
greg ward,greg ward,100.0,True
justin jefferson,justin jefferson,100.0,True
logan thomas,logan thomas,100.0,True
chase claypool,chase claypool,100.0,True
tim patrick,tim patrick,100.0,True
isaiah ford,isaiah ford,100.0,True
brandon aiyuk,brandon aiyuk,100.0,True
dk metcalf,damik scafe,57.14285714285714,False
jerry jeudy,jerry jeudy,100.0,True
denzel mims,denzel mims,100.0,True
rondale moore,rondale moore,100.0,True
devin duvernay,devin duvernay,100.0,True
deonte harris,devante harris,88.88888888888889,True
kadarius toney,adarius glanton,75.86206896551724,False
rashod bateman,rashod bateman,100.0,True
kalif raymond,kalif raymond,100.0,True
amon-ra st. brown,troy brown a,62.06896551724138,False
jaylen waddle,jalen parmele,69.23076923076923,False
olamide zaccheaus,olamide zaccheaus,100.0,True
cedrick wilson,cedrick lang,76.92307692307692,False
devonta smith,djoun smith,75.0,False
van jefferson,van jefferson,100.0,True
quez watkins,quez watkins,100.0,True
tyler johnson,tyler johnstone,92.85714285714286,True
kyle pitts,kyle pitts,100.0,True
elijah moore,elijah moore,100.0,True
marquez callaway,marquez callaway,100.0,True
donovan peoples-jones,donovan wilson,68.57142857142857,False
k.j. osborn,jack sanborn,60.86956521739131,False
ray-ray mccloud,ray-ray mccloud,100.0,True
pat freiermuth,pat freiermuth,100.0,True
byron pringle,byron pringle,100.0,True
nick westbrook-ikhine,nick westbrook-ikhine nick westbrook,73.6842105263158,False
nico collins,nico collins,100.0,True
tyler conklin,colin jeter,75.0,False
mo alie-cox,mo alie-cox,100.0,True
josh palmer,josh walker,81.81818181818181,True
bryan edwards,braylon edwards,85.71428571428572,True
ja'marr chase,jamar chaney,80.0,True
greg dortch,greg dulcich,69.56521739130434,False
ben skowronek,ben skowronek,100.0,True
chris olave,chris olave,100.0,True
treylon burks,treylon burks,100.0,True
drake london,lacale london,72.0,False
deandre carter,deandre carter,100.0,True
noah brown,noah brown,100.0,True
richie james,richie james,100.0,True
isaiah hodgins,isaiah hodgins,100.0,True
mack hollins,mack hollins,100.0,True
greg dulcich,greg dulcich,100.0,True
parris campbell,parris campbell,100.0,True
chigoziem okonkwo,chidi okeke,57.14285714285714,False
isaiah likely,isaiah oliver,76.92307692307692,False
romeo doubs,doug kramer,63.63636363636363,False
jauan jennings,gary jennings,74.07407407407408,False
cade otton,tony mcrae,70.0,False
alec pierce,pierre allen,78.26086956521739,False
chris moore,chris okoye,81.81818181818181,True
christian watson,christian thompson,82.35294117647058,True
jahan dotson,josh doctson,75.0,False
tyquan thornton,tyquan thornton,100.0,True
trent sherfield,trent harris,66.66666666666667,False
garrett wilson,garrett sickels,75.86206896551724,False
juwan johnson,justin johnson,81.4814814814815,True
foster moreau,foster moreau,100.0,True
terrace marshall,terrace marshall jr,91.42857142857143,True
isaiah mckenzie,isaiah mckenzie,100.0,True
george pickens,george winn,72.0,False
zay flowers,trey flowers,78.26086956521739,False
dontayvion wicks,donavin newsom,66.66666666666667,False
jaxon smith-njigba,jason smith,68.96551724137932,False
wan'dale robinson,wandale robinson,96.96969696969697,True
tank dell,mark dell,77.77777777777779,False
demario douglas,dominic douglas,73.33333333333334,False
tutu atwell,sae tautu,70.0,False
rashid shaheed,rashid shaheed,100.0,True
jayden reed,joe reed,73.6842105263158,False
jordan addison,jordon dizon,76.92307692307692,False
trey palmer,trey taylor,72.72727272727273,False
kylen granson,jason kyle,78.26086956521739,False
rashee rice,rashee rice,100.0,True
tanner hudson,tanner muse,75.0,False
michael wilson,michael wilhoite,80.0,True
jonathan mingo,jonathan mingo,100.0,True
josh downs,josh gordon,76.19047619047619,False
quentin johnston,quinn johnson,82.75862068965517,True
dalton kincaid,dalton risner,66.66666666666667,False
justin watson,justin tryon,80.0,True
puka nacua,puka nacua,100.0,True
sam laporta,sean porter,63.63636363636363,False
khalil shakir,khalil mack,75.0,False
luke musgrave,luke musgrave,100.0,True
jake ferguson,parker ferguson,85.71428571428572,True
odell beckham jr.,odell beckham jr,96.96969696969697,True
trey mcbride,trumaine mcbride,78.57142857142857,False
marvin mims jr.,mike morris jr,62.06896551724138,False
troy franklin,sam franklin jr,71.42857142857143,False
jalen mcmillan,jalen mills,80.0,True
colby parkinson,colby parkinson,100.0,True
lil'jordan humphrey,marlon humphrey,70.58823529411764,False
jalen tolbert,mike tolbert,72.0,False
parker washington,parker washington,100.0,True
jameson williams,jameson williams,100.0,True
brock bowers,brock bolen,78.26086956521739,False
brenton strange,brandon saine,71.42857142857143,False
jalen coker,jake coker,85.71428571428572,True
calvin austin iii,calvin austin iii,100.0,True
xavier legette,maurice leggett,68.96551724137932,False
xavier worthy,xavier crawford,71.42857142857143,False
kavontae turpin,davontae harris,66.66666666666667,False
brian thomas jr.,brian thomas jr,96.7741935483871,True
tre tucker,matthew tucker,75.0,False
cedric tillman,cedric tillman b,93.33333333333333,True
