player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
kyle pitts,kyle pitts,2021,kyle pitts,2022,100
sammy watkins,sammy watkins,2021,sammy watkins,2022,100
byron pringle,byron pringle,2021,byron pringle,2022,100
nico collins,nico collins,2021,nico collins,2022,100
devin duvernay,devin duvernay,2022,devin duvernay,2023,100
quez watkins,quez watkins,2022,quez watkins,2023,100
russell gage,russell gage,2022,russell gage,2023,100
kendrick bourne,kendrick bourne,2022,kendrick bourne,2023,100
marquise brown,marquise brown,2022,marquise brown,2023,100
noah brown,noah brown,2022,noah brown,2023,100
noah brown,noah brown,2022,noah brown,2023,100
richie james,richie james,2022,richie james,2023,100
greg dulcich,greg dulcich,2022,greg dulcich,2023,100
greg dulcich,greg dulcich,2022,greg dulcich,2023,100
cooper kupp,cooper kupp,2022,cooper kupp,2023,100
christian kirk,christian kirk,2022,christian kirk,2023,100
pat freiermuth,pat freiermuth,2022,pat freiermuth,2023,100
tj hockenson,tj hockenson,2022,tj hockenson,2023,100
mark andrews,mark andrews,2022,mark andrews,2023,100
hayden hurst,hayden hurst,2022,hayden hurst,2023,100
tyquan thornton,tyquan thornton,2022,tyquan thornton,2023,100
juju smith-schuster,juju smith-schuster,2022,juju smith-schuster,2023,100
hunter henry,hunter henry,2022,hunter henry,2023,100
dawson knox,dawson knox,2022,dawson knox,2023,100
justin jefferson,justin jefferson,2022,justin jefferson,2023,100
mike williams,mike williams,2022,mike williams,2023,100
diontae johnson,diontae johnson,2022,diontae johnson,2023,100
zach ertz,zach ertz,2022,zach ertz,2023,100
rondale moore,rondale moore,2023,rondale moore,2024,100
chris godwin,chris godwin,2023,chris godwin,2024,100
noah brown,noah brown,2023,noah brown,2024,100
dallas goedert,dallas goedert,2023,dallas goedert,2024,100
rashid shaheed,rashid shaheed,2023,rashid shaheed,2024,100
rashee rice,rashee rice,2023,rashee rice,2024,100
adam thielen,adam thielen,2023,adam thielen,2024,100
allen lazard,allen lazard,2023,allen lazard,2024,100
chris olave,chris olave,2023,chris olave,2024,100
brandin cooks,brandin cooks,2023,brandin cooks,2024,100
evan engram,evan engram,2023,evan engram,2024,100
christian kirk,christian kirk,2023,christian kirk,2024,100
marquise brown,marquise brown,2023,marquise brown,2024,100
puka nacua,puka nacua,2023,puka nacua,2024,100
stefon diggs,stefon diggs,2023,stefon diggs,2024,100
nico collins,nico collins,2023,nico collins,2024,100
josh reynolds,josh reynolds,2023,josh reynolds,2024,100
brandon aiyuk,brandon aiyuk,2023,brandon aiyuk,2024,100
dj chark,dj chark,2023,dj chark,2024,100
luke musgrave,luke musgrave,2023,luke musgrave,2024,100
ceedee lamb,ceedee lamb,2023,ceedee lamb,2024,100
david njoku,david njoku,2023,david njoku,2024,100
