player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score,number
allen robinson,allen robinson,2018,allen robinson,2014,100.0,2
allen robinson,allen robinson,2018,allen robinson,2017,100.0,2
vance mcdonald,vance mcdonald,2018,vance mcdonald,2014,100.0,2
vance mcdonald,vance mcdonald,2018,vance mcdonald,2016,100.0,2
sammy watkins,sammy watkins,2018,sammy watkins,2016,100.0,1
kelvin benjamin,kelvin benjamin,2018,kelvin benjamin,2015,100.0,1
alshon jeffery,alshon jeffery,2018,alshon jeffery,2015,100.0,1
john ross,john ross,2018,john ross,2017,100.0,1
randall cobb,randall cobb,2018,randall cobb,2013,100.0,1
keenan allen,keenan allen,2018,keenan allen,2015,100.0,2
keenan allen,keenan allen,2018,keenan allen,2016,100.0,2
benjamin watson,benjamin watson,2018,benjamin watson,2011,100.0,2
benjamin watson,benjamin watson,2018,benjamin watson,2016,100.0,2
ryan griffin,ryan griffin,2018,ryan griffin,2015,100.0,2
ryan griffin,ryan griffin,2018,ryan griffin,2017,100.0,2
devin funchess,devin funchess,2018,devin funchess,2016,100.0,1
mike williams,mike williams,2018,mike williams,2011,100.0,3
mike williams,mike williams,2018,mike williams,2013,100.0,3
mike williams,mike williams,2018,mike williams,2014,100.0,3
michael thomas,michael thomas,2018,michael thomas,2014,100.0,2
michael thomas,michael thomas,2018,michael thomas,2017,100.0,2
oj howard,oj howard,2018,oj howard,2017,100.0,1
antonio gates,antonio gates,2018,antonio gates,2010,100.0,1
aj green,aj green,2018,aj green,2016,100.0,1
marvin jones,marvin jones,2018,marvin jones,2014,100.0,1
robert woods,robert woods,2019,robert woods,2015,100.0,1
ted ginn,ted ginn,2019,ted ginn,2018,100.0,1
albert wilson,albert wilson,2019,albert wilson,2018,100.0,1
jacob hollister,jacob hollister,2019,jacob hollister,2018,100.0,1
trey quinn,trey quinn,2019,trey quinn,2018,100.0,1
marvin jones,marvin jones,2019,marvin jones,2014,100.0,2
marvin jones,marvin jones,2019,marvin jones,2018,100.0,2
allen hurns,allen hurns,2019,allen hurns,2018,100.0,1
cooper kupp,cooper kupp,2019,cooper kupp,2018,100.0,1
danny amendola,danny amendola,2019,danny amendola,2011,100.0,1
tyler lockett,tyler lockett,2019,tyler lockett,2016,100.0,1
randall cobb,randall cobb,2019,randall cobb,2013,100.0,1
dede westbrook,dede westbrook,2019,dede westbrook,2017,100.0,1
brandin cooks,brandin cooks,2019,brandin cooks,2014,100.0,1
christian kirk,christian kirk,2019,christian kirk,2018,100.0,1
breshad perriman,breshad perriman,2019,breshad perriman,2015,100.0,1
jonnu smith,jonnu smith,2019,jonnu smith,2018,100.0,1
demaryius thomas,demaryius thomas,2019,demaryius thomas,2018,100.0,1
curtis samuel,curtis samuel,2019,curtis samuel,2017,100.0,1
john ross,john ross,2019,john ross,2017,100.0,1
damiere byrd,damiere byrd,2019,damiere byrd,2017,100.0,2
damiere byrd,damiere byrd,2019,damiere byrd,2018,100.0,2
julian edelman,julian edelman,2019,julian edelman,2012,100.0,2
julian edelman,julian edelman,2019,julian edelman,2017,100.0,2
geronimo allison,geronimo allison,2019,geronimo allison,2018,100.0,1
kyle rudolph,kyle rudolph,2019,kyle rudolph,2013,100.0,1
jimmy graham,jimmy graham,2019,jimmy graham,2015,100.0,1
julio jones,julio jones,2019,julio jones,2013,100.0,1
will fuller,will fuller,2019,will fuller,2018,100.0,1
odell beckham,odell beckham,2019,odell beckham,2017,100.0,1
hunter henry,hunter henry,2019,hunter henry,2017,100.0,1
tyler boyd,tyler boyd,2019,tyler boyd,2018,100.0,1
cameron brate,cameron brate,2019,cameron brate,2016,100.0,1
jack doyle,jack doyle,2019,jack doyle,2018,100.0,1
keenan allen,keenan allen,2019,keenan allen,2015,100.0,2
keenan allen,keenan allen,2019,keenan allen,2016,100.0,2
travis kelce,travis kelce,2019,travis kelce,2013,100.0,1
tyler eifert,tyler eifert,2019,tyler eifert,2014,100.0,4
tyler eifert,tyler eifert,2019,tyler eifert,2016,100.0,4
tyler eifert,tyler eifert,2019,tyler eifert,2017,100.0,4
tyler eifert,tyler eifert,2019,tyler eifert,2018,100.0,4
darren waller,darren waller,2019,darren waller,2015,100.0,1
sammy watkins,sammy watkins,2019,sammy watkins,2016,100.0,1
mike williams,mike williams,2019,mike williams,2011,100.0,3
mike williams,mike williams,2019,mike williams,2013,100.0,3
mike williams,mike williams,2019,mike williams,2014,100.0,3
greg olsen,greg olsen,2019,greg olsen,2017,100.0,2
greg olsen,greg olsen,2019,greg olsen,2018,100.0,2
vance mcdonald,vance mcdonald,2019,vance mcdonald,2014,100.0,2
vance mcdonald,vance mcdonald,2019,vance mcdonald,2016,100.0,2
mohamed sanu,mohamed sanu,2019,mohamed sanu,2012,100.0,1
michael thomas,michael thomas,2019,michael thomas,2014,100.0,2
michael thomas,michael thomas,2019,michael thomas,2017,100.0,2
emmanuel sanders,emmanuel sanders,2019,emmanuel sanders,2018,100.0,1
allen robinson,allen robinson,2019,allen robinson,2014,100.0,2
allen robinson,allen robinson,2019,allen robinson,2017,100.0,2
oj howard,oj howard,2019,oj howard,2017,100.0,2
oj howard,oj howard,2019,oj howard,2018,100.0,2
chris conley,chris conley,2019,chris conley,2017,100.0,1
jared cook,jared cook,2019,jared cook,2012,100.0,1
alshon jeffery,alshon jeffery,2019,alshon jeffery,2015,100.0,1
braxton berrios,braxton berrios,2020,braxton berrios,2018,100.0,1
cam sims,cam sims,2020,cam sims,2018,100.0,1
robert woods,robert woods,2020,robert woods,2015,100.0,1
curtis samuel,curtis samuel,2020,curtis samuel,2017,100.0,1
brandin cooks,brandin cooks,2020,brandin cooks,2014,100.0,1
danny amendola,danny amendola,2020,danny amendola,2011,100.0,1
marvin jones,marvin jones,2020,marvin jones,2014,100.0,3
marvin jones,marvin jones,2020,marvin jones,2018,100.0,3
marvin jones,marvin jones,2020,marvin jones,2019,100.0,3
jakeem grant,jakeem grant,2020,jakeem grant,2018,100.0,2
jakeem grant,jakeem grant,2020,jakeem grant,2019,100.0,2
emmanuel sanders,emmanuel sanders,2020,emmanuel sanders,2018,100.0,1
eric ebron,eric ebron,2020,eric ebron,2019,100.0,1
randall cobb,randall cobb,2020,randall cobb,2013,100.0,1
cooper kupp,cooper kupp,2020,cooper kupp,2018,100.0,1
jared cook,jared cook,2020,jared cook,2012,100.0,1
tyler eifert,tyler eifert,2020,tyler eifert,2014,100.0,4
tyler eifert,tyler eifert,2020,tyler eifert,2016,100.0,4
tyler eifert,tyler eifert,2020,tyler eifert,2017,100.0,4
tyler eifert,tyler eifert,2020,tyler eifert,2018,100.0,4
dan arnold,dan arnold,2020,dan arnold,2017,100.0,1
trey burton,trey burton,2020,trey burton,2019,100.0,1
tyler lockett,tyler lockett,2020,tyler lockett,2016,100.0,1
christian kirk,christian kirk,2020,christian kirk,2018,100.0,1
evan engram,evan engram,2020,evan engram,2019,100.0,1
julio jones,julio jones,2020,julio jones,2013,100.0,1
calvin ridley,calvin ridley,2020,calvin ridley,2019,100.0,1
breshad perriman,breshad perriman,2020,breshad perriman,2015,100.0,1
tyler boyd,tyler boyd,2020,tyler boyd,2018,100.0,1
drew sample,drew sample,2020,drew sample,2019,100.0,1
damiere byrd,damiere byrd,2020,damiere byrd,2017,100.0,2
damiere byrd,damiere byrd,2020,damiere byrd,2018,100.0,2
darren waller,darren waller,2020,darren waller,2015,100.0,1
jimmy graham,jimmy graham,2020,jimmy graham,2015,100.0,1
keenan allen,keenan allen,2020,keenan allen,2015,100.0,2
keenan allen,keenan allen,2020,keenan allen,2016,100.0,2
jonnu smith,jonnu smith,2020,jonnu smith,2018,100.0,1
tim patrick,tim patrick,2020,tim patrick,2019,100.0,1
tj hockenson,tj hockenson,2020,tj hockenson,2019,100.0,1
chris conley,chris conley,2020,chris conley,2017,100.0,1
