player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score,number
mack hollins,mack hollins,2024,mack hollins,2018,100.0,1
justin jefferson,justin jefferson,2024,justin jefferson,2023,100.0,1
deebo samuel sr.,deebo samuel,2024,deebo samuel,2020,100.0,1
aj brown,aj brown,2024,aj brown,2021,100.0,1
deandre hopkins,deandre hopkins,2024,deandre hopkins,2021,100.0,1
george kittle,george kittle,2024,george kittle,2020,100.0,2
george kittle,george kittle,2024,george kittle,2021,100.0,2
allen lazard,allen lazard,2024,allen lazard,2020,100.0,1
nico collins,nico collins,2024,nico collins,2021,100.0,2
nico collins,nico collins,2024,nico collins,2022,100.0,2
diontae johnson,diontae johnson,2024,diontae johnson,2023,100.0,1
mark andrews,mark andrews,2024,mark andrews,2023,100.0,1
