Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted
2023,Colts,,dallis flowers,placed on ir with torn achilles tendon,,,,10/4/2023,,dallis flowers
2023,Falcons,,josh ali,placed on ir with ankle injury,,,,10/4/2023,,josh ali
2023,Texans,,kendrick green,placed on ir with torn meniscus in right knee,,,,10/4/2023,,kendrick green
2023,Dolphins,,terron armstead,placed on ir with knee injury,,,,10/6/2023,,terron armstead
2023,Bills,,tredavious white,placed on ir with torn right achilles tendon,,,,10/7/2023,,tredavious white
2023,Eagles,,cam jurgens,placed on ir with foot injury,,,,10/7/2023,,cam jurgens
2023,Jaguars,,parker washington,placed on ir with knee injury,,,,10/7/2023,,parker washington
2023,Lions,,jason cabinda,placed on ir with knee injury,,,,10/7/2023,,jason cabinda
2023,Patriots,,christian gonzalez,placed on ir recovering from surgery on right shoulder to repair labrum,,,,10/7/2023,,christian gonzalez
2023,Ravens,,daryl worley,placed on ir with shoulder injury,,,,10/7/2023,,daryl worley
2023,Cardinals,,james conner,placed on ir with knee injury,,,,10/10/2023,,james conner
2023,Commanders,,darrick forrest,placed on ir with fractured shoulder,,,,10/10/2023,,darrick forrest
2023,Commanders,,jeremy reaves,placed on ir with partially torn acl in knee,,,,10/10/2023,,jeremy reaves
2023,Rams,,bobby brown iii,placed on ir with sprained mcl in knee,,,,10/10/2023,,bobby brown iii
2023,Bills,,daquan jones,placed on ir with torn pectoral muscle,,,,10/11/2023,,daquan jones
2023,Bills,,matt milano,"placed on ir with fractured right leg, knee",,,,10/11/2023,,matt milano
2023,Colts,,anthony richardson,placed on ir with sprained ac joint in right shoulder,,,,10/11/2023,,anthony richardson
2023,Dolphins,,devon achane,placed on ir with knee injury,,,,10/11/2023,,devon achane
2023,Jets,,alijah vera-tucker,placed on ir with torn achilles tendon,,,,10/11/2023,,alijah vera-tucker
2023,Vikings,,justin jefferson,placed on ir with right hamstring injury,,,,10/11/2023,,justin jefferson
2023,Vikings,,nick mullens,placed on ir with back injury,,,,10/11/2023,,nick mullens
2023,Cowboys,,peyton hendershot,placed on ir with ankle injury,,,,10/12/2023,,peyton hendershot
2023,Bears,,equanimeous st brown,placed on ir with hamstring injury,,,,10/13/2023,,equanimeous st brown
2023,Bears,,khalil herbert,placed on ir with ankle injury,,,,10/13/2023,,khalil herbert
2023,Eagles,,justin evans b 1995-08-26,placed on ir with knee injury,,,,10/13/2023,,justin evans b --
2023,Eagles,,quez watkins,placed on ir with hamstring injury,,,,10/14/2023,,quez watkins
2023,Giants,,azeez ojulari,placed on ir with ankle injury,,,,10/14/2023,,azeez ojulari
2023,Jaguars,,christian braswell,placed on ir with hamstring injury (out for season),,,,10/14/2023,,christian braswell
2023,Jets,,justin hardee,placed on ir recovering from surgery on hamstring,,,,10/14/2023,,justin hardee
2023,Lions,,emmanuel moseley,placed on ir with torn acl in right knee,,,,10/14/2023,,emmanuel moseley
2023,Lions,,zonovan knight  bam knight,placed on ir with shoulder injury,,,,10/14/2023,,zonovan knight bam knight
2023,Panthers,,ian thomas c,placed on ir with calf injury,,,,10/14/2023,,ian thomas c
2023,Patriots,,matthew judon  matt judon,placed on ir with biceps/elbow injury,,,,10/14/2023,,matthew judon matt judon
2023,Patriots,,tyrone wheatley jr,placed on ir with knee injury,,,,10/14/2023,,tyrone wheatley jr
2023,Saints,,adam prentice,placed on ir with knee injury,,,,10/14/2023,,adam prentice
2023,Seahawks,,coby bryant,placed on ir with toe injury,,,,10/14/2023,,coby bryant
2023,Cowboys,,cj goodwin,placed on ir with torn pectoral muscle,,,,10/16/2023,,cj goodwin
2023,Cowboys,,leighton vander esch,"placed on ir with concussion, neck injury",,,,10/16/2023,,leighton vander esch
2023,Browns,,michael dunn,placed on ir with calf injury,,,,10/17/2023,,michael dunn
2023,Giants,,joshua ezeudu,placed on ir with right toe injury,,,,10/17/2023,,joshua ezeudu
2023,Chargers,,raheem layne,placed on ir with torn acl in knee,,,,10/18/2023,,raheem layne
2023,Raiders,,roderic teamer,placed on ir with hamstring injury,,,,10/18/2023,,roderic teamer
2023,Rams,,ronnie rivers,placed on ir with sprained pcl in knee,,,,10/18/2023,,ronnie rivers
2023,Texans,,eric murray,placed on ir with knee injury,,,,10/18/2023,,eric murray
2023,Vikings,,marcus davenport,placed on ir with sprained left ankle,,,,10/18/2023,,marcus davenport
2023,Giants,,shane lemieux,placed on ir with torn biceps,,,,10/19/2023,,shane lemieux
2023,Bills,,damien harris,"placed on ir with concussion, neck injury",,,,10/20/2023,,damien harris
2023,Dolphins,,christopher brooks  chris brooks b,placed on ir with ankle injury,,,,10/20/2023,,christopher brooks chris brooks b
2023,Broncos,,greg dulcich,placed on ir with hamstring injury,,,,10/21/2023,,greg dulcich
2023,Patriots,,riley reiff,placed on ir with knee injury,,,,10/21/2023,,riley reiff
2023,Rams,,kyren williams,placed on ir with ankle injury,,,,10/21/2023,,kyren williams
2023,Steelers,,pat freiermuth,placed on ir with hamstring injury,,,,10/21/2023,,pat freiermuth
2023,Cardinals,,zach ertz,placed on ir with strained quadriceps,,,,10/24/2023,,zach ertz
2023,Dolphins,,isaiah wynn,placed on ir with quadriceps injury,,,,10/24/2023,,isaiah wynn
2023,Giants,,eric gray,placed on ir with calf injury,,,,10/24/2023,,eric gray
2023,Giants,,matt peart,placed on ir with shoulder injury,,,,10/24/2023,,matt peart
2023,Panthers,,giovanni ricci,placed on ir with shoulder injury,,,,10/24/2023,,giovanni ricci
2023,Panthers,,jeremy chinn,placed on ir with quadriceps injury,,,,10/24/2023,,jeremy chinn
2023,Panthers,,yetur gross-matos,placed on ir with hamstring injury,,,,10/24/2023,,yetur gross-matos
2023,Packers,,darnell savage,placed on ir with calf injury,,,,10/25/2023,,darnell savage
2023,Packers,,eric stokes jamane,placed on ir with hamstring injury,,,,10/25/2023,,eric stokes jamane
2023,Titans,,taylor stallworth,placed on ir with undisclosed,,,,10/25/2023,,taylor stallworth
2023,Bills,,dawson knox,placed on ir recovering from surgery on wrist,,,,10/26/2023,,dawson knox
2023,Seahawks,,uchenna nwosu,placed on ir recovering from surgery to repair pectoral injury,,,,10/26/2023,,uchenna nwosu
2023,Bengals,,chase brown b 2000-03-21,placed on ir with hamstring injury,,,,10/28/2023,,chase brown b --
2023,Broncos,,brandon johnson b 1998-07-26,placed on ir with hamstring injury,,,,10/28/2023,,brandon johnson b --
2023,Cardinals,,elijah wilkinson,placed on ir with neck injury,,,,10/28/2023,,elijah wilkinson
2023,Chiefs,,nick bolton,placed on ir recovering from surgery on wrist,,,,10/28/2023,,nick bolton
2023,Commanders,,cody barton,placed on ir with ankle injury,,,,10/28/2023,,cody barton
2023,Commanders,,saahdiq charles,placed on ir with calf injury,,,,10/28/2023,,saahdiq charles
2023,Giants,,gary brightwell,placed on ir with hamstring injury,,,,10/28/2023,,gary brightwell
2023,Raiders,,kanai mauga,placed on ir with knee injury,,,,10/30/2023,,kanai mauga
2023,Falcons,,grady jarrett,placed on ir with torn acl in knee,,,,10/31/2023,,grady jarrett
2023,Jets,,al woods joseph,placed on ir with torn achilles tendon,,,,10/31/2023,,al woods joseph
2023,Jets,,connor mcgovern b 1993-04-27,placed on ir with dislocated kneecap,,,,10/31/2023,,connor mcgovern b --
2023,Jets,,wes schweitzer,placed on ir with calf injury,,,,10/31/2023,,wes schweitzer
2023,Lions,,scott daly,placed on ir with surgery on knee,,,,10/31/2023,,scott daly
2023,Patriots,,kendrick bourne,placed on ir with torn acl in right knee,,,,10/31/2023,,kendrick bourne
2023,Texans,,jarrett patterson,placed on ir with ankle / lower leg injury,,,,10/31/2023,,jarrett patterson
2023,Texans,,teagan quitoriano,placed on ir with groin injury,,,,10/31/2023,,teagan quitoriano
2023,Vikings,,kirk cousins,placed on ir with torn right achilles tendon,,,,10/31/2023,,kirk cousins
2023,Falcons,,lacale london,placed on ir with knee injury,,,,11/1/2023,,lacale london
2023,Bills,,kaiir elam,placed on ir with ankle injury,,,,11/2/2023,,kaiir elam
2023,Bengals,,tycen anderson,placed on ir with left knee injury,,,,11/3/2023,,tycen anderson
2023,Giants,,graham gano,placed on ir with surgery on left knee,,,,11/3/2023,,graham gano
2023,Panthers,,claudin cherelus,placed on ir with knee injury,,,,11/3/2023,,claudin cherelus
2023,Patriots,,calvin anderson,placed on ir with illness,,,,11/3/2023,,calvin anderson
2023,Giants,,darren waller,placed on ir with hamstring injury,,,,11/4/2023,,darren waller
2023,Giants,,tyrod taylor,placed on ir with rib injury,,,,11/4/2023,,tyrod taylor
2023,Panthers,,justin houston,placed on ir with hamstring injury,,,,11/4/2023,,justin houston
2023,Chargers,,joshua palmer  josh palmer,placed on ir with knee injury,,,,11/6/2023,,joshua palmer josh palmer
2023,Seahawks,,drake thomas,placed on ir with knee injury,,,,11/6/2023,,drake thomas
2023,Steelers,,cole holcomb,placed on ir with surgery on knee (out for season),,,,11/6/2023,,cole holcomb
2023,Browns,,cameron mitchell,placed on ir with hamstring / shoulder injury,,,,11/7/2023,,cameron mitchell
2023,Browns,,jedrick wills jr,placed on ir with sprained mcl in knee,,,,11/7/2023,,jedrick wills jr
2023,Cardinals,,bobby price,placed on ir with undisclosed,,,,11/7/2023,,bobby price
2023,Commanders,,ricky stromberg,placed on ir with knee injury,,,,11/7/2023,,ricky stromberg
2023,Panthers,,chandler wooten,placed on ir with ankle injury,,,,11/7/2023,,chandler wooten
2023,Panthers,,luiji vilain,placed on ir with knee injury,,,,11/7/2023,,luiji vilain
2023,Texans,,hassan ridgeway,placed on ir with torn right achilles tendon (out for season),,,,11/7/2023,,hassan ridgeway
2023,Texans,,mj stewart,placed on ir with shoulder injury,,,,11/7/2023,,mj stewart
2023,Giants,,daniel jones,placed on ir with torn acl in right knee,,,,11/8/2023,,daniel jones
2023,Vikings,,cam akers,placed on ir with torn left achilles tendon,,,,11/8/2023,,cam akers
2023,49ers,,drake jackson,placed on ir with knee injury,,,,11/11/2023,,drake jackson
2023,Texans,,kaimi fairbairn,placed on ir with quadriceps injury,,,,11/11/2023,,kaimi fairbairn
2023,Titans,,nicholas petit-frere,placed on ir with shoulder injury,,,,11/11/2023,,nicholas petit-frere
2023,Lions,,halapoulivaati vaitai,placed on ir with back injury,,,,11/14/2023,,halapoulivaati vaitai
2023,Steelers,,kwon alexander,placed on ir with torn left achilles tendon (out for season),,,,11/14/2023,,kwon alexander
2023,Vikings,,jordan hicks b 1992-06-27,placed on ir with bruised shin,,,,11/14/2023,,jordan hicks b --
2023,49ers,,nick zakelj,placed on ir with torn biceps,,,,11/15/2023,,nick zakelj
2023,Browns,,deshaun watson,placed on ir with fracture in right shoulder,,,,11/15/2023,,deshaun watson
2023,Chargers,,chris rumph ii,placed on ir with fractured foot,,,,11/15/2023,,chris rumph ii
2023,Titans,,chance campbell,placed on ir with undisclosed injury,,,,11/15/2023,,chance campbell
2023,Eagles,,nakobe dean,placed on ir with lisfranc injury in foot (surgery),,,,11/16/2023,,nakobe dean
2023,Cowboys,,viliami fehoko jr,placed on ir with knee injury,,,,11/18/2023,,viliami fehoko jr
2023,Jaguars,,jamal agnew,"placed on ir with shoulder, ribs injuries / various injuries",,,,11/18/2023,,jamal agnew
2023,Steelers,,keanu neal,placed on ir with rib injury,,,,11/18/2023,,keanu neal
2023,Texans,,grayland arnold,placed on ir with calf injury,,,,11/18/2023,,grayland arnold
2023,Commanders,,efe obada,placed on ir with fractured right leg,,,,11/20/2023,,efe obada
2023,Steelers,,elijah riley,placed on ir with ankle injury,,,,11/20/2023,,elijah riley
2023,Vikings,,dean lowry,placed on ir with torn pectoral muscle,,,,11/20/2023,,dean lowry
2023,49ers,,talanoa hufanga,placed on ir with torn acl in right knee,,,,11/21/2023,,talanoa hufanga
2023,Browns,,rodney mcleod jr,placed on ir with torn biceps,,,,11/21/2023,,rodney mcleod jr
