avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player,playerName,position,teamId,season,player_clean
7.4906,4.231568178941847,12.90403846153846,3.012980894494583,4.755172413793105,0.5236042348512573,55.76923076923077,13.654205778634232,5,29,52,402,"{'season': 2018, 'currentTeamId': '2510', 'displayName': 'Josh Reynolds', 'esbId': 'REY398905', 'firstName': 'Joshua', 'footballName': 'Josh', 'gsisId': '00-0033943', 'gsisItId': 44930, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/yzpzvlpz5n7dmxue0geq', 'jerseyNumber': 83, 'lastName': 'Reynolds', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Reynolds', 'smartId': '32005245-5939-8905-3a79-3286353be377', 'status': 'ACT'}",Josh Reynolds,WR,2510,2018,josh reynolds
7.337777777777778,4.29977456773574,19.107702702702703,2.7365699466874687,4.554634146341463,0.2548595786057221,55.4054054054054,21.423041318257088,4,41,74,774,"{'season': 2018, 'currentTeamId': '4900', 'displayName': 'DeSean Jackson', 'esbId': 'JAC127681', 'firstName': 'DeSean', 'footballName': 'DeSean', 'gsisId': '00-0026189', 'gsisItId': 33130, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vkfjfhbfr6e02jmsw2oc', 'jerseyNumber': 11, 'lastName': 'Jackson', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'D.Jackson', 'smartId': '32004a41-4312-7681-93f9-b06ab3ee3184', 'status': 'ACT', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",DeSean Jackson,WR,4900,2018,desean jackson
7.127454545454546,4.216796352956733,13.158928571428572,3.2227428029791154,4.674864864864865,0.4580685119081327,66.07142857142857,23.001960270192654,1,37,56,466,"{'season': 2018, 'currentTeamId': '2100', 'displayName': 'Taywan Taylor', 'esbId': 'TAY716250', 'firstName': 'Taywan', 'footballName': 'Taywan', 'gsisId': '00-0033911', 'gsisItId': 44884, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/irvga1akmv2wze57jykn', 'jerseyNumber': 13, 'lastName': 'Taylor', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Taylor', 'smartId': '32005441-5971-6250-197f-078bbce0e7cb', 'status': 'ACT'}",Taywan Taylor,WR,2100,2018,taywan taylor
6.972650602409638,3.8326335765065664,11.038494623655913,3.467761146278252,3.5632835820895523,-0.2693499944170141,72.04301075268818,23.005470236401163,2,67,93,688,"{'season': 2018, 'currentTeamId': '0810', 'displayName': 'Taylor Gabriel', 'esbId': 'GAB627060', 'firstName': 'Taylor', 'footballName': 'Taylor', 'gsisId': '00-0031228', 'gsisItId': 42016, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/nc4aoax8j5mnnrjewu7p', 'jerseyNumber': 18, 'lastName': 'Gabriel', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Gabriel', 'smartId': '32004741-4262-7060-f2df-7bd304949774', 'status': 'ACT'}",Taylor Gabriel,WR,810,2018,taylor gabriel
6.7276923076923065,2.545113781936781,12.164461538461536,2.4194832850358883,2.931025641025641,0.3859118590888597,60.0,19.15227059131294,5,39,65,494,"{'season': 2018, 'currentTeamId': '0750', 'displayName': 'Curtis Samuel', 'esbId': 'SAM633285', 'firstName': 'Curtis', 'footballName': 'Curtis', 'gsisId': '00-0033282', 'gsisItId': 44852, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/i86hox9nhzunhykpexpg', 'jerseyNumber': 10, 'lastName': 'Samuel', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Samuel', 'smartId': '32005341-4d63-3285-ce5d-61e91947654e', 'status': 'ACT'}",Curtis Samuel,WR,750,2018,curtis samuel
6.683414634146341,5.7942574876180695,8.598909090909093,3.5412624492302016,7.749250000000001,1.9549925123819316,72.72727272727273,9.623731510629163,6,40,55,566,"{'season': 2018, 'currentTeamId': '2510', 'displayName': 'Cooper Kupp', 'esbId': 'KUP534597', 'firstName': 'Cooper', 'footballName': 'Cooper', 'gsisId': '00-0033908', 'gsisItId': 44881, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/kfmofyneoponii4twxdq', 'jerseyNumber': 18, 'lastName': 'Kupp', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Kupp', 'smartId': '32004b55-5053-4597-b958-87408c31956f', 'status': 'RES', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR'}",Cooper Kupp,WR,2510,2018,cooper kupp
6.647058823529412,4.083272042090175,9.690428571428573,2.87739486389453,3.886315789473685,-0.1969562526164905,54.285714285714285,18.319182033250147,1,38,70,491,"{'season': 2018, 'currentTeamId': '2250', 'displayName': 'Keelan Cole', 'esbId': 'COL130738', 'firstName': 'Keelan', 'footballName': 'Keelan', 'gsisId': '00-0033681', 'gsisItId': 45555, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/bhjafw7r4aflwm11iynh', 'jerseyNumber': 84, 'lastName': 'Cole', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'K.Cole', 'smartId': '3200434f-4c13-0738-9b9e-38aa1121bdd9', 'status': 'ACT'}",Keelan Cole,WR,2250,2018,keelan cole
6.627878787878788,4.2320146212128975,6.619761904761904,3.3169090188726877,4.490740740740741,0.2587261195278438,64.28571428571429,13.368015905260805,2,54,84,558,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Jordan Reed', 'esbId': 'REE302847', 'firstName': 'Jordan', 'footballName': 'Jordan', 'gsisId': '00-0030472', 'gsisItId': 40033, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/jur0qgejd3lzv8flmxcq', 'jerseyNumber': 86, 'lastName': 'Reed', 'position': 'TE', 'positionGroup': 'TE', 'shortName': 'J.Reed', 'smartId': '32005245-4530-2847-ba4d-b3c01fedf34c', 'status': 'RES', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'TE'}",Jordan Reed,TE,5110,2018,jordan reed
6.573623188405797,3.7110793148231,13.486999999999998,3.339030553751498,4.189473684210525,0.4783943693874253,81.42857142857143,24.43695530068308,10,57,70,965,"{'season': 2018, 'currentTeamId': '4600', 'displayName': 'Tyler Lockett', 'esbId': 'LOC420915', 'firstName': 'Tyler', 'footballName': 'Tyler', 'gsisId': '00-0032211', 'gsisItId': 42412, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/kwcxus7rlqurps3gbbwu', 'jerseyNumber': 16, 'lastName': 'Lockett', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Lockett', 'smartId': '32004c4f-4342-0915-1af7-ec50f437887c', 'status': 'ACT'}",Tyler Lockett,WR,4600,2018,tyler lockett
6.5694871794871785,4.307956177704412,10.495106382978722,3.0630757555391246,3.358571428571428,-0.949384749132984,59.57446808510638,11.858506646023804,0,28,47,304,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Maurice Harris', 'esbId': 'HAR485163', 'firstName': 'Maurice', 'footballName': 'Maurice', 'gsisId': '00-0032362', 'gsisItId': 43563, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/w31fw8vgazrlgvyp2szu', 'jerseyNumber': 13, 'lastName': 'Harris', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'M.Harris', 'smartId': '32004841-5248-5163-915a-8240910dd87e', 'status': 'RES', 'suffix': 'Jr.', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",Maurice Harris,WR,5110,2018,maurice harris
